"BehaviorSpace results (NetLogo 5.3.1)"
"Simple Birth Rates.nlogo"
"ex_8.2"
"02/16/2017 01:37:38:904 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","risk"
"15","500","2","3.4","0","1"
"20","500","2","3.9","0","1"
"19","500","2","3.8","0","1"
"14","500","2","3.3","0","1"
"13","500","2","3.2","0","1"
"12","500","2","3.1","0","1"
"18","500","2","3.7","0","1"
"17","500","2","3.6","0","1"
"16","500","2","3.5","0","1"
"11","500","2","3","0","1"
"9","500","2","2.8","0","1"
"10","500","2","2.9","0","1"
"8","500","2","2.7","0","1"
"7","500","2","2.6","0","1"
"6","500","2","2.5","0","1"
"5","500","2","2.4","0","0.99"
"25","500","2","4.4","0","1"
"26","500","2","4.5","0","1"
"24","500","2","4.3","0","1"
"21","500","2","4","0","1"
"30","500","2","4.9","0","1"
"22","500","2","4.1","0","1"
"23","500","2","4.2","0","1"
"29","500","2","4.8","0","1"
"27","500","2","4.6","0","1"
"28","500","2","4.7","0","1"
"31","500","2","5","0","1"
"4","500","2","2.3","0","1"
"3","500","2","2.2","0","0.84"
"2","500","2","2.1","0","0.21"
"1","500","2","2","0","0"
"47","1000","2","3.5","0","1"
"48","1000","2","3.6","0","1"
"45","1000","2","3.3","0","1"
"46","1000","2","3.4","0","1"
"41","1000","2","2.9","0","1"
"44","1000","2","3.2","0","1"
"43","1000","2","3.1","0","1"
"42","1000","2","3","0","1"
"40","1000","2","2.8","0","1"
"49","1000","2","3.7","0","1"
"39","1000","2","2.7","0","1"
"38","1000","2","2.6","0","1"
"50","1000","2","3.8","0","1"
"37","1000","2","2.5","0","1"
"51","1000","2","3.9","0","1"
"36","1000","2","2.4","0","1"
"52","1000","2","4","0","1"
"53","1000","2","4.1","0","1"
"56","1000","2","4.4","0","1"
"54","1000","2","4.2","0","1"
"55","1000","2","4.3","0","1"
"60","1000","2","4.8","0","1"
"57","1000","2","4.5","0","1"
"61","1000","2","4.9","0","1"
"62","1000","2","5","0","1"
"58","1000","2","4.6","0","1"
"35","1000","2","2.3","0","0.99"
"59","1000","2","4.7","0","1"
"34","1000","2","2.2","0","0.76"
"33","1000","2","2.1","0","0.01"
"32","1000","2","2","0","0"
"78","1500","2","3.5","0","1"
"76","1500","2","3.3","0","1"
"75","1500","2","3.2","0","1"
"79","1500","2","3.6","0","1"
"77","1500","2","3.4","0","1"
"74","1500","2","3.1","0","1"
"73","1500","2","3","0","1"
"72","1500","2","2.9","0","1"
"80","1500","2","3.7","0","1"
"70","1500","2","2.7","0","1"
"71","1500","2","2.8","0","1"
"69","1500","2","2.6","0","1"
"81","1500","2","3.8","0","1"
"82","1500","2","3.9","0","1"
"68","1500","2","2.5","0","1"
"67","1500","2","2.4","0","1"
"84","1500","2","4.1","0","1"
"85","1500","2","4.2","0","1"
"83","1500","2","4","0","1"
"89","1500","2","4.6","0","1"
"86","1500","2","4.3","0","1"
"87","1500","2","4.4","0","1"
"88","1500","2","4.5","0","1"
"91","1500","2","4.8","0","1"
"90","1500","2","4.7","0","1"
"66","1500","2","2.3","0","0.96"
"92","1500","2","4.9","0","1"
"93","1500","2","5","0","1"
"65","1500","2","2.2","0","0.69"
"63","1500","2","2","0","0"
"64","1500","2","2.1","0","0.01"
"108","2000","2","3.4","0","1"
"106","2000","2","3.2","0","1"
"109","2000","2","3.5","0","1"
"110","2000","2","3.6","0","1"
"107","2000","2","3.3","0","1"
"105","2000","2","3.1","0","1"
"104","2000","2","3","0","1"
"102","2000","2","2.8","0","1"
"103","2000","2","2.9","0","1"
"101","2000","2","2.7","0","1"
"111","2000","2","3.7","0","1"
"112","2000","2","3.8","0","1"
"100","2000","2","2.6","0","1"
"113","2000","2","3.9","0","1"
"99","2000","2","2.5","0","1"
"114","2000","2","4","0","1"
"115","2000","2","4.1","0","1"
"98","2000","2","2.4","0","1"
"116","2000","2","4.2","0","1"
"117","2000","2","4.3","0","1"
"118","2000","2","4.4","0","1"
"121","2000","2","4.7","0","1"
"119","2000","2","4.5","0","1"
"120","2000","2","4.6","0","1"
"122","2000","2","4.8","0","1"
"124","2000","2","5","0","1"
"123","2000","2","4.9","0","1"
"97","2000","2","2.3","0","0.97"
"94","2000","2","2","0","0"
"95","2000","2","2.1","0","0"
"96","2000","2","2.2","0","0.56"
"140","2500","2","3.5","0","1"
"141","2500","2","3.6","0","1"
"139","2500","2","3.4","0","1"
"135","2500","2","3","0","1"
"137","2500","2","3.2","0","1"
"136","2500","2","3.1","0","1"
"138","2500","2","3.3","0","1"
"134","2500","2","2.9","0","1"
"133","2500","2","2.8","0","1"
"132","2500","2","2.7","0","1"
"142","2500","2","3.7","0","1"
"143","2500","2","3.8","0","1"
"131","2500","2","2.6","0","1"
"130","2500","2","2.5","0","1"
"144","2500","2","3.9","0","1"
"129","2500","2","2.4","0","1"
"145","2500","2","4","0","1"
"148","2500","2","4.3","0","1"
"146","2500","2","4.1","0","1"
"147","2500","2","4.2","0","1"
"149","2500","2","4.4","0","1"
"151","2500","2","4.6","0","1"
"150","2500","2","4.5","0","1"
"152","2500","2","4.7","0","1"
"153","2500","2","4.8","0","1"
"128","2500","2","2.3","0","0.9"
"154","2500","2","4.9","0","1"
"155","2500","2","5","0","1"
"125","2500","2","2","0","0"
"127","2500","2","2.2","0","0.51"
"126","2500","2","2.1","0","0"
"168","3000","2","3.2","0","1"
"172","3000","2","3.6","0","1"
"170","3000","2","3.4","0","1"
"171","3000","2","3.5","0","1"
"167","3000","2","3.1","0","1"
"169","3000","2","3.3","0","1"
"166","3000","2","3","0","1"
"165","3000","2","2.9","0","1"
"164","3000","2","2.8","0","1"
"163","3000","2","2.7","0","1"
"174","3000","2","3.8","0","1"
"175","3000","2","3.9","0","1"
"173","3000","2","3.7","0","1"
"162","3000","2","2.6","0","1"
"161","3000","2","2.5","0","1"
"160","3000","2","2.4","0","1"
"178","3000","2","4.2","0","1"
"177","3000","2","4.1","0","1"
"176","3000","2","4","0","1"
"179","3000","2","4.3","0","1"
"180","3000","2","4.4","0","1"
"181","3000","2","4.5","0","1"
"182","3000","2","4.6","0","1"
"184","3000","2","4.8","0","1"
"183","3000","2","4.7","0","1"
"185","3000","2","4.9","0","1"
"186","3000","2","5","0","1"
"159","3000","2","2.3","0","0.95"
"156","3000","2","2","0","0"
"158","3000","2","2.2","0","0.52"
"157","3000","2","2.1","0","0"
"202","3500","2","3.5","0","1"
"199","3500","2","3.2","0","1"
"201","3500","2","3.4","0","1"
"198","3500","2","3.1","0","1"
"197","3500","2","3","0","1"
"196","3500","2","2.9","0","1"
"200","3500","2","3.3","0","1"
"195","3500","2","2.8","0","1"
"204","3500","2","3.7","0","1"
"203","3500","2","3.6","0","1"
"206","3500","2","3.9","0","1"
"205","3500","2","3.8","0","1"
"194","3500","2","2.7","0","1"
"193","3500","2","2.6","0","1"
"192","3500","2","2.5","0","1"
"191","3500","2","2.4","0","1"
"208","3500","2","4.1","0","1"
"207","3500","2","4","0","1"
"210","3500","2","4.3","0","1"
"209","3500","2","4.2","0","1"
"211","3500","2","4.4","0","1"
"212","3500","2","4.5","0","1"
"213","3500","2","4.6","0","1"
"214","3500","2","4.7","0","1"
"215","3500","2","4.8","0","1"
"190","3500","2","2.3","0","0.95"
"216","3500","2","4.9","0","1"
"217","3500","2","5","0","1"
"187","3500","2","2","0","0"
"189","3500","2","2.2","0","0.4"
"188","3500","2","2.1","0","0"
"234","4000","2","3.6","0","1"
"232","4000","2","3.4","0","1"
"231","4000","2","3.3","0","1"
"230","4000","2","3.2","0","1"
"233","4000","2","3.5","0","1"
"228","4000","2","3","0","1"
"235","4000","2","3.7","0","1"
"229","4000","2","3.1","0","1"
"227","4000","2","2.9","0","1"
"236","4000","2","3.8","0","1"
"226","4000","2","2.8","0","1"
"237","4000","2","3.9","0","1"
"225","4000","2","2.7","0","1"
"224","4000","2","2.6","0","1"
"223","4000","2","2.5","0","1"
"222","4000","2","2.4","0","0.98"
"238","4000","2","4","0","1"
"240","4000","2","4.2","0","1"
"241","4000","2","4.3","0","1"
"239","4000","2","4.1","0","1"
"242","4000","2","4.4","0","1"
"244","4000","2","4.6","0","1"
"243","4000","2","4.5","0","1"
"247","4000","2","4.9","0","1"
"246","4000","2","4.8","0","1"
"245","4000","2","4.7","0","1"
"248","4000","2","5","0","1"
"221","4000","2","2.3","0","0.92"
"218","4000","2","2","0","0"
"220","4000","2","2.2","0","0.35"
"219","4000","2","2.1","0","0"
