"BehaviorSpace results (NetLogo 5.3)"
"Telemarketer_mergers.nlogo"
"experiment"
"02/25/2016 04:55:10:684 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"4","50","1000","0","50"
"1","50","1000","0","50"
"3","50","1000","0","50"
"2","50","1000","0","50"
"4","50","1000","1","50"
"4","50","1000","2","50"
"1","50","1000","1","50"
"3","50","1000","1","50"
"4","50","1000","3","50"
"2","50","1000","1","50"
"4","50","1000","4","50"
"2","50","1000","2","50"
"3","50","1000","2","50"
"4","50","1000","5","50"
"2","50","1000","3","50"
"3","50","1000","3","50"
"4","50","1000","6","50"
"1","50","1000","2","50"
"2","50","1000","4","50"
"4","50","1000","7","50"
"3","50","1000","4","50"
"2","50","1000","5","50"
"3","50","1000","5","50"
"4","50","1000","8","50"
"2","50","1000","6","50"
"3","50","1000","6","50"
"1","50","1000","3","50"
"2","50","1000","7","50"
"3","50","1000","7","50"
"2","50","1000","8","50"
"3","50","1000","8","50"
"4","50","1000","9","50"
"4","50","1000","10","50"
"4","50","1000","11","50"
"1","50","1000","4","50"
"4","50","1000","12","50"
"2","50","1000","9","50"
"4","50","1000","13","50"
"2","50","1000","10","50"
"4","50","1000","14","50"
"2","50","1000","11","50"
"4","50","1000","15","50"
"2","50","1000","12","50"
"3","50","1000","9","50"
"4","50","1000","16","50"
"3","50","1000","10","50"
"2","50","1000","13","50"
"3","50","1000","11","50"
"1","50","1000","5","50"
"2","50","1000","14","50"
"3","50","1000","12","50"
"4","50","1000","17","50"
"3","50","1000","13","50"
"2","50","1000","15","50"
"1","50","1000","6","50"
"3","50","1000","14","50"
"4","50","1000","18","50"
"3","50","1000","15","50"
"2","50","1000","16","50"
"4","50","1000","19","50"
"3","50","1000","16","50"
"1","50","1000","7","50"
"4","50","1000","20","50"
"4","50","1000","21","50"
"1","50","1000","8","50"
"4","50","1000","22","50"
"2","50","1000","17","50"
"3","50","1000","17","50"
"2","50","1000","18","50"
"3","50","1000","18","50"
"2","50","1000","19","50"
"4","50","1000","23","50"
"1","50","1000","9","50"
"3","50","1000","19","50"
"2","50","1000","20","50"
"3","50","1000","20","50"
"2","50","1000","21","50"
"4","50","1000","24","50"
"3","50","1000","21","50"
"1","50","1000","10","50"
"2","50","1000","22","50"
"4","50","1000","25","50"
"3","50","1000","22","50"
"4","50","1000","26","50"
"3","50","1000","23","50"
"1","50","1000","11","50"
"2","50","1000","23","50"
"4","50","1000","27","50"
"3","50","1000","24","50"
"2","50","1000","24","50"
"3","50","1000","25","50"
"1","50","1000","12","50"
"2","50","1000","25","50"
"4","50","1000","28","50"
"3","50","1000","26","50"
"2","50","1000","26","50"
"1","50","1000","13","50"
"4","50","1000","29","50"
"3","50","1000","27","50"
"2","50","1000","27","50"
"4","50","1000","30","50"
"3","50","1000","28","50"
"1","50","1000","14","50"
"2","50","1000","28","50"
"3","50","1000","29","50"
"4","50","1000","31","50"
"2","50","1000","29","50"
"1","50","1000","15","50"
"3","50","1000","30","50"
"4","50","1000","32","50"
"2","50","1000","30","50"
"3","50","1000","31","50"
"1","50","1000","16","50"
"2","50","1000","31","50"
"4","50","1000","33","50"
"3","50","1000","32","50"
"1","50","1000","17","50"
"2","50","1000","32","50"
"3","50","1000","33","50"
"4","50","1000","34","50"
"2","50","1000","33","50"
"1","50","1000","18","50"
"4","50","1000","35","50"
"3","50","1000","34","50"
"2","50","1000","34","50"
"1","50","1000","19","50"
"1","50","1000","20","50"
"2","50","1000","35","50"
"4","50","1000","36","50"
"3","50","1000","35","50"
"1","50","1000","21","50"
"3","50","1000","36","50"
"4","50","1000","37","50"
"2","50","1000","36","50"
"1","50","1000","22","50"
"4","50","1000","38","50"
"2","50","1000","37","50"
"1","50","1000","23","50"
"3","50","1000","37","50"
"4","50","1000","39","50"
"3","50","1000","38","50"
"2","50","1000","38","50"
"1","50","1000","24","50"
"4","50","1000","40","50"
"3","50","1000","39","50"
"1","50","1000","25","50"
"2","50","1000","39","49"
"3","50","1000","40","50"
"4","50","1000","41","50"
"1","50","1000","26","50"
"2","50","1000","40","49"
"3","50","1000","41","49"
"4","50","1000","42","49"
"1","50","1000","27","50"
"2","50","1000","41","48"
"1","50","1000","28","50"
"3","50","1000","42","49"
"4","50","1000","43","48"
"2","50","1000","42","47"
"1","50","1000","29","50"
"3","50","1000","43","49"
"4","50","1000","44","48"
"2","50","1000","43","47"
"1","50","1000","30","50"
"3","50","1000","44","48"
"1","50","1000","31","50"
"4","50","1000","45","46"
"2","50","1000","44","47"
"3","50","1000","45","47"
"1","50","1000","32","50"
"4","50","1000","46","43"
"2","50","1000","45","47"
"3","50","1000","46","47"
"1","50","1000","33","50"
"4","50","1000","47","43"
"2","50","1000","46","46"
"3","50","1000","47","44"
"1","50","1000","34","50"
"4","50","1000","48","43"
"2","50","1000","47","43"
"1","50","1000","35","50"
"3","50","1000","48","43"
"4","50","1000","49","43"
"2","50","1000","48","42"
"3","50","1000","49","39"
"1","50","1000","36","50"
"4","50","1000","50","42"
"2","50","1000","49","41"
"3","50","1000","50","37"
"1","50","1000","37","50"
"4","50","1000","51","38"
"2","50","1000","50","41"
"3","50","1000","51","36"
"1","50","1000","38","50"
"4","50","1000","52","36"
"2","50","1000","51","38"
"3","50","1000","52","34"
"4","50","1000","53","35"
"1","50","1000","39","50"
"2","50","1000","52","37"
"3","50","1000","53","33"
"4","50","1000","54","35"
"1","50","1000","40","49"
"2","50","1000","53","34"
"3","50","1000","54","31"
"1","50","1000","41","49"
"2","50","1000","54","32"
"4","50","1000","55","33"
"3","50","1000","55","28"
"4","50","1000","56","32"
"1","50","1000","42","49"
"2","50","1000","55","29"
"4","50","1000","57","32"
"3","50","1000","56","28"
"1","50","1000","43","47"
"2","50","1000","56","24"
"4","50","1000","58","30"
"3","50","1000","57","28"
"4","50","1000","59","28"
"2","50","1000","57","23"
"1","50","1000","44","47"
"3","50","1000","58","28"
"4","50","1000","60","23"
"2","50","1000","58","22"
"1","50","1000","45","45"
"3","50","1000","59","28"
"4","50","1000","61","21"
"2","50","1000","59","22"
"4","50","1000","62","19"
"3","50","1000","60","27"
"1","50","1000","46","44"
"2","50","1000","60","20"
"4","50","1000","63","19"
"1","50","1000","47","44"
"3","50","1000","61","25"
"4","50","1000","64","19"
"2","50","1000","61","17"
"4","50","1000","65","19"
"3","50","1000","62","24"
"2","50","1000","62","17"
"1","50","1000","48","42"
"4","50","1000","66","19"
"2","50","1000","63","17"
"3","50","1000","63","24"
"4","50","1000","67","19"
"1","50","1000","49","39"
"2","50","1000","64","17"
"3","50","1000","64","21"
"4","50","1000","68","18"
"2","50","1000","65","14"
"1","50","1000","50","39"
"3","50","1000","65","19"
"4","50","1000","69","13"
"3","50","1000","66","19"
"2","50","1000","66","14"
"1","50","1000","51","38"
"4","50","1000","70","12"
"2","50","1000","67","13"
"4","50","1000","71","9"
"3","50","1000","67","19"
"1","50","1000","52","35"
"2","50","1000","68","13"
"4","50","1000","72","8"
"3","50","1000","68","18"
"4","50","1000","73","5"
"2","50","1000","69","10"
"1","50","1000","53","32"
"3","50","1000","69","13"
"4","50","1000","74","4"
"2","50","1000","70","10"
"4","50","1000","75","4"
"3","50","1000","70","13"
"1","50","1000","54","32"
"2","50","1000","71","7"
"4","50","1000","76","4"
"3","50","1000","71","13"
"4","50","1000","77","2"
"2","50","1000","72","7"
"1","50","1000","55","32"
"3","50","1000","72","13"
"4","50","1000","78","2"
"2","50","1000","73","6"
"4","50","1000","79","2"
"3","50","1000","73","13"
"1","50","1000","56","29"
"2","50","1000","74","4"
"4","50","1000","80","2"
"4","50","1000","81","2"
"2","50","1000","75","2"
"3","50","1000","74","9"
"1","50","1000","57","29"
"2","50","1000","76","2"
"3","50","1000","75","9"
"2","50","1000","77","2"
"4","50","1000","82","2"
"1","50","1000","58","28"
"3","50","1000","76","7"
"4","50","1000","83","2"
"1","50","1000","59","25"
"3","50","1000","77","7"
"4","50","1000","84","2"
"2","50","1000","78","1"
"4","50","1000","85","2"
"2","50","1000","79","1"
"3","50","1000","78","7"
"1","50","1000","60","21"
"2","50","1000","80","1"
"4","50","1000","86","1"
"3","50","1000","79","7"
"1","50","1000","61","18"
"4","50","1000","87","1"
"2","50","1000","81","1"
"3","50","1000","80","6"
"4","50","1000","88","1"
"2","50","1000","82","1"
"3","50","1000","81","6"
"4","50","1000","89","1"
"2","50","1000","83","1"
"1","50","1000","62","18"
"3","50","1000","82","6"
"4","50","1000","90","1"
"2","50","1000","84","1"
"3","50","1000","83","5"
"4","50","1000","91","1"
"1","50","1000","63","16"
"2","50","1000","85","1"
"3","50","1000","84","5"
"4","50","1000","92","1"
"2","50","1000","86","1"
"1","50","1000","64","14"
"4","50","1000","93","1"
"3","50","1000","85","5"
"2","50","1000","87","1"
"3","50","1000","86","5"
"4","50","1000","94","1"
"1","50","1000","65","13"
"2","50","1000","88","1"
"4","50","1000","95","1"
"3","50","1000","87","5"
"2","50","1000","89","1"
"1","50","1000","66","13"
"4","50","1000","96","1"
"2","50","1000","90","1"
"3","50","1000","88","5"
"4","50","1000","97","1"
"1","50","1000","67","11"
"2","50","1000","91","1"
"3","50","1000","89","5"
"4","50","1000","98","1"
"2","50","1000","92","1"
"1","50","1000","68","8"
"4","50","1000","99","1"
"3","50","1000","90","5"
"2","50","1000","93","1"
