"BehaviorSpace results (NetLogo 5.3.1)"
"wild_dogs.nlogo"
"sensitivity-analysis"
"04/12/2016 02:18:42:452 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","carrying-capacity","years-to-simulate","mortality-adult","mortality-disperser","mean-meeting-rate","[step]","count dogs","extinct?"
"3","40","100","0.15","0.2","0.4","33","0","true"
"2","40","100","0.15","0.2","0.4","45","0","true"
"5","40","100","0.15","0.2","0.4","76","0","true"
"7","40","100","0.15","0.2","0.4","71","0","true"
"10","40","100","0.15","0.2","0.4","61","0","true"
"8","40","100","0.15","0.2","0.4","100","25","false"
"6","40","100","0.15","0.2","0.4","100","32","false"
"4","40","100","0.15","0.2","0.4","100","26","false"
"14","40","100","0.15","0.2","0.4","36","0","true"
"9","40","100","0.15","0.2","0.4","100","21","false"
"11","40","100","0.15","0.2","0.4","91","0","true"
"12","40","100","0.15","0.2","0.4","100","1","false"
"15","40","100","0.15","0.2","0.4","87","0","true"
"17","40","100","0.15","0.2","0.4","73","0","true"
"18","40","100","0.15","0.2","0.4","64","0","true"
"16","40","100","0.15","0.2","0.4","100","6","false"
"13","40","100","0.15","0.2","0.4","100","2","false"
"22","40","100","0.15","0.2","0.4","39","0","true"
"20","40","100","0.15","0.2","0.4","79","0","true"
"23","40","100","0.15","0.2","0.4","35","0","true"
"19","40","100","0.15","0.2","0.4","100","24","false"
"27","40","100","0.15","0.2","0.4","49","0","true"
"21","40","100","0.15","0.2","0.4","100","31","false"
"24","40","100","0.15","0.2","0.4","76","0","true"
"26","40","100","0.15","0.2","0.4","94","0","true"
"28","40","100","0.15","0.2","0.4","100","2","false"
"25","40","100","0.15","0.2","0.4","100","22","false"
"31","40","100","0.15","0.2","0.6","64","0","true"
"29","40","100","0.15","0.2","0.4","100","18","false"
"30","40","100","0.15","0.2","0.4","92","0","true"
"36","40","100","0.15","0.2","0.6","57","0","true"
"33","40","100","0.15","0.2","0.6","84","0","true"
"35","40","100","0.15","0.2","0.6","100","15","false"
"32","40","100","0.15","0.2","0.6","100","14","false"
"41","40","100","0.15","0.2","0.6","28","0","true"
"34","40","100","0.15","0.2","0.6","100","13","false"
