"","run","profit.multiplier","risk.multiplier","vision.mode","sense.radius","failure.max","turtle.coloring.mode","failure.min","max.ticks","color.patches.by","num.investors","time.horizon","tick","wealth","failures","profit","risk"
"1",1,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,127694.389144848,1.18,7718.60501683824,0.0375459397968723
"2",2,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,136721.628673298,0.95,7725.17437758679,0.0363564738698575
"3",3,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,141876.201170883,0.94,7665.3349351898,0.0335039310904608
"4",4,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,124529.186418302,0.98,7330.74981123567,0.0341660804650657
"5",5,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,143850.055917286,0.92,7770.35659329364,0.0317428007685562
"6",6,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,130421.529947344,1.08,7765.03248107907,0.0364869921855569
"7",7,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,134574.41852419,0.96,7434.27887431706,0.0338394523278225
"8",8,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,120467.958739996,1.24,7333.15383086467,0.0383925317568224
"9",9,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,134417.907241975,0.98,7939.9940289306,0.0356172251261415
"10",10,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,130217.205844024,0.93,7394.49303119794,0.0358894254050067
"11",11,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,134865.933850035,0.98,7621.2678241216,0.0335588099527858
"12",12,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,1,24,132657.32230044,1.07,7736.9928952335,0.0351341371646283
