"BehaviorSpace results (NetLogo 5.3.1)"
"telemarketer_mergers_class_14.nlogo"
"vary_initial_telemarketers"
"02/23/2017 01:22:28:800 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"12","50","1000","0","50"
"13","50","1000","0","50"
"2","50","1000","0","50"
"5","50","1000","0","50"
"4","50","1000","0","50"
"8","50","1000","0","50"
"7","50","1000","0","50"
"9","50","1000","0","50"
"19","50","1000","0","50"
"20","50","1000","0","50"
"18","50","1000","0","50"
"3","50","1000","0","50"
"17","50","1000","0","50"
"10","50","1000","0","50"
"11","50","1000","0","50"
"6","50","1000","0","50"
"16","50","1000","0","50"
"15","50","1000","0","50"
"14","50","1000","0","50"
"1","50","1000","0","50"
"15","50","1000","1","50"
"9","50","1000","1","50"
"5","50","1000","1","50"
"11","50","1000","1","50"
"16","50","1000","1","50"
"3","50","1000","1","50"
"18","50","1000","1","50"
"2","50","1000","1","50"
"13","50","1000","1","50"
"7","50","1000","1","50"
"6","50","1000","1","50"
"17","50","1000","1","50"
"20","50","1000","1","50"
"14","50","1000","1","50"
"19","50","1000","1","50"
"4","50","1000","1","50"
"12","50","1000","1","50"
"10","50","1000","1","50"
"1","50","1000","1","50"
"3","50","1000","2","50"
"18","50","1000","2","50"
"5","50","1000","2","50"
"8","50","1000","1","50"
"19","50","1000","2","50"
"2","50","1000","2","50"
"3","50","1000","3","50"
"1","50","1000","2","50"
"14","50","1000","2","50"
"19","50","1000","3","50"
"7","50","1000","2","50"
"11","50","1000","2","50"
"2","50","1000","3","50"
"9","50","1000","2","50"
"3","50","1000","4","50"
"4","50","1000","2","50"
"10","50","1000","2","50"
"20","50","1000","2","50"
"8","50","1000","2","50"
"18","50","1000","3","50"
"5","50","1000","3","50"
"15","50","1000","2","50"
"12","50","1000","2","50"
"13","50","1000","2","50"
"17","50","1000","2","50"
"6","50","1000","2","50"
"14","50","1000","3","50"
"19","50","1000","4","50"
"15","50","1000","3","50"
"4","50","1000","3","50"
"10","50","1000","3","50"
"11","50","1000","3","50"
"16","50","1000","2","50"
"9","50","1000","3","50"
"8","50","1000","3","50"
"14","50","1000","4","50"
"18","50","1000","4","50"
"5","50","1000","4","50"
"10","50","1000","4","50"
"13","50","1000","3","50"
"15","50","1000","4","50"
"2","50","1000","4","50"
"4","50","1000","4","50"
"11","50","1000","4","50"
"19","50","1000","5","50"
"7","50","1000","3","50"
"13","50","1000","4","50"
"14","50","1000","5","50"
"8","50","1000","4","50"
"15","50","1000","5","50"
"4","50","1000","5","50"
"9","50","1000","4","50"
"2","50","1000","5","50"
"20","50","1000","3","50"
"12","50","1000","3","50"
"1","50","1000","3","50"
"18","50","1000","5","50"
"11","50","1000","5","50"
"19","50","1000","6","50"
"14","50","1000","6","50"
"7","50","1000","4","50"
"16","50","1000","3","50"
"3","50","1000","5","50"
"17","50","1000","3","50"
"4","50","1000","6","50"
"20","50","1000","4","50"
"8","50","1000","5","50"
"15","50","1000","6","50"
"9","50","1000","5","50"
