"BehaviorSpace results (NetLogo 5.3.1)"
"segregation.nlogo"
"first-experiment"
"04/11/2017 01:16:57:528 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-similar"
"3","50","0","0","49.42528735632184"
"11","50","0","0","51.24798711755234"
"14","50","0","0","49.86767485822306"
"8","50","0","0","50.12891344383057"
"5","50","0","0","49.0795142969056"
"12","50","0","0","49.050632911392405"
"6","50","0","0","50.710172744721696"
"16","50","0","0","49.80392156862745"
"15","50","0","0","49.37353171495693"
"10","50","0","0","51.72117039586919"
"7","50","0","0","48.77952755905512"
"18","50","0","0","50.4617657923901"
"13","50","0","0","49.62080173347779"
"19","50","0","0","50.797975866095754"
"17","50","0","0","50.43544112078758"
"4","50","0","0","50.72024260803639"
"2","50","0","0","48.20473644003056"
"20","50","0","0","50.860420650095605"
"9","50","0","0","49.07332796132152"
"1","50","0","0","49.67619047619047"
"22","50","5","4","56.596839397280405"
"38","50","5","3","57.38595220854453"
"26","50","5","4","57.007933509633546"
"33","50","5","4","56.119073869900774"
"32","50","5","3","56.829549826856486"
"27","50","5","3","56.81318681318681"
"30","50","5","4","55.40925266903914"
"24","50","5","6","54.90331491712708"
"25","50","5","5","57.68515072571642"
"28","50","5","4","56.36029411764706"
"37","50","5","4","55.72331460674157"
"34","50","5","4","56.729070999646765"
"35","50","5","4","56.903765690376574"
"23","50","5","5","57.3919360697421"
"31","50","5","3","57.73044436283511"
"36","50","5","4","57.58697261287935"
"43","50","10","4","57.64665988470667"
"47","50","10","3","54.808387563268255"
"29","50","5","6","57.72236695199106"
"21","50","5","5","56.16587850127319"
"44","50","10","4","56.19484645252383"
"41","50","10","6","57.03334610962054"
"52","50","10","3","55.49174443646806"
"51","50","10","4","59.2520451889365"
"46","50","10","4","57.768777614138436"
"42","50","10","5","57.79679940454038"
"48","50","10","5","57.43665075284613"
"45","50","10","4","56.85848715164676"
"49","50","10","5","56.941802966907574"
"50","50","10","5","57.580457541682826"
"58","50","10","5","57.509433962264154"
"53","50","10","3","56.193458594293666"
"59","50","10","4","57.72532188841202"
"54","50","10","5","54.42300691663633"
"57","50","10","6","58.416206261510126"
"39","50","5","6","58.05161759360232"
"62","50","15","6","57.65400221320546"
"66","50","15","4","58.67620751341681"
"63","50","15","5","58.41622035195103"
"64","50","15","5","56.57439446366782"
"40","50","5","4","57.36196319018405"
"65","50","15","4","58.19209039548022"
"60","50","10","4","55.71757482732157"
"70","50","15","4","56.730769230769226"
"61","50","15","5","56.936619718309856"
"56","50","10","5","55.669737774627926"
"69","50","15","5","58.00988002822866"
"73","50","15","4","56.441947565543074"
"67","50","15","5","56.44080416976918"
"55","50","10","5","58.028169014084504"
"68","50","15","5","56.74300254452926"
"71","50","15","5","58.14373420007223"
"77","50","15","4","58.584729981378025"
"75","50","15","7","56.87369155617586"
"85","50","20","4","61.986035686578745"
"72","50","15","7","58.05597579425113"
"78","50","15","7","57.76024051108606"
"74","50","15","5","55.55967383246849"
"76","50","15","4","57.850330154071905"
"83","50","20","4","57.21446473326173"
"79","50","15","5","56.65385958784491"
"84","50","20","6","59.97736703130894"
"80","50","15","5","58.745874587458744"
"87","50","20","5","60.234776228906824"
"82","50","20","7","59.840055632823365"
"91","50","20","5","59.38814531548757"
"92","50","20","4","59.54667691125625"
"88","50","20","6","59.1941391941392"
"86","50","20","5","59.67153284671532"
"93","50","20","7","61.0975183502272"
"90","50","20","5","57.45664739884393"
"94","50","20","5","59.924812030075195"
"96","50","20","5","59.245697546686195"
"89","50","20","8","59.041557469112696"
"95","50","20","5","58.40084536808735"
"97","50","20","6","59.715462373642836"
"98","50","20","5","60.198092443140126"
"105","50","25","5","64.81892091648189"
"99","50","20","5","58.19615912208504"
"104","50","25","7","65.30531324345758"
"100","50","20","7","60.196649672250544"
"107","50","25","9","64.91228070175438"
"103","50","25","9","68.02575107296137"
"101","50","25","9","64.79683567062207"
"109","50","25","7","64.68133535660091"
"114","50","25","7","64.92331891466772"
"106","50","25","9","65.06447831184057"
"110","50","25","8","63.182140326009915"
"108","50","25","8","65.30539772727273"
"112","50","25","9","67.54418954494172"
"116","50","25","7","67.77735706171904"
"102","50","25","11","64.96993987975952"
"113","50","25","11","65"
"117","50","25","7","64.79572355861015"
"115","50","25","9","63.971417826250466"
"111","50","25","8","66.02980512036683"
"118","50","25","7","65.00190621425848"
"119","50","25","6","66.7557251908397"
"120","50","25","9","66.80560818491853"
"81","50","20","6","58.41337602276769"
"123","50","30","11","76.85519454472524"
"124","50","30","10","73.9179525780956"
"121","50","30","11","73.53279631760644"
"130","50","30","8","73.63970588235294"
"126","50","30","10","75.88461538461539"
"133","50","30","9","75.66074950690336"
"132","50","30","8","74.06559877955759"
"127","50","30","8","76.01532567049809"
"128","50","30","11","74.3141153081511"
"125","50","30","12","74.40915805022156"
"136","50","30","10","73.78535170413343"
"122","50","30","13","77.28719172633254"
"135","50","30","11","75.20278099652376"
"139","50","30","13","72.92352725942189"
"131","50","30","14","75.22538766678687"
"129","50","30","14","74.02885682574917"
"137","50","30","12","76.20374054914446"
"141","50","35","10","82.20986796386379"
"134","50","30","15","76.88555347091932"
"138","50","30","12","73.96996534462842"
"149","50","35","12","84.41121495327103"
"142","50","35","13","82.00743494423793"
"143","50","35","9","83.80651945320714"
"146","50","35","16","83.8826512133285"
"144","50","35","17","83.423814694173"
"154","50","35","9","83.11836115326253"
"145","50","35","14","84.53101361573374"
"153","50","35","9","82.03793231684641"
"156","50","35","12","84.44360333080999"
"151","50","35","17","84.16826003824092"
"155","50","35","15","85.2740953063418"
"162","50","40","11","84.32727272727273"
"158","50","35","15","84.7997004867091"
"147","50","35","21","82.95174357168017"
"161","50","40","14","83.21167883211679"
"159","50","35","12","82.64230498945889"
"157","50","35","11","82.14669051878354"
"166","50","40","9","82.461786001609"
"150","50","35","16","81.70257859413634"
"165","50","40","13","85.65400843881856"
"148","50","35","14","82.84789644012946"
"152","50","35","15","83.58154740283328"
"164","50","40","19","82.36933797909408"
"168","50","40","14","83.27219369038885"
"163","50","40","14","85.1995350639287"
"167","50","40","16","83.76259798432251"
"170","50","40","9","84.08396946564885"
"172","50","40","12","81.6014234875445"
"160","50","35","15","85.85308977846871"
"178","50","40","10","81.67360848163574"
"171","50","40","12","83.72348207754207"
"176","50","40","11","84.31941923774954"
"169","50","40","14","82.35081374321881"
"175","50","40","14","82.86445012787725"
"173","50","40","17","80.58425365158533"
"180","50","40","14","84.99607227022781"
"174","50","40","15","80.754039497307"
"183","50","45","16","87.19629772464327"
"179","50","40","13","84.37847866419294"
"177","50","40","14","82.60565840027942"
"188","50","45","14","90.70977331846896"
"185","50","45","14","89.31047063115652"
"191","50","45","14","90.98901098901099"
"184","50","45","17","89.39338903014892"
"192","50","45","13","88.68725868725869"
"190","50","45","17","90.62821833161689"
"194","50","45","16","89.26739926739927"
"181","50","45","14","88.74251497005989"
"182","50","45","16","90.3731343283582"
"193","50","45","14","90.3698534542917"
"186","50","45","21","89.32867675591774"
"195","50","45","19","89.60987261146497"
"187","50","45","13","89.63460104399702"
"198","50","45","16","90.02576370997424"
"201","50","50","14","91.19047619047619"
"197","50","45","19","90.70331447049313"
"203","50","50","13","89.02809415337889"
"196","50","45","23","89.40443213296399"
"189","50","45","17","88.70722433460077"
"207","50","50","14","89.20339668418924"
"205","50","50","13","88.21248545948042"
"206","50","50","14","89.31475029036005"
"221","55","0","0","48.47436300723498"
"222","55","0","0","49.798449612403104"
"202","50","50","19","89.04428904428904"
"200","50","45","16","89.38775510204081"
"224","55","0","0","51.291866028708135"
"223","55","0","0","48.22764227642276"
"225","55","0","0","48.87674559805708"
"209","50","50","13","89.85288570350811"
"228","55","0","0","51.56980627922512"
"226","55","0","0","49.9672988881622"
"227","55","0","0","50.13657056145675"
"140","50","30","12","74.79789103690685"
"229","55","0","0","50.64811887448625"
"204","50","50","19","89.97475658131987"
"230","55","0","0","50.42306486994672"
"233","55","0","0","48.35058214747736"
"231","55","0","0","50.4320987654321"
"217","50","50","11","88.7457370215991"
"235","55","0","0","49.614078419265205"
"210","50","50","16","89.182156133829"
"211","50","50","15","90.94412331406551"
"232","55","0","0","48.43698585060876"
"199","50","45","18","90.49630411826821"
"236","55","0","0","50"
"238","55","0","0","47.848932676518885"
"239","55","0","0","50.45454545454545"
"240","55","0","0","50.22040302267003"
"237","55","0","0","49.57365480740958"
"213","50","50","13","89.95368721054507"
"212","50","50","18","88.4629165173773"
"215","50","50","14","88.08234019501626"
"234","55","0","0","48.52530270102452"
"241","55","5","3","53.51945351945352"
"214","50","50","18","89.3048128342246"
"242","55","5","3","55.30233971437253"
"243","55","5","3","55.49025672749768"
"249","55","5","4","53.21044546850998"
"247","55","5","5","55.68424260896069"
"252","55","5","3","56.493506493506494"
"218","50","50","17","88.38310269482884"
"208","50","50","19","89.98543335761107"
"220","50","50","16","89.0301489284417"
"248","55","5","5","55.71693448702101"
"246","55","5","5","56.36252670125115"
"251","55","5","3","53.49721978343577"
"244","55","5","6","55.530618788073106"
"250","55","5","4","56.57934357121349"
"245","55","5","3","56.83385579937305"
"253","55","5","5","54.40693158051987"
"256","55","5","4","55.68844807467911"
"216","50","50","20","90.62129006727345"
"257","55","5","3","54.36020377584657"
"258","55","5","3","55.85472761427677"
"255","55","5","4","55.333937745542464"
"264","55","10","3","57.1831869510665"
"262","55","10","3","55.035545023696685"
"261","55","10","4","56.390066626287094"
"259","55","5","4","55.132850241545896"
"260","55","5","4","53.81040892193308"
"271","55","10","4","54.391789918502866"
"219","50","50","18","89.60747663551402"
"272","55","10","3","55.77269993986771"
"263","55","10","4","55.00765696784073"
"267","55","10","4","57.19927095990279"
"270","55","10","3","56.91056910569105"
"273","55","10","3","54.818925233644855"
"276","55","10","3","55.73926868044515"
"265","55","10","5","54.983029929034245"
"269","55","10","5","54.76895734597157"
"274","55","10","4","53.83217206906998"
"277","55","10","4","54.351909830932996"
"266","55","10","5","55.439208842350205"
"275","55","10","5","55.144032921810705"
"282","55","15","4","56.269302038295244"
"279","55","10","6","53.51402458241412"
"280","55","10","4","56.35820895522387"
"268","55","10","5","54.743861776295844"
"284","55","15","4","55.58814901730713"
"278","55","10","7","55.9116365899191"
"288","55","15","4","55.23568490983865"
"281","55","15","7","54.72230938186382"
"285","55","15","4","58.08383233532935"
"286","55","15","5","55.3475935828877"
"292","55","15","4","56.14138438880707"
"290","55","15","4","56.123662306777646"
"294","55","15","3","54.833040421792624"
"293","55","15","5","56.121794871794876"
"291","55","15","4","56.71870217324763"
"296","55","15","4","54.36003547147502"
"295","55","15","4","55.61694290976059"
"283","55","15","6","56.92634131555017"
"287","55","15","7","57.52434809927741"
"298","55","15","5","57.81990521327014"
"303","55","20","4","59.43966889525629"
"300","55","15","5","55.908289241622576"
"297","55","15","6","58.423586040914564"
"289","55","15","6","57.08502024291497"
"299","55","15","5","57.03534031413613"
"304","55","20","5","57.820179242555646"
"305","55","20","4","57.84107946026986"
"302","55","20","8","57.21776681061074"
"301","55","20","8","58.02931088244465"
"307","55","20","6","59.45454545454546"
"309","55","20","6","59.57182748991623"
"317","55","20","4","58.41521394611727"
"311","55","20","6","58.270911360799005"
"306","55","20","7","59.981285090455394"
"314","55","20","6","57.6215505913272"
"308","55","20","6","56.2167240839336"
"313","55","20","5","58.22249093107617"
"318","55","20","4","59.42320590207915"
"312","55","20","5","60.84905660377359"
"310","55","20","6","59.216441875401415"
"315","55","20","6","57.92701625268323"
"316","55","20","6","59.97666277712952"
"320","55","20","5","59.21717171717171"
"319","55","20","7","57.757296466973884"
"324","55","25","6","66.33279483037157"
"321","55","25","6","65.95744680851064"
"329","55","25","6","66.02279924002534"
"254","55","5","5","55.67875337129158"
"328","55","25","8","67.55514705882352"
"333","55","25","8","63.24149108589951"
"336","55","25","7","63.863707408565176"
"325","55","25","11","68.11059907834101"
"337","55","25","8","63.327999999999996"
"327","55","25","11","64.67272157845287"
"330","55","25","9","67.578125"
"323","55","25","10","65.49549549549549"
"322","55","25","9","64.58200382897256"
"335","55","25","10","62.54635352286774"
"334","55","25","9","61.81136429189501"
"331","55","25","12","63.462804476629366"
"339","55","25","7","63.24062877871825"
"338","55","25","7","63.13586606567934"
"326","55","25","15","65.24351676154333"
"332","55","25","10","65.17521902377973"
"341","55","30","8","73.2191990217059"
"340","55","25","10","64.98442367601245"
"342","55","30","10","73.35494327390599"
"344","55","30","9","71.8408262454435"
"348","55","30","9","78.13938198553583"
"347","55","30","10","72.90167865707434"
"346","55","30","10","75.15262515262515"
"352","55","30","8","72.4375"
"349","55","30","10","73.58490566037736"
"345","55","30","13","74.00688145136066"
"350","55","30","11","74.10582323381614"
"355","55","30","10","73.08649657747355"
"357","55","30","11","75.20264184929451"
"351","55","30","12","72.84364523011277"
"354","55","30","13","75.57480839720093"
"359","55","30","10","74.38725490196079"
"353","55","30","14","76.70595533498759"
"358","55","30","14","75.421611492817"
"356","55","30","15","73.69240348692404"
"360","55","30","11","73.6403069736403"
"361","55","35","13","81.33813381338135"
"363","55","35","12","82.67597087378641"
"362","55","35","12","80.73447974351501"
"365","55","35","12","82.51686711645644"
"367","55","35","12","81.17206982543641"
"368","55","35","12","82.6743133111983"
"370","55","35","10","83.58067571834543"
"364","55","35","19","82.24796493425173"
"366","55","35","14","82.80216476247745"
"372","55","35","13","83.14358001265022"
"371","55","35","14","80.66935949221003"
"369","55","35","17","81.47050103765194"
"374","55","35","12","81.66765227675931"
"377","55","35","14","80.98772480730803"
"373","55","35","15","80.66165413533835"
"380","55","35","12","81.01067168863779"
"376","55","35","14","81.15569823434991"
"375","55","35","13","81.0232004759072"
"381","55","40","12","81.55497722836695"
"378","55","35","13","83.0518697225573"
"379","55","35","13","80.35119588253103"
"384","55","40","11","81.30153121319199"
"382","55","40","15","83.47381095725467"
"386","55","40","12","82.97029702970296"
"385","55","40","14","81.99316982303633"
"383","55","40","18","85.21481481481482"
"387","55","40","11","84.02646502835539"
"388","55","40","11","81.08108108108108"
"391","55","40","12","80.68709377901578"
"392","55","40","13","81.34615384615384"
"390","55","40","14","81.71241050119332"
"393","55","40","13","83.08776425368353"
"396","55","40","11","82.8239608801956"
"395","55","40","14","83.22253877809433"
"394","55","40","14","80.82111436950147"
"397","55","40","14","81.21387283236994"
"401","55","45","13","88.30246913580247"
"389","55","40","12","82.39395700174316"
"400","55","40","14","81.25188993045056"
"399","55","40","16","81.7004317502491"
"398","55","40","16","81.80661577608143"
"402","55","45","16","88.57401266204401"
"343","55","30","9","73.79267917563827"
"405","55","45","15","89.59952181709504"
"404","55","45","19","89.51204055766794"
"406","55","45","15","88.84057971014492"
"410","55","45","11","88.20945945945947"
"403","55","45","20","89.48393378773125"
"412","55","45","13","89.0806401004079"
"407","55","45","15","88.36436170212765"
"414","55","45","13","88.3652908677283"
"411","55","45","20","88.125"
"408","55","45","17","88.61985472154964"
"418","55","45","15","90.21464646464646"
"409","55","45","17","89.51858622790981"
"415","55","45","17","88.66880279638801"
"416","55","45","15","88.64115697499247"
"413","55","45","21","88.85288399222294"
"420","55","45","17","89.86422481844016"
"417","55","45","14","88.13878429263045"
"419","55","45","15","88.72315035799522"
"427","55","50","12","89.07120743034056"
"423","55","50","15","89.65406790518898"
"424","55","50","14","87.28399087055755"
"441","60","0","0","48.200270635994585"
"442","60","0","0","49.21011058451817"
"421","55","50","19","89.07537381751602"
"444","60","0","0","50.26483050847458"
"443","60","0","0","51.128990397093176"
"445","60","0","0","49.97304582210242"
"448","60","0","0","47.96831075900843"
"447","60","0","0","50.60335781741868"
"430","55","50","13","89.60122699386504"
"446","60","0","0","49.59156785243742"
"450","60","0","0","49.03719335267739"
"449","60","0","0","50.930851063829785"
"451","60","0","0","50.39390756302521"
"453","60","0","0","51.23571618389583"
"452","60","0","0","49.179879715691634"
"426","55","50","20","88.54766474728088"
"454","60","0","0","48.87478361223312"
"456","60","0","0","48.29168791432942"
"458","60","0","0","50.41499330655957"
"429","55","50","17","88.73466752743707"
"425","55","50","22","88.9934148635936"
"459","60","0","0","49.71006852925672"
"455","60","0","0","49.57446808510638"
"460","60","0","0","50.711159737417944"
"431","55","50","16","88.83888388838884"
"457","60","0","0","49.81203007518797"
"428","55","50","18","88.16254416961131"
"434","55","50","16","89.20012449424213"
"438","55","50","12","88.57672121025007"
"432","55","50","15","87.40601503759399"
"440","55","50","12","88.90639773085408"
"437","55","50","17","89.10481044918764"
"467","60","5","3","54.75797579757976"
"439","55","50","13","88.61241217798595"
"465","60","5","3","54.83784508174752"
"462","60","5","3","53.736654804270465"
"466","60","5","3","55.46602202524845"
"461","60","5","4","54.67054776395872"
"435","55","50","16","88.01932367149759"
"463","60","5","3","53.61746908708235"
"468","60","5","4","53.17204301075269"
"464","60","5","4","54.717948717948715"
"433","55","50","20","89.6796056685151"
"469","60","5","4","53.67420349434738"
"436","55","50","19","89.16372202591283"
"471","60","5","4","54.3735820519284"
"472","60","5","3","56.23149394347241"
"470","60","5","5","53.27534656156564"
"475","60","5","3","53.04697986577182"
"474","60","5","3","55.13741025006189"
"482","60","10","3","52.47913598429063"
"480","60","5","4","54.71797575118609"
"478","60","5","4","55.172413793103445"
"479","60","5","3","53.29169919333854"
"486","60","10","3","53.304789938453304"
"473","60","5","3","54.74816369359916"
"477","60","5","3","53.58130183463181"
"483","60","10","3","54.90294933198891"
"485","60","10","3","55.053763440860216"
"476","60","5","4","55.34028812717337"
"481","60","10","5","54.38263229308006"
"484","60","10","4","55.26985743380855"
"487","60","10","3","53.125772176921174"
"489","60","10","4","55.038167938931295"
"488","60","10","5","54.9973418394471"
"490","60","10","4","56.07921784908498"
"493","60","10","3","53.86834513506425"
"496","60","10","3","55.08451837939361"
"492","60","10","4","53.99946850916821"
"494","60","10","3","53.94255874673629"
"495","60","10","4","53.799392097264445"
"491","60","10","4","54.40267765190525"
"497","60","10","3","54.045561665357425"
"498","60","10","4","54.65055176037835"
"499","60","10","5","55.49132947976878"
"502","60","15","4","54.6207610665286"
"500","60","10","4","55.25432481280661"
"503","60","15","4","56.466069142125484"
"504","60","15","4","55.028007468658316"
"505","60","15","4","54.92161398098175"
"506","60","15","4","54.28881650380022"
"501","60","15","6","57.11925089507023"
"509","60","15","3","57.088948787062"
"515","60","15","3","53.47860330795484"
"514","60","15","4","54.29553264604811"
"511","60","15","4","55.258467023172905"
"516","60","15","4","55.234375"
"510","60","15","4","54.982115482881966"
"517","60","15","4","56.64032628090747"
"507","60","15","7","53.93286573146293"
"508","60","15","7","55.81095041322314"
