"BehaviorSpace results (NetLogo 6.0.2)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"02/20/2018 04:06:18:929 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"3","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","141876.20117088332","0.94","7665.334935189802","0.03350393109046075"
"13","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","130131.69948687498","0.88","7433.3832089941","0.034478586120837595"
"11","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","134865.9338500349","0.98","7621.267824121602","0.03355880995278576"
"4","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","124529.18641830198","0.98","7330.749811235673","0.03416608046506574"
"14","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","125482.6063709017","1.09","7768.8096999927475","0.035566653447812485"
"15","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","138791.8869582214","0.94","7624.856489718789","0.033040385957210844"
"10","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","130217.20584402424","0.93","7394.493031197937","0.035889425405006704"
"16","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","136246.61947174318","0.89","7386.844720366826","0.03129323009160768"
"8","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","120467.9587399961","1.24","7333.153830864667","0.03839253175682243"
"7","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","134574.41852419009","0.96","7434.278874317065","0.033839452327822456"
"18","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","121421.99007901516","1.16","8051.531699662187","0.0346003063711039"
"17","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","134491.13451155505","0.97","7583.0035112415335","0.03427777552086586"
"6","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","130421.52994734442","1.08","7765.0324810790735","0.03648699218555695"
"21","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","136731.90853542712","1.03","7480.911785935248","0.033905719261650195"
"20","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","122652.67135781716","1.07","7128.907968088035","0.03449968228309807"
"22","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","119044.61112893431","1.18","7480.308570672304","0.04050670995962074"
"24","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","131436.9009758777","1.03","7011.558417198925","0.03359595723191783"
"26","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","128404.49557918755","1.18","7503.561145191152","0.0345099502222704"
"23","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","124617.78797950454","0.97","7444.495892211303","0.034912617453812925"
"25","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","107037.86457043802","1.32","7287.748738806203","0.039898324931803966"
"27","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","126780.66140198975","1.02","7153.533395700365","0.03409292622863456"
"34","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","135840.56283269537","0.9","7476.679257037408","0.030373521980790658"
"12","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","132657.32230044043","1.07","7736.992895233502","0.035134137164628265"
"9","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","134417.90724197484","0.98","7939.994028930603","0.035617225126141475"
"19","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","120111.70856451835","1.23","7504.953735134439","0.03820306125277275"
"28","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","128395.2833175486","1.15","7742.744884074516","0.03912845997623605"
"5","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","143850.05591728556","0.92","7770.3565932936435","0.03174280076855615"
"32","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","135147.37684279252","0.92","7515.508470353125","0.031517796184634905"
"30","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","133642.4189148278","0.88","7661.632178803331","0.034623383433472404"
"33","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","129535.15940154628","0.85","7472.798391313038","0.03254827290698748"
"29","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","139711.18206644407","0.9","7477.41663742699","0.03540995036452614"
"31","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","135528.9848602271","0.84","7272.537803672104","0.031673341732094705"
"36","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","136333.07875647623","1","7436.5306351013305","0.03581152908868373"
"37","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","126603.95361478107","0.92","6959.117350821777","0.03145240219421043"
"2","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","1","24","136721.62867329753","0.95","7725.174377586793","0.036356473869857464"
"38","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","122282.14991846151","1.13","7993.294676637323","0.036704377417159845"
"39","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","122806.84755042264","1.18","7580.613671917407","0.037224440424953945"
"35","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","130466.9252911433","0.9","7524.857757521861","0.03386680226881022"
"40","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","2","24","115578.16929132739","1.16","7480.74153850815","0.04083101281718746"
"42","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","130915.29600355301","0.91","7554.488904175691","0.03401463533696302"
"41","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","122430.42364150101","1.15","7791.932014597068","0.03452292376500539"
