cal_id,date,cancelled,makeup,cal_ref
1001,"Wednesday, August 21, 2024",0,0,
1002,"Monday, August 26, 2024",0,0,
1003,"Wednesday, August 28, 2024",0,0,
1004,"Monday, September 2, 2024",0,0,
1005,"Wednesday, September 4, 2024",0,0,
1006,"Monday, September 9, 2024",0,0,
1007,"Wednesday, September 11, 2024",0,0,
1008,"Monday, September 16, 2024",0,0,
1009,"Wednesday, September 18, 2024",0,0,
1010,"Monday, September 23, 2024",0,0,
1011,"Wednesday, September 25, 2024",0,0,
1012,"Monday, September 30, 2024",0,0,
1013,"Wednesday, October 2, 2024",0,0,
1014,"Monday, October 7, 2024",0,0,
1015,"Wednesday, October 9, 2024",0,0,
1016,"Wednesday, October 16, 2024",0,0,
1017,"Monday, October 21, 2024",0,0,
1018,"Wednesday, October 23, 2024",0,0,
1019,"Monday, October 28, 2024",0,0,
1020,"Wednesday, October 30, 2024",0,0,
1021,"Monday, November 4, 2024",0,0,
1022,"Wednesday, November 6, 2024",0,0,
1023,"Monday, November 11, 2024",0,0,
1024,"Wednesday, November 13, 2024",0,0,
1025,"Monday, November 18, 2024",0,0,
1026,"Wednesday, November 20, 2024",0,0,
1027,"Monday, December 2, 2024",0,0,
1028,"Wednesday, December 4, 2024",0,0,
2001,"Monday, August 26, 2024",0,0,
2002,"Monday, September 2, 2024",0,0,
2004,"Wednesday, September 4, 2024",0,0,
2005,"Wednesday, September 11, 2024",0,0,
2006,"Wednesday, September 18, 2024",0,0,
2007,"Monday, September 23, 2024",0,0,
2008,"Friday, September 27, 2024",0,0,
2009,"Monday, September 30, 2024",0,0,
2010,"Wednesday, October 2, 2024",0,0,
2011,"Monday, October 7, 2024",0,0,
2012,"Monday, October 21, 2024",0,0,
2013,"Friday, October 25, 2024",0,0,
2014,"Friday, November 1, 2024",0,0,
2015,"Friday, November 8, 2024",0,0,
2016,"Monday, December 2, 2024",0,0,
2017,"Wednesday, December 4, 2024",0,0,
2018,"Friday, December 6, 2024",0,0,
6001,"Monday, October 14, 2024",0,0,
6002,"Monday, November 25, 2024",0,0,
6003,"Wednesday, November 27, 2024",0,0,
