cal_id,date,cancelled,makeup,cal_ref,
1001,"Wednesday, August 20, 2025",0,0,,2025-08-20
1002,"Monday, August 25, 2025",0,0,,2025-08-25
1003,"Wednesday, August 27, 2025",0,0,,2025-08-27
1004,"Monday, September 1, 2025",0,0,,2025-09-01
1005,"Wednesday, September 3, 2025",0,0,,2025-09-03
1006,"Monday, September 8, 2025",0,0,,2025-09-08
1007,"Wednesday, September 10, 2025",0,0,,2025-09-10
1008,"Monday, September 15, 2025",0,0,,2025-09-15
1009,"Wednesday, September 17, 2025",0,0,,2025-09-17
1010,"Monday, September 22, 2025",0,0,,2025-09-22
1011,"Wednesday, September 24, 2025",0,0,,2025-09-24
1012,"Monday, September 29, 2025",0,0,,2025-09-29
1013,"Wednesday, October 1, 2025",0,0,,2025-10-01
1014,"Monday, October 6, 2025",0,0,,2025-10-06
1015,"Wednesday, October 8, 2025",0,0,,2025-10-08
1016,"Wednesday, October 15, 2025",0,0,,2025-10-15
1017,"Monday, October 20, 2025",0,0,,2025-10-20
1018,"Wednesday, October 22, 2025",0,0,,2025-10-22
1019,"Monday, October 27, 2025",0,0,,2025-10-27
1020,"Wednesday, October 29, 2025",0,0,,2025-10-29
1021,"Monday, November 3, 2025",0,0,,2025-11-03
1022,"Wednesday, November 5, 2025",0,0,,2025-11-05
1023,"Monday, November 10, 2025",0,0,,2025-11-10
1024,"Wednesday, November 12, 2025",0,0,,2025-11-12
1025,"Monday, November 17, 2025",0,0,,2025-11-17
1026,"Wednesday, November 19, 2025",0,0,,2025-11-19
1027,"Monday, December 1, 2025",0,0,,2025-12-01
1028,"Wednesday, December 3, 2025",0,0,,2025-12-03
2001,"Monday, August 25, 2025",0,0,,2025-08-25
2002,"Monday, September 1, 2025",0,0,,2025-09-01
2004,"Wednesday, September 3, 2025",0,0,,2025-09-03
2005,"Wednesday, September 10, 2025",0,0,,2025-09-10
2006,"Wednesday, September 17, 2025",0,0,,2025-09-17
2007,"Monday, September 22, 2025",0,0,,2025-09-22
2008,"Friday, September 26, 2025",0,0,,2025-09-26
2009,"Monday, September 29, 2025",0,0,,2025-09-29
2010,"Wednesday, October 1, 2025",0,0,,2025-10-01
2011,"Monday, October 6, 2025",0,0,,2025-10-06
2012,"Monday, October 20, 2025",0,0,,2025-10-20
2013,"Friday, October 24, 2025",0,0,,2025-10-24
2014,"Friday, October 31, 2025",0,0,,2025-10-31
2015,"Friday, November 7, 2025",0,0,,2025-11-07
2016,"Monday, December 1, 2025",0,0,,2025-12-01
2017,"Wednesday, December 3, 2025",0,0,,2025-12-03
2018,"Friday, December 5, 2025",0,0,,2025-12-05
6001,"Monday, October 13, 2025",0,0,,2025-10-13
6002,"Monday, November 24, 2025",0,0,,2025-11-24
6003,"Wednesday, November 26, 2025",0,0,,2025-11-26
