cal_id,date,cancelled,makeup,cal_ref,,
1001,2026-08-27,0,0,,,
1002,2026-09-01,0,0,,,
1003,2026-09-03,0,0,,,
1004,2026-09-08,0,0,,,
1005,2026-09-10,0,0,,,
1006,2026-09-15,0,0,,,
1007,2026-09-17,0,0,,,
1008,2026-09-22,0,0,,,
1009,2026-09-24,0,0,,,
1010,2026-09-29,0,0,,,
1011,2026-10-01,0,0,,,
1012,2026-10-06,0,0,,,
1013,2026-10-08,0,0,,,
1014,2026-10-13,0,0,,,
1015,2026-10-15,0,0,,,
1016,2026-10-20,0,0,,,
1017,2026-10-27,0,0,,,
1018,2026-10-29,0,0,,,
1019,2026-11-03,0,0,,,
1020,2026-11-05,0,0,,,
1021,2026-11-10,0,0,,,
1022,2026-11-12,0,0,,,
1023,2026-11-17,0,0,,,
1024,2026-11-26,0,0,,,
1025,2026-12-01,0,0,,,
1026,2026-12-03,0,0,,,
1027,2026-12-08,0,0,,,
1028,2026-12-10,0,0,,,
2001,2026-09-01,0,0,,,
2002,2026-09-02,0,0,,,
2003,2026-09-07,0,0,,,
2004,2026-09-09,0,0,,,
2005,2026-09-16,0,0,,,
2006,2026-09-23,0,0,,,
2007,2026-09-25,0,0,,,
2008,2026-09-30,0,0,,,
2009,2026-10-05,0,0,,,
2010,2026-10-07,0,0,,,
2011,2026-10-14,0,0,,,
2012,2026-10-21,0,0,,,
2013,2026-10-26,0,0,,,
2014,2026-11-04,0,0,,,
2015,2026-11-18,0,0,,,
2016,2026-12-01,0,0,,,
2017,2026-12-03,0,0,,,
2018,2026-12-19,0,0,,,
6001,2026-10-22,0,0,,,
6002,2026-11-24,0,0,,,
6003,2026-11-26,0,0,,,
