hw_item_id,hw_group,short_homework,homework,homework_notes,undergraduate_only,graduate_only,hw_break_before,hw_prologue,hw_epilogue
101,99,,"_<%SHORT_ARCHER%>_, Ch. 3, Exercises 2 & 3.",,0,0,0,0,0
102,99,,"_<%SHORT_ARCHER%>_, Ch. 3, Exercise 1",,0,1,0,0,0
199,99,,,"There is a typo in the book. In Ch. 2, Ex. 2, a dietary Calorie is \SI{4200}{\joule}, not \SI{4.2}{\joule}.",0,0,0,0,1
201,2,,"_<%SHORT_ARCHER%>_, Ch. 4, Ex. 1 & 3.",,1,0,0,0,0
202,2,,"_<%SHORT_ARCHER%>_, Ch. 4, Ex. 1--3.",,0,1,0,0,0
299,2,,,"For these exercises, you will use the on-line computer model <%MODTRAN%>, which you can find at \ArcherURL{}. The URL given in the textbook is outdated, so use this link instead.

A helpful feature of the model is that when you start it out, before changing methane or <%COO%> you can press the button ""Save this run to background,"" and then when you change something, the model will report how the upward infrared heat flux changed. By default, the model starts up with settings for the tropical atmosphere. For these exercises I want you to set the Locality to ""1976 U.S. Standard Atmosphere."" Then you can save the run to background and change the concentrations of greenhouse gases as the exercises direct you to.",0,0,0,0,0
301,3,,"_<%SHORT_ARCHER%>_, Ch. 5, Ex. 1--2","
* These two exercises use two different models. In both models, you adjust parameters to achieve radiative balance (where the heat going out equals the heat coming in), but you adjust different parameters in each model, and each model has a different way for you to tell whether the earth is at radiative equilibrium.

    * The \RRTM full-spectrum model is a radiative-convective model that considers the impact of lapse rate on the radiative balance. You can adjust the amount of sunlight hitting the earth, the albedo, the surface temperature, the lapse rate, and other parameters including the amount of cloud cover at different altitudes. The model then divides the atmosphere into many layers and at each layer, it calculates the amount of heat going up and down in the form of shortwave radiation (sunlight) and longwave radiation emitted by the earth and the atmosphere. The model also reports about the balance of heat going up and down at the top of the atmosphere. Your goal is to adjust parameters until the model reports that ""If the earth has these properties \dots then it loses as much energy as it gains.""  You can also move your mouse over the yellow and purple arrows, which represent shortwave and longwave radiation, respectively, and the computer will show you the amount of heat flowing up or down (in watts per square meter) for that kind of radiation.
    * The <%MODTRAN%> model ignores shortwave light and only considers longwave (infrared) light emitted by the earth's surface and atmosphere. When you start it up, you pick a locality (for this exercise, use ""1976 U.S. Standard Atmosphere"" just as you did for the exercises in Chapter 4) and the model will initialize to conditions of radiative balance at that locality (for the 1976 U.S. standard atmosphere, this is \SI{260.18}{W/m^2}). You can then adjust all sorts of parameters (the concentrations of different gases, the conditions of clouds or rain, and the temperature of the ground), and the model will calculate the new upward longwave heat flux at the altitude you specify.  You want to make a note of the upward IR heat flux for the default conditions before you start changing things, and then when you change parameters, such as the amount of <%COO%> in the atmosphere, you can adjust the ground temperature until the upward IR heat flux returns to its initial value.

* For Exercise 1, use the \RRTM full-spectrum model, at \href{http://climatemodels.uchicago.edu/rrtm/}{\nolinkurl{climatemodels.uchicago.edu/rrtm/}}. For this model, you set the lapse rate, <%COO%> concentration, etc., and the model automatically calculates the imbalance between $I_{\text{in}}$ and $I_{\text{out}}$. You can then adjust the surface temperature until the model reports, ""\dots{} then it loses as much energy as it gains.""
* There's a typo in exercise 2(a):
The Stefan-Boltzmann constant should be\\
$$\sigma = \SI{5.67E-8}{\watt/\meter^2\kelvin^4}\quad\text{($10^{-8}$, not $10^8$).}$$
* For exercise 2, use the <%MODTRAN%> model. Choose ""1976 U.S. Standard Atmosphere"" for Location and keep the altitude at its default value of \SI{70}{km}. How would you calculate the skin altitude from this model?
* When exercise 2(d) asks you to add cirrus clouds, use the ""NOAA Cirrus model.""

",0,0,0,0,0
401,4,,Exercises 1--3 from the exercises below.,,1,0,0,0,0
402,4,,Exercises 1--4 from the exercises below.,,0,1,0,0,0
400,4,,,"These exercises are based on the exercises in _<%MEDIUM_ARCHER%>_ Ch. 7,  but the web interfaces for the models have changed a lot since the book was written and you can't do the exercises the way they're written in the book.
I have written these exercises instead to give you a chance to apply the same concepts.


1.[Exercise \#1:]
    Use the <%MODTRAN%> model with the ""1976 U.S. Standard Atmosphere"" and vary the clouds. 
    Note that this model does not consider incoming shortwave light, and therefore it ignores the albedo effect of clouds. It only calculates the effect of the clouds on outgoing longwave light for a given surface temperature. One way to think about this is that it looks at the effect the clouds have at night.
[a)]
      \setlength{\parskip}{1ex}
    1. Run the model three times: First with clear skies, then with ""Altostratus: Cloud Base \SI{2.4}{\kilo\meter} Top \SI{3.0}{\kilo\meter},"" and finally with ""Stratus: Cloud Base \SI{.33}{\kilo\meter} Top \SI{1.0}{\kilo\meter}.""
        Describe the change in \(I_{\text{out}}\) for each type of clouds:

        * Is the effect warming or cooling?
        * Which type of cloud has the bigger effect on $I_{\text{out}}$?
        * Why do you see the difference between the two types of clouds?

%
    1.  Starting set the altitude to zero and select ""Looking up."" When you are looking up, the model reports the longwave radiation coming down to the surface from the atmosphere and hitting the earth's surface. This heat is in addition to whatever heat the earth gets from shortwave solar radiation.

        For simplicity, think of this as the conditions at night, when the sun is not shining: without sunlight, the temperature of the ground will be determined by balancing the outgoing heat with the heat radiated downward by the warm atmosphere and clouds.

        First, note the downward longwave heat flux ($I_{\text{down}}$) with clear sky (no clouds or rain). Then turn on altostratus clouds and note the change in $I_{\text{down}}$. Next, turn on stratus clouds and note the change in $I_{\text{down}}$.

        Answer the following questions:

        * How does \(I_{\text{down}}\) change when you add clouds?
        * Do the clouds have a heating or cooling effect? Why?
        * Which clouds have a greater heating or cooling effect? Why?


1.[Exercise \#2:] Use the \RRTM model.
[a)]
      \setlength{\parskip}{1ex}
    1. First set the model to its default parameters. It should report,
          ""If the earth has these properties \dots then it loses as much energy as it gains.""
          Move your mouse over the arrows at the top and bottom of the graph. The orange arrows are shortwave (mostly visible) light, and the purple arrows are longwave (far-infrared) radiation. How much shortwave and longwave light is absorbed by the ground (the downward arrows at the bottom) and how much of each is emitted to space (the upward arrows at the top)?
    1. Next, add 100% high clouds (set ""High cloud (fraction)"" to 1.0). Record the total gain or loss of of heat, and the amount of shortwave and longwave radiation absorbed by the surface and emitted to space. Clouds affect both longwave and shortwave heat fluxes. Which kind of radiation changed more?
    1. Now do the same thing for low clouds: set ""High cloud (fraction)"" to zero and ""Low cloud (fraction)"" to 1.0. Which kind of radiation changed more, compared to the no-cloud condition?
    1. With the low cloud fraction still set to 1.0 (100%), change the drop radius from \SIrange{10}{8}{\micro\meter}. How does this change the heat flux?
    1. Now set the cloud fraction to zero and double the <%COO%>. How does this change the heat flux? How does the effect of doubling <%COO%> compare to the effect of changing the droplet size for the low clouds? You can see how important it is to get the cloud droplet size right in climate models!

1. [Exercise \#3:] The ""climate sensitivity"" ($\Delta T_{\text{2x}}$) refers to the change in temperature when you double the amount of <%COO%> in the atmosphere. Here, we will examine how the water vapor feedback affects climate sensitivity.
[a)]
    1. Run the \RRTM model with the default parameters. Write down the ground temperature.
            \medskip

            Next, double <%COO%> and note the change in energy balance. At the
            beginning of the exercise, the earth was in radiative equilibrium. Changing <%COO%> disturbed
            this equilibrium and produced a radiative imbalance where $I_{\text{out}} \neq I_{\text{in}}$.
            Adjust the surface temperature to bring the earth back into balance.
            \medskip


        * What is the new temperature?
        * How much did the earth warm or cool? This temperature change for doubling <%COO%> is what we call the **climate sensitivity**,
                    or $\Delta T_{2\times<%COO%>}$.

%
    1. Set <%COO%> back to the default value (400 ppm) and set relative humidity to zero. This turns off the water vapor feedback.
            Adjust the surface temperature offset until the earth loses as much energy as it gains.
            Write down this temperature.
            \medskip

            Now double the <%COO%> and adjust the surface temperature to bring the heat back into balance.

        * How much did the temperature change?

%
    1. Compare the climate sensitivity with zero relative humidity to the sensitivity with
            the default value of 80% relative humidity. The difference is the effect of water vapor feedback.

        * What was the amplification factor of the water vapor feedback
                (the ratio of the climate sensitivity $\Delta T_{2\times<%COO%>}$ with water vapor
                feedback to $\Delta T_{2\times<%COO%>}$ without it)?


%
1. [Exercise \#4 (Graduate students only):] Repeat exercise 3, but using the <%MODTRAN%> model instead of \RRTM.
[a)]
    1. Set the model to the 1976 U.S. Standard atmosphere, <%COO%> to 400 ppm, and the water vapor scale to 1. Click on ""Save This Run to Background.""

        * Note the upward IR heat flux.
        * Double the <%COO%> concentration.
        * Adjust the ground temperature offset and set ""Holding Fixed"" to ""Relative Humidity."" (the ""Holding Fixed"" option will not appear until you change the ground temperature offset) Adjust the ground temperature offset until the upward IR heat flux returns to its original value. The change in temperature is the climate sensitivity including water-vapor feedback.

    1. Now return <%COO%> to 400 ppm and set the water vapor scale to 0. This takes all the water out of the atmosphere so there is no water vapor feedback. Check that your locality is still ""1976 U.S. Standard Atmosphere.

        * Adjust the ground temperature offset until the upward IR heat flux returns to the value it had at the beginning of part (a).
        * Double the <%COO%> concentration.
        * Adjust the ground temperature offset until you restore the upward IR heat flux to its original value.

          The difference in ground temperature offset from 400 to 800 ppm is the climate sensitivity
          with no water vapor feedback.
    1. What is the amplifying factor of water vapor feedback? How does the amplifying factor you calculated with <%MODTRAN%> compare to the value you calcuated with \RRTM?


",0,0,0,0,0
