rd_item_id,rd_group,source_id,chapter,pages,item_extra,reading_notes,undergraduate_only,graduate_only,optional,rd_prologue,rd_epilogue,rd_break_before
200,INTRO_CLIMATE_CHANGE,,,,,"Read these chapters lightly. Do not try to memorize all the facts or numbers, but try to get a feel for the way the authors write about climate and what they think is important.

For <%wday(this_class_date, label=T, abbr=F)%>, come to class prepared to discuss the questions I list for each book.
(you don't need to write up answers to hand, but I want you to be ready to discuss them):
",0,0,0,1,0,0
201,INTRO_CLIMATE_CHANGE,ARCHER,Ch. 1,,,"_<%MEDIUM_ARCHER%>_ is written by David Archer, a prominent climate scientist. As you read it, try to get a sense for four aspects in particular:

1. What kinds of things (both human and natural) cause the earth's climate to change?
1. Why are carbon and energy so important?
1. Very roughly, how much has the earth's temperature changed in the past and how much do we expect it to change in the next few centuries?
1. Should we worry about climate change and human activities that cause it?


### Questions to think about:

1. What is climate, and how is it different from weather?
1. What determines the temperature of the earth, and what are some things that can cause the temperature to change?
1. What is global warming? What kinds of risks do we worry about in connection with it?
1. What are several reasons why we emphasize carbon dioxide (<%COO%>) when we talk about global warming?
1. About how much has earth's temperature varied in the past thousand years? In the last 25,000 years? How much do we expect it to change in the next hundred years?
1. What are some extreme climatic or weather events that we've seen recently around the world (think of things in the assigned readings, but also other things you've experienced or heard about in the news).
1. What kinds of trends do we see in natural disasters?
1. How would you know whether or not the kinds of events and trends in your answers
  to the two previous questions are caused by human interference with climate?
1. What possible responses can we (the population of the earth) take to respond to global warming?

",0,0,0,0,0,0
203,INTRO_CLIMATE_CHANGE,NORDHAUS,Ch. 2--3,,,"_<%MEDIUM_NORDHAUS%>_ is written by William Nordhaus, a prominent economist. He has a different emphasis than Archer does. Read Chapter 1 more carefully, and mostly skim Chapter 2 lightly, but do pay attention to the section on p. 15 where he asks, ""why read a book about climate change by an economist?""  Chapter 1 presents an outline of the book. As you read it, pay attention to the way Nordhaus connects the science and economics of climate change.  The figure on p. 10 illustrates these connections and it is important to understand what he is saying with it.

At the end of the chapter, Nordhaus presents three things he thinks people around the planet **must** do about climate change. Later in the semester we will read a book that disagrees vehemently with most of Nordhaus's analysis and recommendations. For now, ask yourself whether you agree with Nordhaus's three points, why you agree or disagree, and whether he has made a strong case for these points in this chapter.


### Questions to think about

1. Why does Nordhaus emphasize the difference between **managed**, **unmanaged**, and **unmanageable** human and natural systems?
1. What does Nordhaus mean by **tipping points** in the earth's climate system? Why are they important?
1. What does Nordhaus mean by **mitigation** of climate change? (p. 6)
1. Why does Nordhaus think that ""the economics of climate change is straightforward?"" What policy does his ""straightforward"" analysis recommmend?
1. What does Nordhaus mean when he calls emission of <%COO%> into the atmosphere an **externality**? (p. 6) Why is this important for policymakers and for his own preferred policy?

",0,0,0,0,0,0
299,INTRO_CLIMATE_CHANGE,,,,,"Also come to class ready to ask questions about parts of the chapter that you didn't understand as well as you'd like or that you found unconvincing, or things you just want to know. If you email me questions by <%wday(date(this_class_date) - 1, label = T, abbr = F)%> evening, I will try to address them during class <%wday(this_class_date, label = T, abbr = F)%>.",0,0,0,0,1,0
301,ENERGY_BALANCE,ARCHER,Ch. 2--3,pp. 9--23,,"Focus on pp. 13--23 in _<%MEDIUM_ARCHER%>_. You need to understand the calculations of the ""bare-rock"" model on pp. 19--23. The intermediate steps are not as important as two equations:
\[
  F_{\text{out}} = F_{\text{in}}\quad\text{at equilibrium,}
\]
and equation (3.1), which describes the bare-rock model:
\[
  T_{\text{earth}} =
  \sqrt[4]{\frac{(1-\alpha)I_{\text{in}}}{4\epsilon\sigma}}
\]
(Helpful hint: to take a fourth root easily with your calculator, just press the square root key twice.)

Questions to think about (**not** to write up and turn in):

* What is blackbody radiation? What is a ""blackbody"" anyway?
* Why is it that the sun gives off visible light, but the earth does not?
* When the earth absorbs energy from sunlight, where does the energy go initially?
  Where is the final destination of that energy?
* What is the Stefan-Boltzmann equation, and why is it important?
* What does the Stefan-Boltzmann equation tell us would happen if the sun got hotter?
  What would happen if the Earth got hotter?
* Study table 3.1 on p. 23 of _<%MEDIUM_ARCHER%>_
  (ignore the column ""$T_{\text{1 layer}}$"" because we don't get
  to that until later in the chapter.):

    * Why is the sunlight brighter on Venus than on Earth, and dimmer on Mars?
    * Why is the ""bare-rock"" temperature of Venus lower than Earth,
      even though it gets more sunlight?
    * Why do you suppose the actual observed temperature at the surface of Venus
      is so much hotter than the ""bare rock"" temperature?

* At the top of p. 20, why does Archer write,
  \(F_{\text{out}} = F_{\text{in}}\)?
  What would happen if
  \(F_{\text{out}} \ne F_{\text{in}}\)
* Without getting bogged down in the details of the numbers,
  why are the areas used to calculate the incoming and outgoing energy
  fluxes different? (Figures 3.1 and 3.2 explain this)
* If the sun got 5% brighter, approximately how many degrees warmer would
  the earth become?

",0,0,0,0,0,0
400,LAYER_GREENHOUSE,ARCHER,Ch. 3,pp. 23--26,,"Study the one-layer model. We will work through it in detail during class.
",0,0,0,0,0,1
500,SPECTRAL_GREENHOUSE,ARCHER,Ch. 4,,,"Undergraduates need only understand band saturation qualitatively
(i.e., you don't need to worry about equations 4.1--4.3).
Graduate students do need to know and be able to apply these equations.

You should understand why molecules with many atoms are
more powerful greenhouse gases than molecules with fewer atoms. Can a single
atom (e.g., noble gases such as helium) act as greenhouse gases? What about
nitrogen (<%NTWO%>) and oxygen (<%OTWO%>) molecules, which make up almost 99% of
the atmosphere?

What is the ""atmospheric window,"" that spans the range of about
800--1250 <%WAVENUMBER%> (wavelengths of 8--12 <%MICRON%>)?

### Understanding emissions spectra seen by satellites

**This is important:** The key to this section is understanding diagrams,
such as Fig. 4.3 and 4.5. These diagrams show the brightness of
infrared light emitted at different frequencies. The smooth lines correspond
to the radiation a perfect blackbody would give off at different temperatures.
Hotter bodies give off more energy and cooler bodies give off less.

The jagged line is the actual radiation given off by the atmosphere, as seen by
a satellite in space. Because the atmosphere is cooler higher up, emissions that follow a cooler
blackbody curve for some part of the spectrum mean the infrared at
those wavenumbers is emitted by greenhouse gases higher in the atmosphere.
Brighter emissions that follow a hotter blackbody curve for some part of
the spectrum means hotter temperatures, and hence emission at those wavenumbers
comes from gases closer to the ground.

As you add more of a gas, it absorbs more infrared light, so the emissions from
the ground or from lower in the atmosphere can't get through---they're absorbed
by higher layers of the atmosphere---and thus, the only emissions that get out to
space come from higher (and thus colder) layers. This is why you see lower
emissions (colder temperatures) for the wavenumbers at which powerful greenhouse
gases, such as <%COO%> and ozone, absorb.

Here are some review questions to check whether you understand this material
well:

* Water vapor is a powerful greenhouse gas. Why do you suppose we don't
  see extremely cold temperatures for the part of the spectrum (100--600 <%WAVENUMBER%>)
  where _it_ absorbs?
* If greenhouse gases make earth warmer, why does adding <%COO%> in
  make the emissions temperatures become smaller in Fig. 4-5?


### Band saturation

**This is important for understanding why some greenhouse gases are more
powerful than others** What is band saturation? Why does increasing <%COO%>
from 10 to 100 parts per million or from 100 to 1000 parts per million have much
less effect than increasing it from 0 to 10 parts per million? Think by analogy.
Suppose you smear a tablespoon of black ink all over a white piece of
paper. How much will that affect its brightness? Now suppose you smear four
more tablespoons of ink on the stained paper. Which has the bigger effect on
the whiteness of the paper: the first spill of ink, or the second (much bigger)
one?

Now, looking at the atmosphere with the current amount of greenhouse gases,
can you speculate why adding a million molecules of methane to the atmosphere
will produce 20 times more warming than adding a million molecules of <%COO%>?",0,0,0,0,0,0
600,VERTICAL_STRUCTURE,ARCHER,Ch. 5,,,"  The key thing in this chapter is understanding why the troposphere gets colder as
  you go higher, and how this phenomenon (described by the term **lapse rate**),
  contributes to the greenhouse effect.

  First, the chapter starts by defining a **skin layer**, which is an
  important concept, and connects it to the greenhouse effect.

  Next, it moves on to describe how air pressure varies with altitude. I
  find the discussion on pp. 46--49 more confusing than it needs to be.
  Don't get bogged down in the details of _why_ the equation at
  the bottom of p. 48 is true. Just understand _what_ that equation
  tells you:
\[
  P(z) = 1~\text{atm}\cdot e^{-z/8~\text{km}}
\]
You might find it easier and more intuitive to work with another way to write
the same equation:
\[
  P(z) = 1~\text{atm}\cdot 2^{-z/5.5~\text{km}}
\]
If we think of it this way, it's intuitive that every 5.5 km you go up in the
atmosphere, the pressure drops by half: at 5.5 km, it's 50% what it is at sea
level. At 11.0 km it's 25%; at 16.5 km it's 12.5%, and so on.

Third, we learn why air cools off as it rises through the atmosphere. It's
because it expands as the pressure surrounding it drops. Similarly, as air descends to lower
altitudes, it compresses and gets hotter.

Fourth, we learn about latent heat from water evaporating and condensing. Latent
heat is responsible for a large fraction of the heat transport around the atmosphere. Latent heat
is also very important because it affects lapse rate. How does the lapse rate in
**saturated** air (i.e., air with 100% relative humidity) differ from the lapse rate
in **unsaturated** air (with relative humidity $<100%$)? Why? (Hint: the relavant
material appears in the section on **moist convection**, not the section on latent heat.)

Fifth, we learn about convection: as you heat air it tends to rise and this
moves heat around the atmosphere. The key concept regarding convection is **stability** vs.
**instability**. Unstable air undergoes convection (as the troposphere does), whereas
stable air does not, and instead remains **stratified**, as the stratosphere does.

Sixth (and finally), we put everything together to see the connection between
lapse rates and the greenhouse effect. The key result is that adding greenhouse gases raises the height
of the ""skin"" and this added height, together with the lapse rate, tells us how much the
surface temperature will warm up. The book summarizes these five points
concisely on p. 55.
",0,0,0,0,0,0
700,GREENHOUSE_REVIEW,,,,,"As you prepare for class, think about:

* What makes some greenhouse gases more powerful than others?
* What are the important differences between the layer-model approach to calculating temperature and the skin-model on pp. 45--46?
* How does band saturation work? How can you recognize saturation in <%MODTRAN%>?
* How do you use <%MODTRAN%> to calculate the effect of doubling <%COO%>?
* How do you use the full-spectrum model to calculate the effect of doubling <%COO%>?

",0,0,0,1,0,0
800,FEEDBACKS,ARCHER,Ch. 7,pp. 73--81,,"
* Understand the concept of positive and negative feedbacks.
* Understand how the following feedbacks work and whether each is positive or negative:

    * Stefan-Boltzmann feedback
    * Ice-albedo feedback
    * Water vapor feedback

* What is a **runaway greenhouse effect**? What prevents Earth from having a runaway greenhouse?
",0,0,0,0,0,0
