Easting	Northing	Elevation
10500	47500	718.661204
10510	47500	713.493931
10520	47500	711.225242
10530	47500	705.371553
10540	47500	703.614932
10550	47500	697.870942
10560	47500	695.642014
10570	47500	688.791738
10580	47500	686.453815
10590	47500	681.62357
10600	47500	679.934702
10610	47500	676.534654
10620	47500	673.087231
10630	47500	669.346198
10640	47500	663.244758
10650	47500	661.125856
10660	47500	655.86289
10670	47500	653.645365
10680	47500	646.761974
10690	47500	644.363811
10700	47500	637.268252
10710	47500	635.068632
10720	47500	628.093657
10730	47500	625.362721
10740	47500	616.560651
10750	47500	613.638936
10760	47500	608.079681
10770	47500	601.781337
10780	47500	595.339407
10790	47500	586.390124
10800	47500	583.80032
10810	47500	575.146539
10820	47500	572.288353
10830	47500	563.723368
10840	47500	560.500366
10850	47500	549.761747
10860	47500	546.081529
10870	47500	536.248718
10880	47500	532.556565
10890	47500	521.053953
10900	47500	517.097293
10910	47500	510.393793
10920	47500	503.159195
10930	47500	496.94336
10940	47500	503.295903
10950	47500	506.858917
10960	47500	520.099065
10970	47500	525.143366
10980	47500	542.358148
10990	47500	547.532719
11000	47500	563.223321
11010	47500	568.518051
11020	47500	584.600175
11030	47500	588.079444
11040	47500	598.015937
11050	47500	601.71706
11060	47500	607.686056
11070	47500	612.80593
11080	47500	617.808734
11090	47500	625.08337
11100	47500	626.980934
11110	47500	631.55733
11120	47500	632.546089
11130	47500	635.172332
11140	47500	636.683699
11150	47500	642.784009
11160	47500	645.074644
11170	47500	651.374371
11180	47500	653.377399
11190	47500	659.007256
11200	47500	660.372077
11210	47500	663.112494
11220	47500	665.871973
11230	47500	668.934797
11240	47500	673.338204
11250	47500	674.748818
11260	47500	678.856084
11270	47500	680.253622
11280	47500	684.533188
11290	47500	685.985869
11300	47500	690.494868
11310	47500	691.205596
11320	47500	691.972485
11330	47500	691.773017
11340	47500	688.819423
11350	47500	689.706501
11360	47500	692.732281
11370	47500	693.751416
11380	47500	695.254715
11390	47500	696.502366
11400	47500	696.730256
11410	47500	696.12016
11420	47500	695.622304
11430	47500	694.030611
11440	47500	693.45596
11450	47500	691.125069
11460	47500	690.074906
11470	47500	686.836831
11480	47500	685.888754
11490	47500	687.200508
11500	47500	689.23584
11510	47500	699.896993
11520	47500	702.842462
11530	47500	708.607358
11540	47500	716.482834
11550	47500	718.796567
11560	47500	727.306737
11570	47500	730.171728
11580	47500	738.42785
11590	47500	741.257501
11600	47500	750.803987
11610	47500	753.996328
11620	47500	760.882577
11630	47500	763.238398
11640	47500	771.261312
11650	47500	774.210172
11660	47500	781.52361
11670	47500	784.48394
11680	47500	790.399373
11690	47500	799.37824
11700	47500	802.62842
11710	47500	812.841091
11720	47500	816.359605
11730	47500	827.267092
11740	47500	829.769338
11750	47500	837.226018
11760	47500	839.692221
11770	47500	846.213626
11780	47500	848.95188
11790	47500	858.406884
11800	47500	862.096104
11810	47500	873.82904
11820	47500	877.663108
11830	47500	885.0368
11840	47500	893.825166
11850	47500	902.590962
11860	47500	916.716254
11870	47500	922.156429
11880	47500	937.796269
11890	47500	943.233038
11900	47500	960.675658
11910	47500	967.005397
11920	47500	986.666388
11930	47500	993.101361
11940	47500	1010.871329
11950	47500	1017.116881
11960	47500	1035.418301
11970	47500	1041.411135
11980	47500	1050.849625
11990	47500	1061.062518
12000	47500	1071.809992
12010	47500	1087.260475
12020	47500	1092.107907
12030	47500	1103.524184
12040	47500	1106.684475
12050	47500	1116.831341
12060	47500	1119.397044
12070	47500	1126.424823
12080	47500	1128.544306
12090	47500	1136.241043
12100	47500	1138.966671
12110	47500	1147.369667
12120	47500	1150.278518
12130	47500	1156.494231
12140	47500	1162.620434
12150	47500	1168.145195
12160	47500	1173.91804
12170	47500	1174.40269
12180	47500	1174.973702
12190	47500	1174.767357
12200	47500	1173.949963
12210	47500	1173.170934
12220	47500	1169.155959
12230	47500	1167.013318
12240	47500	1159.358408
12250	47500	1156.677006
12260	47500	1148.869744
12270	47500	1146.406895
12280	47500	1141.414675
12290	47500	1136.334541
12300	47500	1131.437013
12310	47500	1124.833243
12320	47500	1122.551822
12330	47500	1114.912693
12340	47500	1112.031024
12350	47500	1103.853508
12360	47500	1101.284586
12370	47500	1094.544546
12380	47500	1092.033511
12390	47500	1083.284441
12400	47500	1080.018668
12410	47500	1073.477236
12420	47500	1071.287572
12430	47500	1066.535386
12440	47500	1059.471482
12450	47500	1052.086985
12460	47500	1040.551634
12470	47500	1036.632742
12480	47500	1026.2034
12490	47500	1023.597355
12500	47500	1014.950757
12510	47500	1011.748217
10500	47510	722.977873
10510	47510	717.821203
10520	47510	715.296627
10530	47510	708.844349
10540	47510	706.934553
10550	47510	701.287993
10560	47510	699.163399
10570	47510	692.846487
10580	47510	690.759806
10590	47510	685.708402
10600	47510	684.001261
10610	47510	680.572634
10620	47510	677.069613
10630	47510	673.017025
10640	47510	665.92039
10650	47510	663.366614
10660	47510	658.15976
10670	47510	655.822606
10680	47510	648.10599
10690	47510	645.216975
10700	47510	636.650441
10710	47510	634.476543
10720	47510	628.575258
10730	47510	626.493292
10740	47510	617.78136
10750	47510	614.812962
10760	47510	609.66734
10770	47510	603.993703
10780	47510	597.796464
10790	47510	589.031866
10800	47510	586.947372
10810	47510	578.988578
10820	47510	576.104065
10830	47510	567.474835
10840	47510	564.785914
10850	47510	555.038721
10860	47510	551.555268
10870	47510	541.948886
10880	47510	538.296075
10890	47510	526.368562
10900	47510	522.114254
10910	47510	514.110969
10920	47510	504.852982
10930	47510	496.131721
10940	47510	500.156012
10950	47510	503.650652
10960	47510	516.699737
10970	47510	521.683827
10980	47510	538.460365
10990	47510	543.649315
11000	47510	559.714703
11010	47510	565.2626
11020	47510	581.874485
11030	47510	586.249541
11040	47510	600.033963
11050	47510	605.461185
11060	47510	613.954481
11070	47510	620.991417
11080	47510	627.662966
11090	47510	636.102284
11100	47510	638.21058
11110	47510	643.589149
11120	47510	644.946537
11130	47510	647.941026
11140	47510	648.964414
11150	47510	652.409073
11160	47510	653.688073
11170	47510	658.580147
11180	47510	660.46478
11190	47510	666.535224
11200	47510	668.052332
11210	47510	670.894195
11220	47510	673.395739
11230	47510	676.266457
11240	47510	681.116036
11250	47510	682.768235
11260	47510	687.590108
11270	47510	689.218293
11280	47510	693.807832
11290	47510	695.270154
11300	47510	699.22258
11310	47510	699.944325
11320	47510	700.543153
11330	47510	700.220626
11340	47510	697.764606
11350	47510	697.913654
11360	47510	699.427567
11370	47510	700.396856
11380	47510	702.085877
11390	47510	704.029069
11400	47510	704.554492
11410	47510	704.838393
11420	47510	704.710827
11430	47510	703.987287
11440	47510	703.592975
11450	47510	702.06523
11460	47510	701.37264
11470	47510	698.891799
11480	47510	697.906659
11490	47510	697.892976
11500	47510	699.750679
11510	47510	712.055982
11520	47510	715.807125
11530	47510	722.42724
11540	47510	730.443782
11550	47510	733.07846
11560	47510	740.243048
11570	47510	742.718159
11580	47510	750.896134
11590	47510	753.892763
11600	47510	762.083991
11610	47510	764.627779
11620	47510	771.66779
11630	47510	774.104372
11640	47510	781.120897
11650	47510	783.37548
11660	47510	789.700197
11670	47510	792.087097
11680	47510	796.841153
11690	47510	803.762655
11700	47510	806.026535
11710	47510	814.275779
11720	47510	817.38601
11730	47510	825.256058
11740	47510	827.791928
11750	47510	836.372262
11760	47510	839.608495
11770	47510	848.720331
11780	47510	852.122137
11790	47510	863.081132
11800	47510	867.051634
11810	47510	878.65415
11820	47510	882.433409
11830	47510	889.880748
11840	47510	897.438685
11850	47510	905.172944
11860	47510	917.994971
11870	47510	922.76919
11880	47510	938.803499
11890	47510	944.246257
11900	47510	961.181719
11910	47510	967.432462
11920	47510	985.669668
11930	47510	991.600119
11940	47510	1009.141893
11950	47510	1015.479815
11960	47510	1034.147393
11970	47510	1040.284302
11980	47510	1049.689441
11990	47510	1060.236371
12000	47510	1071.520753
12010	47510	1087.315573
12020	47510	1092.212383
12030	47510	1103.183065
12040	47510	1106.044802
12050	47510	1114.231834
12060	47510	1116.679753
12070	47510	1124.011047
12080	47510	1126.450657
12090	47510	1134.634519
12100	47510	1137.434008
12110	47510	1146.227087
12120	47510	1149.360921
12130	47510	1156.529005
12140	47510	1163.547188
12150	47510	1169.324273
12160	47510	1174.785389
12170	47510	1175.101445
12180	47510	1175.291581
12190	47510	1175.014395
12200	47510	1173.988967
12210	47510	1173.193361
12220	47510	1169.256652
12230	47510	1167.189041
12240	47510	1160.047896
12250	47510	1157.504096
12260	47510	1149.739879
12270	47510	1147.243636
12280	47510	1142.302686
12290	47510	1137.439838
12300	47510	1132.785281
12310	47510	1125.973059
12320	47510	1123.589507
12330	47510	1115.944023
12340	47510	1113.287655
12350	47510	1105.627754
12360	47510	1103.147903
12370	47510	1095.952257
12380	47510	1093.512146
12390	47510	1086.042
12400	47510	1083.508901
12410	47510	1076.952591
12420	47510	1074.527013
12430	47510	1069.303339
12440	47510	1061.770059
12450	47510	1053.492836
12460	47510	1039.946864
12470	47510	1035.244037
12480	47510	1023.392601
12490	47510	1020.520286
12500	47510	1010.344094
12510	47510	1006.34912
10500	47520	726.521931
10510	47520	721.438682
