"BehaviorSpace results (NetLogo 5.3.1)"
"wood_hoopoe_strategies.nlogo"
"optimize"
"04/06/2017 00:11:07:861 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","0","0"
"[run number]","x2","x1","p-vacant","strategy","[step]","age-diff","foray-timing","group-dist-1","group-dist-2","group-dist-3","performance"
"3","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"14","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"6","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"16","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"13","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"5","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"15","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"17","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"18","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"4","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"8","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"9","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"20","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"7","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"1","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"10","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"12","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"11","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"19","0.01","0","0.02","""expected reproduction""","264","1","0","0","0","0","1"
"21","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"22","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"26","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"23","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"25","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"24","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"2","0.01","0","0.01","""expected reproduction""","264","1","0","0","0","0","1"
"27","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"30","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"28","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"29","0.01","0","0.03","""expected reproduction""","264","1","0","0","0","0","1"
"32","0.01","0","0.04","""expected reproduction""","264","1","0","0","0","0","1"
"31","0.01","0","0.04","""expected reproduction""","264","1","0","0","0","0","1"
"33","0.01","0","0.04","""expected reproduction""","264","1","0","0","0","0","1"
"42","0.01","0","0.05","""expected reproduction""","264","1","0","0","0","0","1"
"40","0.01","0","0.04","""expected reproduction""","264","1","0","0","0","0","1"
"34","0.01","0","0.04","""expected reproduction""","264","1","0","0","0","0","1"
"41","0.01","0","0.05","""expected reproduction""","264","1","0","0","0","0","1"
"43","0.01","0","0.05","""expected reproduction""","264","0","0","0","0","0","0"
"44","0.01","0","0.05","""expected reproduction""","264","1","0","0","0","0","1"
"45","0.01","0","0.05","""expected reproduction""","264","0","0","0","0","0","0"
"47","0.01","0","0.05","""expected reproduction""","264","1","0","0","0","0","1"
"35","0.01","0","0.04","""expected reproduction""","264","1","0","0","0","0","1"
"48","0.01","0","0.05","""expected reproduction""","264","1","0","0","0","0","1"
"54","0.01","0","0.06","""expected reproduction""","264","1","0","1","0","0","1.5"
"51","0.01","0","0.06","""expected reproduction""","264","0","0","1","0","0","0.5"
"57","0.01","0","0.06","""expected reproduction""","264","0","0","1","0","0","0.5"
"49","0.01","0","0.05","""expected reproduction""","264","0","0","0","0","0","0"
"50","0.01","0","0.05","""expected reproduction""","264","1","0","0","0","0","1"
"55","0.01","0","0.06","""expected reproduction""","264","1","0","1","0","0","1.5"
"52","0.01","0","0.06","""expected reproduction""","264","0","0","1","0","0","0.5"
"36","0.01","0","0.04","""expected reproduction""","264","1","0","0","0","0","1"
"59","0.01","0","0.06","""expected reproduction""","264","1","0","1","0","0","1.5"
"60","0.01","0","0.06","""expected reproduction""","264","1","0","1","0","0","1.5"
"56","0.01","0","0.06","""expected reproduction""","264","0","0","1","0","0","0.5"
"61","0.01","0","0.07","""expected reproduction""","264","0","0","1","0","0","0.5"
