"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"butterfly_class_06b.nlogox"
"terrrain-experiment"
"08/26/2026 09:53:15:460 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","real-terrain","concentrate-turtles","[step]","corridor-width","mean [elevation] of turtles"
"1","0","false","true","999","439.31268067985854","168.61208663543215"
"5","0","false","true","999","442.85878909955574","164.88339181514456"
"14","0","false","true","999","429.07560778910613","168.94549383804312"
"12","0","false","true","999","438.83222856624315","164.38361243092757"
"10","0","false","true","999","428.4592301758775","166.63322840796536"
"15","0","false","true","999","444.172700640062","171.62744968968974"
"8","0","false","true","999","438.22274416515","161.84673342273004"
"7","0","false","true","999","414.2908143827632","171.5752472440705"
"11","0","false","true","999","426.7276505274538","162.14397314188983"
"2","0","false","true","999","439.9752929361105","166.1787321301069"
"3","0","false","true","999","438.16050193599705","165.02764341365187"
"4","0","false","true","999","436.69447575310164","162.21319351579763"
"13","0","false","true","999","463.101281998577","154.2873176114486"
"9","0","false","true","999","426.7371858191956","168.3710327481231"
"6","0","false","true","999","447.09633195146387","169.27901773209325"
"16","0","false","true","999","465.6205737732682","156.18102609931648"
"20","0","false","true","999","435.8109721195672","165.33421385029465"
"18","0","false","true","999","434.37817949379394","159.7953730516675"
"17","0","false","true","999","442.6378410483417","165.25544087658895"
"19","0","false","true","999","463.28834115605986","154.60121684762547"
"23","0","true","true","999","286.02590958377084","491.05379999999957"
"22","0","true","true","999","298.9238854297303","493.17540000000037"
"26","0","true","true","999","289.81649552991155","492.0416000000001"
"21","0","true","true","999","303.72879775412343","492.78239999999965"
"25","0","true","true","999","281.53412995283406","492.2691999999999"
"24","0","true","true","999","297.7666682262582","491.2452000000004"
"28","0","true","true","999","278.6016586596807","491.32120000000043"
"27","0","true","true","999","276.2615274827279","489.9884000000001"
"30","0","true","true","999","307.89947818659573","492.5006000000001"
"29","0","true","true","999","286.21748058298317","492.8521999999998"
"31","0","true","true","999","292.79076818286933","491.7861999999998"
"32","0","true","true","999","297.0146178209241","494.64419999999956"
"33","0","true","true","999","295.42868630209637","491.74580000000003"
"35","0","true","true","999","297.43378864354554","492.54060000000015"
"34","0","true","true","999","299.63157431567214","492.2461999999997"
"42","0.2","false","true","999","153.69822528062454","396.82578097828645"
"36","0","true","true","999","284.91521451579393","489.21659999999986"
"43","0.2","false","true","999","154.94367613937837","397.0434208985788"
"37","0","true","true","999","286.15866279477086","491.25679999999977"
"41","0.2","false","true","999","154.52026780183155","397.16567749709"
"38","0","true","true","999","306.1660710127915","492.71320000000014"
"44","0.2","false","true","999","159.237617291567","396.72954033033113"
"45","0.2","false","true","999","154.90673360352105","396.7921241287278"
"40","0","true","true","999","316.83319284182363","489.9604"
"39","0","true","true","999","303.3577491936306","490.0930000000002"
"46","0.2","false","true","999","156.07790558580754","396.60084197257686"
"47","0.2","false","true","999","154.5918924396515","396.8757166332176"
"51","0.2","false","true","999","157.0595053924151","397.14159457622577"
"48","0.2","false","true","999","155.78101742502682","396.7879410679783"
"53","0.2","false","true","999","154.4941800827914","396.8703240167863"
"56","0.2","false","true","999","158.03897743100933","396.43592211825387"
"57","0.2","false","true","999","155.29181551446047","396.6737180419335"
"55","0.2","false","true","999","156.92870255983604","396.79113400944647"
"49","0.2","false","true","999","159.48025129114782","396.7559830515613"
"58","0.2","false","true","999","154.48062283902073","396.44339004924257"
"54","0.2","false","true","999","156.37039746011928","396.4246786057647"
"52","0.2","false","true","999","158.85250710065037","396.88091049996575"
"59","0.2","false","true","999","153.92853715426457","396.7172374928266"
"50","0.2","false","true","999","154.44017071415774","396.7336720705677"
"60","0.2","false","true","999","152.89559667347416","396.55513675469035"
"61","0.2","true","true","999","128.28700886133734","605.1403999999993"
"62","0.2","true","true","999","123.38809269882591","601.4391999999997"
"63","0.2","true","true","999","120.66510727570926","600.6448000000004"
"65","0.2","true","true","999","122.50747002091722","601.5247999999997"
"66","0.2","true","true","999","132.72057292319377","600.7754"
"67","0.2","true","true","999","133.30773258468196","602.8163999999999"
"68","0.2","true","true","999","117.53676183160884","602.4589999999998"
"70","0.2","true","true","999","122.32385987808168","599.7552000000001"
"64","0.2","true","true","999","126.43685227629031","600.1902000000001"
"71","0.2","true","true","999","129.7553163361607","602.4316000000003"
"72","0.2","true","true","999","113.09985386356963","600.113"
"73","0.2","true","true","999","122.81820869583245","602.9410000000001"
"69","0.2","true","true","999","127.0461113329367","603.4911999999997"
"74","0.2","true","true","999","134.6455871710633","600.9200000000001"
"76","0.2","true","true","999","127.14034799487486","598.9987999999998"
"75","0.2","true","true","999","124.35577877620052","598.5022000000001"
"81","0.4","false","true","999","100.57838882359184","399.28313307929045"
"90","0.4","false","true","999","98.44690953573287","399.14119250491126"
"83","0.4","false","true","999","93.80565654779853","399.1579968971729"
"82","0.4","false","true","999","98.77289240843422","399.2462045564409"
"87","0.4","false","true","999","100.45243708695227","399.23529900914315"
"85","0.4","false","true","999","99.48131348666084","399.212844566291"
"86","0.4","false","true","999","100.05044547739138","399.2277573823836"
"84","0.4","false","true","999","95.74813579450903","399.2192848126152"
"78","0.2","true","true","999","128.4633180883168","600.5826"
"88","0.4","false","true","999","100.44765583501835","399.1131056524539"
"77","0.2","true","true","999","129.85912328648263","600.3151999999998"
"79","0.2","true","true","999","122.77955291244777","600.4139999999999"
"80","0.2","true","true","999","125.12020798159237","599.1071999999999"
"89","0.4","false","true","999","100.18681212377413","399.1365471624707"
"91","0.4","false","true","999","98.3219311626507","399.25703084527237"
"93","0.4","false","true","999","97.51951063771787","399.19065949786284"
"92","0.4","false","true","999","101.70062095494973","399.1091043349553"
"94","0.4","false","true","999","98.72709050182675","399.20314854663496"
"96","0.4","false","true","999","100.60640400584067","399.1968899531628"
"95","0.4","false","true","999","99.25271499293935","399.18304154277627"
"97","0.4","false","true","999","100.37305481412855","399.2427210234619"
"98","0.4","false","true","999","99.5966926669328","399.1369779774673"
"100","0.4","false","true","999","95.94222399942082","399.1732770011586"
"99","0.4","false","true","999","98.75105164294503","399.0619717991948"
"104","0.4","true","true","999","60.32395717657865","602.4476"
"103","0.4","true","true","999","61.52998681952775","603.9781999999998"
"102","0.4","true","true","999","60.142373632363196","601.8397999999996"
"101","0.4","true","true","999","58.41518398970026","605.8736000000001"
