"BehaviorSpace results (NetLogo 6.0.2)"
"butterfly_class_7.nlogo"
"optimize-mating-big"
"01/30/2018 02:52:39:900 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","initialization","q","real-terrain","[step]","corridor-width","cluster-size","mean-elevation"
"13","""edge""","0","true","999","29.917027313300984","1.44","512.908"
"11","""edge""","0","true","999","32.0604221104014","1.64","506.29"
"9","""edge""","0","true","999","26.31958374848462","1.88","488.52"
"2","""edge""","0","true","999","36.87978665582412","1.96","522.216"
"7","""edge""","0","true","999","36.23974245316785","1.32","518.9859999999999"
"17","""edge""","0","true","999","38.811506793479786","1.56","528.8040000000002"
"16","""edge""","0","true","999","37.46920198069353","1.56","517.6219999999998"
"10","""edge""","0","true","999","41.22987051639096","1.6","520.406"
"5","""edge""","0","true","999","34.495225798031605","1.92","499.1460000000001"
"14","""edge""","0","true","999","35.64269593039637","1.84","514.2359999999999"
"12","""edge""","0","true","999","35.51975297984551","1.76","530.3660000000001"
"19","""edge""","0","true","999","31.21958802739665","1.64","524.0559999999999"
"6","""edge""","0","true","999","42.94792037662746","1.64","533.998"
"8","""edge""","0","true","999","36.3817896211106","1.48","518.7439999999999"
"18","""edge""","0","true","999","33.07290766639577","2","516.848"
"20","""edge""","0","true","999","33.89153443716952","1.56","498.80200000000013"
"3","""edge""","0","true","999","36.57282336987688","1.64","513.434"
"4","""edge""","0","true","999","38.95623447962117","1.48","509.1039999999999"
"15","""edge""","0","true","999","35.82514445243423","1.8","526.064"
"1","""edge""","0","true","999","31.979419744198324","2.2","528.678"
"21","""edge""","0","true","999","35.62551512287917","1.96","521.7399999999999"
"22","""edge""","0","true","999","30.35811830063738","1.32","501.1960000000002"
"23","""edge""","0","true","999","34.164543796533486","1.88","508.3620000000002"
"25","""edge""","0","true","999","35.79154895365957","1.8","521.6499999999997"
"24","""edge""","0","true","999","33.723682936977916","1.84","501.86199999999997"
"27","""edge""","0","true","999","31.968921133171705","1.8","503.15399999999994"
"31","""edge""","0","true","999","39.6114088783365","1.48","518.098"
"32","""edge""","0","true","999","29.787536535953247","1.72","491.5120000000001"
"30","""edge""","0","true","999","32.06352872968186","1.56","497.44399999999996"
"26","""edge""","0","true","999","28.82694883144153","2","502.5760000000001"
"38","""edge""","0","true","999","34.072114296696355","1.84","502.56600000000014"
"29","""edge""","0","true","999","39.225287593535064","1.76","518.936"
"34","""edge""","0","true","999","40.69643182271563","1.24","514.1419999999999"
"28","""edge""","0","true","999","41.58644303029513","1.56","508.80999999999995"
"36","""edge""","0","true","999","30.431040139219213","1.8","503.48999999999995"
"33","""edge""","0","true","999","36.986408494642404","1.4","511.44399999999996"
"39","""edge""","0","true","999","36.28655346433094","1.56","516.5120000000001"
"35","""edge""","0","true","999","37.0493124252695","1.84","522.1399999999999"
"37","""edge""","0","true","999","32.57169813841761","1.64","494.3640000000001"
"40","""edge""","0","true","999","34.425051469605684","1.6","508.0040000000001"
"41","""edge""","0","true","999","41.41922161469898","1.52","524.494"
"42","""edge""","0","true","999","31.54501704326607","1.64","498.01000000000016"
"43","""edge""","0","true","999","27.09921438692269","1.8","497.602"
"44","""edge""","0","true","999","30.848255871103515","2","494.22799999999995"
"45","""edge""","0","true","999","31.551188722956663","1.52","501.08600000000007"
"46","""edge""","0","true","999","41.66270621147666","1.52","516.68"
"47","""edge""","0","true","999","32.58332499205144","1.8","501.01000000000016"
"49","""edge""","0","true","999","33.9134611393087","1.68","509.07200000000006"
"54","""edge""","0","true","999","35.52471808213974","1.72","515.3580000000001"
"50","""edge""","0","true","999","33.5489340590416","2","505.76599999999996"
"52","""edge""","0","true","999","32.35619981440595","2.12","524.246"
"55","""edge""","0","true","999","45.26739174078802","1.64","535.32"
"51","""edge""","0","true","999","32.740055882312056","1.8","512.656"
"48","""edge""","0","true","999","36.4668939847036","1.64","505.536"
