"BehaviorSpace results (NetLogo 6.0.2)"
"butterfly_class_7.nlogo"
"optimize-mating"
"01/30/2018 02:13:59:262 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","initialization","q","real-terrain","[step]","corridor-width","cluster-size","mean-elevation"
"6","""edge""","0","true","999","38.52873036351238","1.64","524.112"
"20","""edge""","0","true","999","30.87745788885622","1.68","498.3919999999999"
"4","""edge""","0","true","999","35.60379283887531","1.6","509.2180000000001"
"2","""edge""","0","true","999","37.90861886547548","1.8","503.1560000000001"
"8","""edge""","0","true","999","41.51815121971589","1.8","510.47999999999985"
"17","""edge""","0","true","999","36.35031039584803","1.92","504.75800000000004"
"18","""edge""","0","true","999","39.555948725120025","1.8","515.502"
"3","""edge""","0","true","999","33.570617721202005","1.96","502.2800000000001"
"19","""edge""","0","true","999","33.19016010900267","1.72","506.21600000000007"
"11","""edge""","0","true","999","31.55118554876251","1.88","531.8859999999999"
"5","""edge""","0","true","999","36.15051390384158","1.64","501.1020000000001"
"12","""edge""","0","true","999","30.246950059484252","2.08","497.8499999999999"
"10","""edge""","0","true","999","32.31194832739541","1.68","522.202"
"9","""edge""","0","true","999","33.715784549803395","1.92","501.796"
"7","""edge""","0","true","999","29.164046858643655","2.12","508.7520000000001"
"14","""edge""","0","true","999","34.184371025666884","1.88","504.186"
"13","""edge""","0","true","999","33.025972643836475","1.56","495.07199999999995"
"15","""edge""","0","true","999","37.352494273991525","1.6","520.992"
"16","""edge""","0","true","999","33.9020687649861","1.68","516.9659999999999"
"1","""edge""","0","true","999","34.329155297422155","1.88","519.1399999999999"
"21","""edge""","0","true","999","35.82913252604777","1.72","530.506"
"22","""edge""","0","true","999","42.54329771662181","1.48","511.89799999999997"
"24","""edge""","0","true","999","32.317560681482085","1.76","493.9440000000001"
"23","""edge""","0","true","999","40.55214016785449","1.64","510.078"
"26","""edge""","0","true","999","34.92741818347749","1.56","499.89799999999997"
"25","""edge""","0","true","999","37.11089719650942","1.6","514.2539999999999"
"28","""edge""","0","true","999","30.856724641639456","1.92","496.4200000000001"
"27","""edge""","0","true","999","43.217825496833214","1.8","524.2620000000001"
"33","""edge""","0","true","999","29.011594118415275","2.12","498.3039999999999"
"30","""edge""","0","true","999","29.199850963438504","2.12","510.67999999999995"
"29","""edge""","0","true","999","29.30894415946116","1.6","505.0959999999998"
"35","""edge""","0","true","999","31.40245117148262","1.56","504.98800000000006"
"34","""edge""","0","true","999","33.79566115528354","1.8","508.92999999999995"
"31","""edge""","0","true","999","28.14569478650018","2.28","508.6839999999998"
"36","""edge""","0","true","999","30.862633847071297","1.8","510.0259999999999"
"32","""edge""","0","true","999","32.18953795683262","1.84","501.70000000000016"
"39","""edge""","0","true","999","30.28910695964897","1.88","501.414"
"38","""edge""","0","true","999","34.895232736279006","1.72","514.448"
"37","""edge""","0","true","999","38.12436132072701","1.84","518.42"
"40","""edge""","0","true","999","31.990432167599053","1.72","490.5759999999999"
"41","""edge""","0","true","999","39.0107796315936","1.56","517.7959999999999"
"42","""edge""","0","true","999","39.699284023969994","1.52","521.4280000000001"
"43","""edge""","0","true","999","32.57345311587401","1.64","500.86799999999994"
"44","""edge""","0","true","999","28.2445464974756","2","499.4659999999999"
"45","""edge""","0","true","999","37.022726285310696","1.68","536.15"
"47","""edge""","0","true","999","30.62738601469956","1.4","503.98800000000006"
"46","""edge""","0","true","999","39.27030296064094","1.48","520.76"
"51","""edge""","0","true","999","29.364114146811165","1.6","498.63799999999986"
"49","""edge""","0","true","999","38.05939829013838","1.6","510.58399999999995"
"48","""edge""","0","true","999","36.8217958724631","1.48","514.754"
"50","""edge""","0","true","999","33.88612009645566","1.6","495.9239999999999"
"52","""edge""","0","true","999","33.658300023560116","1.4","507.69999999999993"
"54","""edge""","0","true","999","34.79301170525941","1.96","524.822"
"53","""edge""","0","true","999","34.0477735299669","2.12","508.394"
"57","""edge""","0","true","999","28.444645621930945","1.68","498.56399999999996"
"59","""edge""","0","true","999","34.30844486179072","1.64","525.636"
"58","""edge""","0","true","999","36.33248414034136","1.68","513.1480000000001"
"55","""edge""","0","true","999","39.130992305592244","1.6","505.624"
"61","""edge""","0","true","999","34.50543688424744","1.76","529.5020000000001"
"56","""edge""","0","true","999","34.85830273112093","1.68","520.06"
"60","""edge""","0","true","999","37.8848815084677","1.48","504.4679999999998"
"62","""edge""","0","true","999","36.496678876748085","1.72","516.694"
