"BehaviorSpace results (NetLogo 5.3.1)"
"Simple Birth Rates.nlogo"
"ex_8.1"
"02/16/2017 00:58:08:906 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","count turtles"
"11","500","2","2.1","67","503"
"9","500","2","2.1","67","498"
"17","500","2","2.1","78","517"
"16","500","2","2.1","85","495"
"19","500","2","2.1","81","517"
"6","500","2","2.1","83","511"
"8","500","2","2.1","93","516"
"7","500","2","2.1","110","540"
"22","500","2","2.2","56","527"
"2","500","2","2.1","125","523"
"12","500","2","2.1","135","476"
"23","500","2","2.2","63","496"
"20","500","2","2.1","144","461"
"26","500","2","2.2","60","483"
"14","500","2","2.1","149","510"
"24","500","2","2.2","65","507"
"3","500","2","2.1","163","527"
"4","500","2","2.1","167","538"
"18","500","2","2.1","170","492"
"13","500","2","2.1","174","499"
"21","500","2","2.2","108","502"
"27","500","2","2.2","79","499"
"10","500","2","2.1","176","529"
"29","500","2","2.2","68","505"
"28","500","2","2.2","83","529"
"30","500","2","2.2","84","465"
"25","500","2","2.2","113","493"
"36","500","2","2.2","58","492"
"32","500","2","2.2","68","508"
"35","500","2","2.2","69","478"
"41","500","2","2.3","46","502"
"40","500","2","2.2","71","477"
"5","500","2","2.1","227","531"
"33","500","2","2.2","71","525"
"43","500","2","2.3","43","501"
"31","500","2","2.2","110","508"
"38","500","2","2.2","89","487"
"37","500","2","2.2","95","542"
"49","500","2","2.3","36","499"
"15","500","2","2.1","261","505"
"39","500","2","2.2","85","516"
"46","500","2","2.3","57","466"
"44","500","2","2.3","70","508"
"51","500","2","2.3","49","501"
"42","500","2","2.3","83","507"
"47","500","2","2.3","56","515"
"48","500","2","2.3","58","487"
"50","500","2","2.3","61","483"
"53","500","2","2.3","44","504"
"34","500","2","2.2","133","503"
"54","500","2","2.3","47","478"
"58","500","2","2.3","43","468"
"56","500","2","2.3","53","516"
"52","500","2","2.3","64","478"
"57","500","2","2.3","54","526"
"55","500","2","2.3","63","477"
"62","500","2","2.4","43","481"
"60","500","2","2.3","46","455"
"64","500","2","2.4","39","497"
"67","500","2","2.4","33","518"
"69","500","2","2.4","29","521"
"66","500","2","2.4","40","522"
"65","500","2","2.4","45","491"
"68","500","2","2.4","36","521"
"61","500","2","2.4","55","510"
"45","500","2","2.3","113","459"
"59","500","2","2.3","71","518"
"73","500","2","2.4","32","489"
"72","500","2","2.4","36","497"
"71","500","2","2.4","40","473"
"74","500","2","2.4","41","480"
"1","500","2","2.1","145","515"
"77","500","2","2.4","37","485"
"75","500","2","2.4","38","489"
"63","500","2","2.4","76","470"
"82","500","2","2.5","32","459"
"81","500","2","2.5","37","477"
"76","500","2","2.4","41","511"
"70","500","2","2.4","62","483"
"85","500","2","2.5","33","495"
"78","500","2","2.4","48","502"
"84","500","2","2.5","41","479"
"79","500","2","2.4","52","506"
"83","500","2","2.5","47","506"
"86","500","2","2.5","44","512"
"80","500","2","2.4","57","513"
"89","500","2","2.5","36","503"
"94","500","2","2.5","27","498"
"88","500","2","2.5","42","514"
"93","500","2","2.5","32","492"
"87","500","2","2.5","48","505"
"92","500","2","2.5","33","507"
"90","500","2","2.5","41","521"
"97","500","2","2.5","31","527"
"91","500","2","2.5","40","508"
"98","500","2","2.5","33","521"
"102","500","2","2.6","25","489"
"100","500","2","2.5","32","512"
"101","500","2","2.6","32","507"
"96","500","2","2.5","42","507"
"99","500","2","2.5","40","457"
"103","500","2","2.6","31","473"
"104","500","2","2.6","30","474"
"109","500","2","2.6","26","492"
"95","500","2","2.5","58","482"
"105","500","2","2.6","36","527"
"110","500","2","2.6","30","498"
"112","500","2","2.6","26","520"
"114","500","2","2.6","27","509"
"106","500","2","2.6","40","478"
"108","500","2","2.6","40","500"
"111","500","2","2.6","33","506"
"107","500","2","2.6","42","506"
"115","500","2","2.6","29","514"
"113","500","2","2.6","34","541"
"121","500","2","2.7","25","492"
"122","500","2","2.7","23","457"
"117","500","2","2.6","35","504"
"118","500","2","2.6","34","513"
"123","500","2","2.7","28","507"
"124","500","2","2.7","29","504"
"116","500","2","2.6","41","495"
"127","500","2","2.7","23","497"
"125","500","2","2.7","28","488"
"132","500","2","2.7","20","483"
"120","500","2","2.6","43","474"
"130","500","2","2.7","27","478"
"128","500","2","2.7","30","426"
"131","500","2","2.7","29","486"
"119","500","2","2.6","51","510"
"126","500","2","2.7","34","494"
"135","500","2","2.7","25","512"
"133","500","2","2.7","35","488"
"138","500","2","2.7","23","516"
"136","500","2","2.7","29","497"
"137","500","2","2.7","28","491"
"134","500","2","2.7","36","485"
"139","500","2","2.7","27","472"
"129","500","2","2.7","42","526"
"141","500","2","2.8","26","483"
"143","500","2","2.8","26","469"
"142","500","2","2.8","28","505"
"140","500","2","2.7","33","483"
"149","500","2","2.8","20","484"
"151","500","2","2.8","19","488"
"145","500","2","2.8","27","457"
"150","500","2","2.8","20","508"
"144","500","2","2.8","28","490"
"146","500","2","2.8","27","531"
"157","500","2","2.8","14","466"
"154","500","2","2.8","19","503"
"147","500","2","2.8","31","509"
"148","500","2","2.8","30","451"
"152","500","2","2.8","28","503"
"160","500","2","2.8","23","522"
"153","500","2","2.8","30","515"
"163","500","2","2.9","18","530"
"155","500","2","2.8","29","439"
"162","500","2","2.9","20","512"
"161","500","2","2.9","24","477"
"167","500","2","2.9","18","503"
"165","500","2","2.9","20","488"
"156","500","2","2.8","31","505"
"158","500","2","2.8","32","486"
"168","500","2","2.9","19","473"
"159","500","2","2.8","33","501"
"171","500","2","2.9","17","498"
"166","500","2","2.9","24","514"
"170","500","2","2.9","22","515"
"169","500","2","2.9","28","515"
"164","500","2","2.9","33","513"
"173","500","2","2.9","23","513"
"172","500","2","2.9","24","535"
"175","500","2","2.9","17","481"
"178","500","2","2.9","18","483"
"181","500","2","3","17","530"
"176","500","2","2.9","19","505"
"182","500","2","3","17","507"
"184","500","2","3","18","493"
"179","500","2","2.9","21","508"
"180","500","2","2.9","21","483"
"186","500","2","3","19","488"
"174","500","2","2.9","25","485"
"183","500","2","3","25","511"
"192","500","2","3","15","502"
"190","500","2","3","17","472"
"188","500","2","3","24","492"
"177","500","2","2.9","31","478"
"189","500","2","3","23","497"
"185","500","2","3","26","503"
"187","500","2","3","27","485"
"199","500","2","3","13","483"
"195","500","2","3","18","486"
"193","500","2","3","21","514"
"202","500","2","3.1","14","484"
"198","500","2","3","21","494"
"191","500","2","3","30","496"
"200","500","2","3","20","506"
"194","500","2","3","29","479"
"201","500","2","3.1","24","487"
"207","500","2","3.1","15","509"
"203","500","2","3.1","20","499"
"205","500","2","3.1","16","509"
"197","500","2","3","29","478"
"196","500","2","3","28","502"
"208","500","2","3.1","18","505"
"211","500","2","3.1","18","508"
"209","500","2","3.1","19","500"
"210","500","2","3.1","20","500"
"206","500","2","3.1","23","506"
"204","500","2","3.1","26","495"
"214","500","2","3.1","18","516"
"213","500","2","3.1","22","468"
"221","500","2","3.2","15","470"
"217","500","2","3.1","19","513"
"225","500","2","3.2","14","512"
"212","500","2","3.1","29","533"
"215","500","2","3.1","27","515"
"230","500","2","3.2","11","465"
"218","500","2","3.1","20","511"
"223","500","2","3.2","17","526"
"228","500","2","3.2","16","477"
"229","500","2","3.2","17","500"
"216","500","2","3.1","25","489"
"227","500","2","3.2","17","530"
"220","500","2","3.1","25","507"
"219","500","2","3.1","27","476"
"231","500","2","3.2","17","500"
"226","500","2","3.2","22","480"
"224","500","2","3.2","24","485"
"233","500","2","3.2","18","477"
"222","500","2","3.2","27","487"
"234","500","2","3.2","18","501"
"235","500","2","3.2","19","508"
"237","500","2","3.2","17","495"
"232","500","2","3.2","24","491"
"242","500","2","3.3","13","480"
"239","500","2","3.2","17","487"
"247","500","2","3.3","12","534"
"238","500","2","3.2","17","493"
"245","500","2","3.3","14","479"
"241","500","2","3.3","16","473"
"243","500","2","3.3","15","509"
"244","500","2","3.3","15","499"
"236","500","2","3.2","22","466"
"240","500","2","3.2","21","482"
"248","500","2","3.3","17","503"
"249","500","2","3.3","19","503"
"253","500","2","3.3","13","462"
"246","500","2","3.3","24","511"
"251","500","2","3.3","17","490"
"250","500","2","3.3","23","509"
"259","500","2","3.3","15","490"
"252","500","2","3.3","18","491"
"258","500","2","3.3","15","487"
"254","500","2","3.3","20","553"
"264","500","2","3.4","15","499"
"260","500","2","3.3","18","520"
"261","500","2","3.4","18","488"
"266","500","2","3.4","15","507"
"255","500","2","3.3","21","484"
"265","500","2","3.4","18","467"
"262","500","2","3.4","20","494"
"256","500","2","3.3","23","498"
"257","500","2","3.3","23","512"
"263","500","2","3.4","22","481"
"270","500","2","3.4","15","502"
"268","500","2","3.4","17","477"
"269","500","2","3.4","17","494"
"267","500","2","3.4","21","498"
"276","500","2","3.4","13","479"
"274","500","2","3.4","13","463"
"273","500","2","3.4","16","508"
"271","500","2","3.4","20","528"
"278","500","2","3.4","14","510"
"281","500","2","3.5","12","495"
"272","500","2","3.4","20","486"
"279","500","2","3.4","15","531"
"285","500","2","3.5","13","484"
"277","500","2","3.4","18","506"
"275","500","2","3.4","20","493"
"284","500","2","3.5","14","502"
"282","500","2","3.5","14","490"
"280","500","2","3.4","18","483"
"287","500","2","3.5","15","481"
"286","500","2","3.5","16","465"
"289","500","2","3.5","14","481"
"283","500","2","3.5","19","510"
"288","500","2","3.5","17","482"
"295","500","2","3.5","13","502"
"290","500","2","3.5","20","454"
"293","500","2","3.5","17","523"
"294","500","2","3.5","19","516"
"292","500","2","3.5","17","483"
"291","500","2","3.5","19","503"
"298","500","2","3.5","15","525"
"297","500","2","3.5","17","480"
"305","500","2","3.6","11","481"
"300","500","2","3.5","14","511"
"308","500","2","3.6","10","468"
"304","500","2","3.6","14","552"
"296","500","2","3.5","21","495"
"301","500","2","3.6","15","497"
"303","500","2","3.6","17","493"
"299","500","2","3.5","18","505"
"302","500","2","3.6","18","511"
"307","500","2","3.6","14","495"
"306","500","2","3.6","15","462"
"313","500","2","3.6","11","501"
"310","500","2","3.6","16","486"
"309","500","2","3.6","17","483"
"312","500","2","3.6","15","511"
"316","500","2","3.6","12","444"
"322","500","2","3.7","9","513"
"315","500","2","3.6","15","527"
"311","500","2","3.6","19","507"
"317","500","2","3.6","15","521"
"314","500","2","3.6","15","482"
"318","500","2","3.6","14","484"
"319","500","2","3.6","14","474"
"324","500","2","3.7","12","472"
"325","500","2","3.7","13","471"
"321","500","2","3.7","15","515"
"328","500","2","3.7","14","487"
"327","500","2","3.7","14","466"
"326","500","2","3.7","15","510"
"320","500","2","3.6","21","500"
"330","500","2","3.7","12","495"
"335","500","2","3.7","12","455"
"341","500","2","3.8","11","485"
"336","500","2","3.7","12","498"
"333","500","2","3.7","15","550"
"332","500","2","3.7","15","492"
"329","500","2","3.7","17","478"
"339","500","2","3.7","13","481"
"337","500","2","3.7","13","483"
"334","500","2","3.7","17","477"
"340","500","2","3.7","14","485"
"323","500","2","3.7","27","488"
"346","500","2","3.8","9","512"
"331","500","2","3.7","20","468"
"343","500","2","3.8","12","510"
"345","500","2","3.8","12","478"
"338","500","2","3.7","16","527"
"347","500","2","3.8","9","483"
"342","500","2","3.8","16","545"
"348","500","2","3.8","11","489"
"344","500","2","3.8","15","453"
"350","500","2","3.8","9","491"
"352","500","2","3.8","10","523"
"353","500","2","3.8","11","502"
"354","500","2","3.8","13","504"
"360","500","2","3.8","12","469"
"355","500","2","3.8","15","501"
"349","500","2","3.8","17","524"
"363","500","2","3.9","12","507"
"366","500","2","3.9","10","506"
"351","500","2","3.8","18","493"
"361","500","2","3.9","13","493"
"362","500","2","3.9","14","489"
"367","500","2","3.9","12","530"
"364","500","2","3.9","13","502"
"359","500","2","3.8","18","491"
"365","500","2","3.9","14","499"
"369","500","2","3.9","12","480"
"357","500","2","3.8","20","477"
"368","500","2","3.9","14","494"
"356","500","2","3.8","23","539"
"370","500","2","3.9","12","527"
"358","500","2","3.8","23","478"
"371","500","2","3.9","14","512"
"374","500","2","3.9","11","486"
"372","500","2","3.9","13","529"
"377","500","2","3.9","10","506"
"380","500","2","3.9","10","498"
"375","500","2","3.9","12","474"
"385","500","2","4","9","522"
"373","500","2","3.9","15","529"
"383","500","2","4","12","482"
