"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"Number-of-Links"
"09/28/2025 22:48:19:783 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"13","1","1","1","links","Optimize","0","0","0"
"12","0","1","1","links","Optimize","0","0","0"
"8","7","1","1","links","Optimize","0","0","0"
"15","3","1","1","links","Optimize","0","0","0"
"9","8","1","1","links","Optimize","0","0","0"
"10","9","1","1","links","Optimize","0","0","0"
"14","2","1","1","links","Optimize","0","0","0"
"3","2","1","1","links","Optimize","0","0","0"
"11","10","1","1","links","Optimize","0","0","0"
"2","1","1","1","links","Optimize","0","0","0"
"4","3","1","1","links","Optimize","0","0","0"
"1","0","1","1","links","Optimize","0","0","0"
"6","5","1","1","links","Optimize","0","0","0"
"5","4","1","1","links","Optimize","0","0","0"
"7","6","1","1","links","Optimize","0","0","0"
"12","0","1","1","links","Optimize","1","9181.095618440742","5700.248662299356"
"13","1","1","1","links","Optimize","1","13964.22230641722","8322.800248203033"
"3","2","1","1","links","Optimize","1","13380.446707368603","6602.324863854692"
"14","2","1","1","links","Optimize","1","13882.239046278795","6412.011775311043"
"2","1","1","1","links","Optimize","1","13229.735316177532","5814.001023818305"
"15","3","1","1","links","Optimize","1","12360.031819411188","5186.907553603371"
"9","8","1","1","links","Optimize","1","15587.962662782218","4693.971484322894"
"11","10","1","1","links","Optimize","1","14688.870055480082","3849.944970221633"
"4","3","1","1","links","Optimize","1","13062.63241000074","5074.381734811455"
"1","0","1","1","links","Optimize","1","11994.185203849715","7644.325455135466"
"12","0","1","1","links","Optimize","2","16887.655936007235","11939.914115662496"
"13","1","1","1","links","Optimize","2","31150.755180231325","13433.703899256414"
"8","7","1","1","links","Optimize","1","14903.882410569864","6786.099615732399"
"9","8","1","1","links","Optimize","2","29810.956096040987","11056.100736507242"
