"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary profit"
"09/28/2025 22:18:16:098 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"8","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2830.2998655422357","0.052492502886391"
"5","0","0.5","1","neighbors","Optimize","25","50","0","0","0","3441.169396410367","0.049898025283142"
"9","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2554.465362866875","0.048275582033200884"
"13","0","0.5","1","neighbors","Optimize","25","50","0","0","0","3426.728120306449","0.058916457826894676"
"8","0","0.5","1","neighbors","Optimize","25","50","1","6026.4551228189175","3418.4011641137463","6026.45512281892","0.05260165174557811"
"8","0","0.5","1","neighbors","Optimize","25","50","2","11690.261802454446","7268.981225540543","6829.177828431196","0.05152187675311277"
"10","0","0.5","1","neighbors","Optimize","25","50","0","0","0","1484.007926298408","0.05761063717593421"
"4","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2316.839335317943","0.0490846830599925"
"8","0","0.5","1","neighbors","Optimize","25","50","3","18689.871520715278","10390.11301768591","7490.38787087259","0.05232295509468387"
"1","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2475.3758005384525","0.05746789561187052"
"11","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2052.6919889885494","0.06186990192081703"
"5","0","0.5","1","neighbors","Optimize","25","50","1","7049.367972007565","3082.2347857664067","7049.367972007566","0.05418800922879258"
"8","0","0.5","1","neighbors","Optimize","25","50","4","22853.148676285586","12074.072071576913","7394.6463243284015","0.04572313377982158"
"15","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2248.5063646110707","0.05228344664940891"
"7","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2267.4667881467235","0.055260861539471684"
"3","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2094.253368461176","0.06250235726816747"
"2","0","0.5","1","neighbors","Optimize","25","50","0","0","0","1830.3818079005496","0.06445438064811888"
"13","0","0.5","1","neighbors","Optimize","25","50","1","7578.312218164959","3489.217321216627","7578.312218164958","0.055584460499898174"
"12","0","0.5","1","neighbors","Optimize","25","50","0","0","0","3004.0529576700837","0.058929800018811686"
"6","0","0.5","1","neighbors","Optimize","25","50","0","0","0","3088.0828941295376","0.05815593648859992"
"14","0","0.5","1","neighbors","Optimize","25","50","0","0","0","2015.5307318037867","0.05891630468217432"
"8","0","0.5","1","neighbors","Optimize","25","50","5","30335.732971613445","13502.653511343147","7482.584295327857","0.04882883734919337"
"5","0","0.5","1","neighbors","Optimize","25","50","2","13406.750884988955","7604.769568300308","7311.083532610556","0.05180679555529562"
"9","0","0.5","1","neighbors","Optimize","25","50","1","5407.565563852503","2394.06828955814","5561.718323093199","0.04705351022651626"
"13","0","0.5","1","neighbors","Optimize","25","50","2","13869.444019860144","7823.225489156638","7931.4826073468375","0.05061820685559861"
"9","0","0.5","1","neighbors","Optimize","25","50","2","10323.871153992095","5147.728962757166","5934.214304413996","0.04791892895730663"
