"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary risk"
"09/28/2025 22:18:05:532 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"7","0","1","1","neighbors","Optimize","25","50","0","0","0","4192.431247455805","0.06318857290683734"
"12","0","1","1","neighbors","Optimize","25","50","0","0","0","3483.857004142605","0.05098355755842994"
"6","0","1","1","neighbors","Optimize","25","50","0","0","0","4756.13926812049","0.05593912569763592"
"9","0","1","1","neighbors","Optimize","25","50","0","0","0","3260.6853425738855","0.06505001410248695"
"10","0","1","1","neighbors","Optimize","25","50","0","0","0","5504.737467881223","0.05583210072072589"
"5","0","1","1","neighbors","Optimize","25","50","0","0","0","3903.19315589249","0.05998599368717766"
"7","0","1","1","neighbors","Optimize","25","50","1","11411.325750018384","5120.301990295453","11411.325750018384","0.05181221693907327"
"12","0","1","1","neighbors","Optimize","25","50","1","10774.565207572987","5705.357086097271","12763.625033437584","0.05805234341124394"
"9","0","1","1","neighbors","Optimize","25","50","1","10935.403186965961","6338.221867141104","12203.017305735397","0.042450118949602274"
"12","0","1","1","neighbors","Optimize","25","50","2","22760.037659802103","9673.549356335809","13380.079059834168","0.054524620484417835"
"6","0","1","1","neighbors","Optimize","25","50","1","9831.731363570896","4999.9427160515","10819.32175085448","0.04505413474225535"
"7","0","1","1","neighbors","Optimize","25","50","2","22317.856165363966","11000.054571033521","12004.508816721598","0.04927487088219389"
"14","0","1","1","neighbors","Optimize","25","50","0","0","0","4403.476923903197","0.062169435988656215"
"10","0","1","1","neighbors","Optimize","25","50","1","11396.649380135077","4640.037884150865","12099.479360173098","0.06042126897796365"
"5","0","1","1","neighbors","Optimize","25","50","1","12826.287068267668","6648.231020291156","13150.917695870214","0.05745272216517517"
"3","0","1","1","neighbors","Optimize","25","50","0","0","0","5626.208675142262","0.058443007554838416"
"15","0","1","1","neighbors","Optimize","25","50","0","0","0","5055.7968253755835","0.046424410542081726"
"11","0","1","1","neighbors","Optimize","25","50","0","0","0","4634.323257032619","0.05536979186313971"
"4","0","1","1","neighbors","Optimize","25","50","0","0","0","4687.1511622766","0.06335952283229164"
"13","0","1","1","neighbors","Optimize","25","50","0","0","0","6013.943777294096","0.05798889250094605"
"2","0","1","1","neighbors","Optimize","25","50","0","0","0","3091.8998963049908","0.06101857609032204"
"9","0","1","1","neighbors","Optimize","25","50","2","23955.214586040267","11805.66132652228","13436.163164612117","0.03743089595440017"
