"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-profit"
"10/07/2021 01:21:15:648 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"18","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","63697.388247343006","3565.085123783382","0.03386422748416667"
"7","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","61478.35281426027","3691.844499136051","0.034257497651824044"
"8","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","58349.78063069997","3493.8427064668185","0.03320429661171288"
"14","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","68297.57328737009","3607.87395974468","0.02860781472228083"
"15","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","66496.69759091506","3558.4997123380626","0.032704333928300945"
"21","25","neighbors","10","0.01","1","exp utility","100","0.55","0.1","wealth","24","72008.56316424375","4217.05954667428","0.032461384002754314"
"20","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","67516.99405722617","3900.8180303432764","0.03304763959311746"
"2","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","67199.46059661913","3820.723050094308","0.032046403530991946"
"16","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","61475.422993729","3774.1026936926955","0.03152587263779309"
"6","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","67902.6397698814","3586.614005944907","0.030183097496353378"
"12","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","63004.533063350034","3587.160401630554","0.031081803093514333"
"9","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","62344.17117773788","3552.3041435407404","0.03137154709376067"
"17","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","62786.24216137575","3536.613875082837","0.03425714281378886"
"5","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","68019.94010647175","3431.178810472249","0.03160172162547759"
"3","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","65236.46169573046","3575.055268861269","0.03223100764142392"
"22","25","neighbors","10","0.01","1","exp utility","100","0.55","0.1","wealth","24","69967.81108120375","4018.1062713802835","0.03285638177816811"
"10","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","60049.76551279077","3652.436520437041","0.03390456291577428"
"11","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","69391.49625622958","3842.1824290940012","0.031466427361169176"
"1","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","56944.99670067593","3648.420901020561","0.03287160721609536"
"23","25","neighbors","10","0.01","1","exp utility","100","0.55","0.1","wealth","24","67442.86423718002","3916.7249817395873","0.03301239568640433"
"13","25","neighbors","10","0.01","1","exp utility","100","0.5","0.1","wealth","24","60775.80833109429","3653.6066956145673","0.03360336340353288"
"24","25","neighbors","10","0.01","1","exp utility","100","0.55","0.1","wealth","24","74326.74422870447","4249.0157780392965","0.03384976020857858"
"26","25","neighbors","10","0.01","1","exp utility","100","0.55","0.1","wealth","24","72834.14868764224","3796.903339767033","0.029734757165777236"
"25","25","neighbors","10","0.01","1","exp utility","100","0.55","0.1","wealth","24","75885.27794967589","4186.990897401076","0.031958824959194214"
"29","25","neighbors","10","0.01","1","exp utility","100","0.55","0.1","wealth","24","76630.03326408315","4156.4282796658235","0.03325257742981378"
