"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-risk"
"10/07/2021 01:21:26:749 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"12","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","120676.2885648013","6966.051878323031","0.03451778584068091"
"13","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","130021.51837892683","7619.416836825769","0.03283585265566393"
"6","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","124324.54341480337","7188.2125347073925","0.03108206823034789"
"11","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","123983.9708563821","7158.285154788365","0.03015268712530612"
"7","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","127305.22515966998","7494.124635749235","0.0357562417103791"
"2","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","142045.96961651283","7755.843935821118","0.03320021444206841"
"5","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","132012.87129596583","7279.43397845739","0.03230058022130269"
"14","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","132838.47226404923","7513.022906725015","0.03375511056270098"
"17","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","125586.4124367387","7447.77165513959","0.034879775483970275"
"15","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","133440.6508155693","7240.30562984738","0.03105721237402312"
"19","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","137548.13248424153","7531.216160927025","0.031701244075385236"
"1","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","145341.13741726225","7475.877600772689","0.030702657498151598"
"4","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","138245.70752864896","7245.889988946674","0.03248440491976581"
"18","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","126036.34515602236","7104.660588863934","0.030117158891535184"
"3","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","134558.5485431027","7388.932883428163","0.032355857864194065"
"16","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","131903.19732430528","7382.455315035609","0.03350867132348498"
"21","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","113548.34335633894","7429.010824918039","0.0388875751491266"
"8","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","129084.76150328986","7704.165327498731","0.03194745342531173"
"9","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","129051.24730553855","7072.589529141914","0.03073116373297584"
"10","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","137625.85229504135","7327.074598703062","0.02972774418357036"
"20","25","neighbors","10","0.01","1","exp utility","100","1","0.1","wealth","24","114586.532345615","7626.711116376567","0.035722427045160855"
"23","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","130511.14257624312","6967.761411534461","0.031853001181404904"
"25","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","121442.60214623707","7268.67977482552","0.037315696025063724"
"24","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","121975.30330814629","7091.465452537308","0.034260702426804276"
"26","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","112825.91576368565","7462.7368278789045","0.03884150673717567"
"28","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","119582.71807790235","6715.777597411052","0.03371797635345339"
"27","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","124773.05066125665","7604.682974400173","0.034145305084408294"
"22","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","122405.0705618332","7292.558882531295","0.034418676289482524"
"32","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","119160.12265818397","7216.594208149822","0.032318342369912524"
"37","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","114369.83496331981","6898.097793889846","0.03505507457307385"
"30","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","120530.08170404326","7469.873130163526","0.0343155669431055"
"29","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","125790.2207722971","7428.638450321372","0.036580471619114104"
"33","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","111111.35496083174","6700.6778659460615","0.03502611410881392"
"34","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","115369.25306933695","7247.339574352589","0.034382154716350095"
"36","25","neighbors","10","0.01","1.1","exp utility","100","1","0.1","wealth","24","123426.40051379848","7035.770343393945","0.03574165029463053"
