"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"10/07/2021 01:21:37:948 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"14","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","133291.3165836895","1.14","7678.315854545902","0.03747648820161833"
"10","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","147019.56099131706","0.84","7470.8307003701675","0.030592774600357368"
"9","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","130971.5674210538","1.04","7262.470765882218","0.034428623752773106"
"16","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","136564.31200889044","0.95","7458.539581387675","0.03394457855794696"
"7","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","135671.43104261163","0.99","7678.4743860194685","0.03204188861272626"
"5","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","130939.92538340218","1.06","7362.027084991732","0.03516747727166472"
"22","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","121569.04348971737","1.09","7606.01009681754","0.032969051306870056"
"21","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","130663.53052704915","1.04","7417.605529521346","0.034303312822482876"
"1","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","130921.14472403817","0.99","7329.690775120443","0.03485809506464971"
"2","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","130438.12938516462","1.01","7423.213827486613","0.03460765423824248"
"23","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","127702.64154689858","1.17","7417.419747084638","0.03729615354419192"
"18","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","128962.08685840484","1.12","7696.071769839399","0.03468527280349185"
"24","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","138721.14276612573","0.92","7610.430720410328","0.035165281014599994"
"11","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","125291.5085157225","1.11","7553.807215410222","0.03785374989340471"
"4","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","135050.84781810964","0.95","7620.94641253508","0.035784915704685664"
"13","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","132545.75528225902","0.98","7385.141333665637","0.03528025168376993"
"17","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","132362.23772473456","1.01","7891.896826475056","0.03418602099540507"
"26","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","111112.66412482352","1.06","7207.932884915475","0.031793335806114875"
"6","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","122216.10687701017","1.09","7464.149371468558","0.039344237889967035"
"25","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","125424.89305541998","1.07","7532.840417366171","0.03546365216824967"
"28","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","135450.90118758628","1.11","7152.1523722816655","0.029779670116642933"
"27","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","114876.11722373366","1.33","7836.111509502071","0.035402923166159825"
"31","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","136482.3795863745","0.82","7430.688877650151","0.03364051713430191"
"15","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","136465.1706958819","0.95","7396.786852461107","0.03182693243476516"
"19","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","130598.73745834614","1.05","7493.30496882152","0.03662166792888371"
"20","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","123709.53841211334","1.06","7406.761196101798","0.03705849488975596"
"33","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","128562.36336811274","0.96","7606.5342030717175","0.0332162164212254"
"30","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","126615.0706365106","1.05","7059.930761502756","0.03697310656435759"
"29","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","138076.62576794834","0.87","7483.047754066465","0.030318033459984274"
"32","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","129096.83868161927","1.17","7765.680748320055","0.03652703647613964"
"8","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","132757.19753578244","1.09","7857.296598684342","0.03998346766733811"
"12","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","142869.97638498875","0.85","7487.51802102485","0.03374741340984824"
"34","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","120516.07572515571","0.98","7397.1806665615495","0.03632453481208644"
"3","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","1","24","126109.1646464326","1.12","7432.512957920143","0.0318088915032056"
"37","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","151265.99375174765","0.8","7657.565354642486","0.030949236273103312"
"36","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","124534.47453598645","0.98","7661.187812951536","0.035185392877523286"
"42","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","142332.3558212554","0.77","7576.800519307187","0.0301251481408308"
"38","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","135829.9559555904","0.88","7524.990477335511","0.03214226153559696"
"35","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","124646.01014327466","1.17","7642.127996671119","0.03689737350438627"
"40","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","144449.80541458883","0.72","7551.340280571911","0.03280006258136896"
"47","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","125051.48378311863","1.15","7390.7431953326295","0.0370892010950532"
"44","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","118663.00425196547","1.22","7370.60437093202","0.03694945691124424"
"43","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","127100.50466288801","1.03","7738.343507951376","0.03380322499519062"
"51","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","132743.42520477192","0.77","7368.533234967855","0.03136456673903902"
"41","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","123680.23658444213","1.05","7188.998521153858","0.035109182236618436"
"39","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","2","24","129004.71584628982","1.08","7311.74163490926","0.0340543375431901"
"48","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","116467.60650643935","1.13","7629.756721650251","0.03422027129271442"
"49","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","143239.6604012793","0.85","7055.017915377035","0.031374216085904696"
"53","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","123093.68371775142","1.04","7373.934681670263","0.034234666955162744"
"57","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","135113.35904531658","0.92","7316.111033846552","0.03438456688211651"
"55","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","121100.97359803112","1.08","7373.632957288865","0.03472304287153968"
"50","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","132281.11516671395","1.05","7692.3227867207615","0.03395643634967442"
"63","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","118616.9102975553","1.01","7369.303516496932","0.03336655651295334"
"58","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","132164.1940212698","0.89","7457.442914600354","0.03390293820753321"
"62","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","134278.97532226582","0.86","7785.585102055926","0.03233794999605351"
"61","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","126480.91107045405","0.89","7094.348226636474","0.031989470809410114"
"46","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","135597.01868796218","0.96","7108.711917986261","0.03284692911439852"
"64","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","131412.85074437692","0.92","7522.651863807564","0.03330118299084305"
"65","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","123910.19855668029","0.95","7096.272524069904","0.032108912950934425"
"52","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","135884.6387546967","0.84","7656.072707078129","0.03508570963146381"
"56","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","131975.65233892598","0.87","7550.410475382117","0.03435128009893616"
"45","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","125025.78396060586","0.86","7356.419644980892","0.034093914814750166"
"59","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","133124.59988165184","0.92","7069.586856529442","0.0335085219930628"
"68","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","136082.78713579467","0.91","7442.276675507747","0.036193387382603796"
"60","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","130225.90038141776","0.95","7258.3428104366085","0.03423602044542159"
"70","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","137096.54063190654","0.89","7537.391288179028","0.033165210288315344"
"69","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","122578.52403503882","0.96","7274.680797494211","0.030994047899030742"
"71","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","131256.37338422443","0.96","7442.12237935092","0.03389534288952209"
"73","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","126807.29867301119","0.89","7615.120000457936","0.03338466456881201"
"76","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","129383.95722576424","0.86","7378.227765425376","0.03340263446875721"
"79","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","114052.0057314584","1.07","7459.236620036988","0.037394340182618474"
"75","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","126292.44780256278","0.92","7503.67909757907","0.03224431854380989"
"67","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","133990.66538337237","0.98","7618.323751964041","0.032976417493014755"
"72","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","129847.23181560317","0.97","7414.462776383962","0.03462059876600545"
"74","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","122365.44655799792","1.14","7657.4729129986845","0.036036439368719336"
"77","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","119432.83022696669","1.09","7608.5184601596975","0.03279450353003333"
"84","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","133028.64341986083","0.84","7450.168669009273","0.03485031614923747"
"66","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","122314.31461575117","1.29","7495.204364799249","0.03215002309458736"
"54","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","3","24","135872.87784851354","0.91","7394.50847474008","0.03468054389563533"
"85","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","142300.82232204944","0.6","7230.5256397836165","0.027730458163418518"
"88","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","119830.14557690462","1.19","7536.144594898243","0.03519729891140244"
"86","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","121143.21081314195","1.18","7298.670552095191","0.03402241750505731"
"89","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","119273.16117977712","0.9","7576.764362756137","0.035278654484977905"
"90","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","132645.0863946135","0.85","7171.738944916109","0.03448525718370114"
"81","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","116952.6164065177","1.16","7167.925018246032","0.03258705821541311"
"87","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","123893.33097266075","0.95","7604.68815144129","0.03271908777714037"
"92","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","127528.24354887047","0.89","7424.392264578274","0.03293856851788493"
"91","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","126822.66829498198","0.97","6917.329826491477","0.036403994654478265"
"94","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","128645.57120560767","0.88","7415.223604044579","0.0331088881172807"
"82","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","136444.01638309346","0.84","7434.061839188141","0.032209826042638535"
"80","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","112751.50038115183","0.98","7191.790141455142","0.0384895038269035"
"96","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","132476.25094136604","0.88","7124.048773094133","0.034878670472302205"
"97","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","119831.62503989166","0.94","6869.343037684565","0.03573489409794617"
"78","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","129043.89172946027","1.06","7140.370150047664","0.034064239966687095"
