"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"10/07/2025 21:50:53:651 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"9","0.1","red","radius","0.01","exp utility","10","0","25","24","67757.54483925851"
"7","0.1","red","radius","0.01","exp utility","10","0","25","24","54398.52164858896"
"13","0.1","red","radius","0.01","exp utility","10","0","25","24","35840.29105342187"
"1","0.1","red","radius","0.01","exp utility","10","0","25","24","87141.06715583484"
"16","0.1","red","radius","0.01","exp utility","10","0","25","24","72401.82993489117"
"17","0.1","red","radius","0.01","exp utility","10","0","25","24","60567.93663086441"
"20","0.1","red","radius","0.01","exp utility","10","0","25","24","86517.10393172162"
"18","0.1","red","radius","0.01","exp utility","10","0","25","24","88796.6204712302"
"19","0.1","red","radius","0.01","exp utility","10","0","25","24","95879.6404001546"
"21","0.1","red","radius","0.01","exp utility","10","0","25","24","70675.420502174"
"22","0.1","red","radius","0.01","exp utility","10","0","25","24","85622.30221927198"
"15","0.1","red","radius","0.01","exp utility","10","0","25","24","70548.68066639833"
"23","0.1","red","radius","0.01","exp utility","10","0","25","24","42221.2590060719"
"11","0.1","red","radius","0.01","exp utility","10","0","25","24","63987.479720449555"
"4","0.1","red","radius","0.01","exp utility","10","0","25","24","99151.70495640938"
"14","0.1","red","radius","0.01","exp utility","10","0","25","24","69449.37932673605"
"5","0.1","red","radius","0.01","exp utility","10","0","25","24","82806.24335479044"
"12","0.1","red","radius","0.01","exp utility","10","0","25","24","51785.13731157463"
"8","0.1","red","radius","0.01","exp utility","10","0","25","24","69840.91235491208"
"25","0.1","red","radius","0.01","exp utility","10","0","25","24","78656.22138548126"
"24","0.1","red","radius","0.01","exp utility","10","0","25","24","42573.276240852974"
"6","0.1","red","radius","0.01","exp utility","10","0","25","24","85108.71384589869"
"10","0.1","red","radius","0.01","exp utility","10","0","25","24","120082.94917761996"
"28","0.1","red","radius","0.01","exp utility","10","0","25","24","60447.390843666064"
"3","0.1","red","radius","0.01","exp utility","10","0","25","24","79249.89277656694"
"2","0.1","red","radius","0.01","exp utility","10","0","25","24","59398.7458935918"
"26","0.1","red","radius","0.01","exp utility","10","0","25","24","98352.46357454485"
"27","0.1","red","radius","0.01","exp utility","10","0","25","24","50252.03012515186"
"29","0.1","red","radius","0.01","exp utility","10","0","25","24","59549.32716385879"
"30","0.1","red","radius","0.01","exp utility","10","0","25","24","57812.877395568954"
"35","0.1","red","radius","0.01","exp utility","10","1","25","24","138191.35760804094"
"31","0.1","red","radius","0.01","exp utility","10","1","25","24","141704.24898297584"
"39","0.1","red","radius","0.01","exp utility","10","1","25","24","98859.85511486956"
"36","0.1","red","radius","0.01","exp utility","10","1","25","24","165678.00185615983"
"33","0.1","red","radius","0.01","exp utility","10","1","25","24","99271.42483835602"
"34","0.1","red","radius","0.01","exp utility","10","1","25","24","172383.49251917918"
"32","0.1","red","radius","0.01","exp utility","10","1","25","24","156747.32817799115"
"42","0.1","red","radius","0.01","exp utility","10","1","25","24","115410.4197923548"
"43","0.1","red","radius","0.01","exp utility","10","1","25","24","144749.96046263637"
"41","0.1","red","radius","0.01","exp utility","10","1","25","24","152696.94243014077"
"44","0.1","red","radius","0.01","exp utility","10","1","25","24","162899.128117187"
"37","0.1","red","radius","0.01","exp utility","10","1","25","24","125957.49943145268"
"40","0.1","red","radius","0.01","exp utility","10","1","25","24","104720.47953844638"
"38","0.1","red","radius","0.01","exp utility","10","1","25","24","164207.40900077135"
"45","0.1","red","radius","0.01","exp utility","10","1","25","24","177785.4230757525"
"46","0.1","red","radius","0.01","exp utility","10","1","25","24","184229.740024577"
"47","0.1","red","radius","0.01","exp utility","10","1","25","24","119172.0545830214"
"48","0.1","red","radius","0.01","exp utility","10","1","25","24","165949.87519676363"
"49","0.1","red","radius","0.01","exp utility","10","1","25","24","140642.64768274623"
"52","0.1","red","radius","0.01","exp utility","10","1","25","24","128354.71948717974"
"54","0.1","red","radius","0.01","exp utility","10","1","25","24","149207.75919582503"
"56","0.1","red","radius","0.01","exp utility","10","1","25","24","186712.5618635674"
"50","0.1","red","radius","0.01","exp utility","10","1","25","24","148102.51540387367"
"53","0.1","red","radius","0.01","exp utility","10","1","25","24","150635.54935085442"
"51","0.1","red","radius","0.01","exp utility","10","1","25","24","155151.68083471165"
"60","0.1","red","radius","0.01","exp utility","10","1","25","24","115580.97837201029"
"55","0.1","red","radius","0.01","exp utility","10","1","25","24","129525.1310056441"
"57","0.1","red","radius","0.01","exp utility","10","1","25","24","147109.5897468293"
"61","0.1","red","radius","0.01","exp utility","10","2","25","24","177813.85441913427"
"62","0.1","red","radius","0.01","exp utility","10","2","25","24","173119.5275362995"
"59","0.1","red","radius","0.01","exp utility","10","1","25","24","111203.04374692876"
"58","0.1","red","radius","0.01","exp utility","10","1","25","24","107400.49334186898"
"63","0.1","red","radius","0.01","exp utility","10","2","25","24","154297.41597690838"
"65","0.1","red","radius","0.01","exp utility","10","2","25","24","170010.88629964844"
"66","0.1","red","radius","0.01","exp utility","10","2","25","24","179743.07684468545"
"64","0.1","red","radius","0.01","exp utility","10","2","25","24","146809.17244926494"
"67","0.1","red","radius","0.01","exp utility","10","2","25","24","162240.37160855276"
"68","0.1","red","radius","0.01","exp utility","10","2","25","24","142889.93584320144"
"71","0.1","red","radius","0.01","exp utility","10","2","25","24","148055.2850382358"
"70","0.1","red","radius","0.01","exp utility","10","2","25","24","182998.0407075885"
"69","0.1","red","radius","0.01","exp utility","10","2","25","24","180032.26019446817"
"72","0.1","red","radius","0.01","exp utility","10","2","25","24","154853.73538887737"
"74","0.1","red","radius","0.01","exp utility","10","2","25","24","151308.91938167103"
"75","0.1","red","radius","0.01","exp utility","10","2","25","24","92184.139677248"
"78","0.1","red","radius","0.01","exp utility","10","2","25","24","165005.5122878249"
"80","0.1","red","radius","0.01","exp utility","10","2","25","24","167412.19162809275"
"79","0.1","red","radius","0.01","exp utility","10","2","25","24","208378.76345079803"
"73","0.1","red","radius","0.01","exp utility","10","2","25","24","177682.75811231"
"82","0.1","red","radius","0.01","exp utility","10","2","25","24","158837.67980403628"
"83","0.1","red","radius","0.01","exp utility","10","2","25","24","179610.84409236145"
"84","0.1","red","radius","0.01","exp utility","10","2","25","24","141032.67811773423"
"77","0.1","red","radius","0.01","exp utility","10","2","25","24","180551.68452802443"
"81","0.1","red","radius","0.01","exp utility","10","2","25","24","184449.6016018426"
"76","0.1","red","radius","0.01","exp utility","10","2","25","24","127580.38651454402"
"88","0.1","red","radius","0.01","exp utility","10","2","25","24","177598.80689634368"
"85","0.1","red","radius","0.01","exp utility","10","2","25","24","113981.11246704058"
"90","0.1","red","radius","0.01","exp utility","10","2","25","24","125712.77396160834"
"91","0.1","red","radius","0.01","exp utility","10","3","25","24","158470.630888829"
"89","0.1","red","radius","0.01","exp utility","10","2","25","24","132075.10661294023"
"86","0.1","red","radius","0.01","exp utility","10","2","25","24","136529.04940652027"
"87","0.1","red","radius","0.01","exp utility","10","2","25","24","171046.7636067889"
"92","0.1","red","radius","0.01","exp utility","10","3","25","24","197137.37949705333"
