"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision"
"10/07/2025 22:04:18:816 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth","stdev-wealth"
"5","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"6","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"13","0.1","red","radius","0.01","exp utility","100","1","25","0","0","0"
"11","0.1","red","radius","0.01","exp utility","100","1","25","0","0","0"
"10","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"4","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"8","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"9","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"12","0.1","red","radius","0.01","exp utility","100","1","25","0","0","0"
"14","0.1","red","radius","0.01","exp utility","100","1","25","0","0","0"
"15","0.1","red","radius","0.01","exp utility","100","1","25","0","0","0"
"5","0.1","red","radius","0.01","exp utility","100","0","25","1","5387.725692299191","2507.235699496738"
"3","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"7","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"10","0.1","red","radius","0.01","exp utility","100","0","25","1","5706.342081430806","2733.1714566314054"
"2","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"5","0.1","red","radius","0.01","exp utility","100","0","25","2","10064.03251056202","5397.556159842693"
"4","0.1","red","radius","0.01","exp utility","100","0","25","1","5419.159703271257","2958.604020641976"
"13","0.1","red","radius","0.01","exp utility","100","1","25","1","6363.921510902355","2625.8074169225224"
"9","0.1","red","radius","0.01","exp utility","100","0","25","1","5161.339908575578","2746.315922826507"
"8","0.1","red","radius","0.01","exp utility","100","0","25","1","5004.772188345833","2712.8569304546522"
"6","0.1","red","radius","0.01","exp utility","100","0","25","1","4845.4955286336535","2733.264791825203"
"1","0.1","red","radius","0.01","exp utility","100","0","25","0","0","0"
"5","0.1","red","radius","0.01","exp utility","100","0","25","3","15199.053752440324","7676.765000093694"
"10","0.1","red","radius","0.01","exp utility","100","0","25","2","10661.408291295518","5872.4046304931335"
"3","0.1","red","radius","0.01","exp utility","100","0","25","1","4872.245132637171","2716.87934746415"
"9","0.1","red","radius","0.01","exp utility","100","0","25","2","9860.480266310611","5523.295325213075"
"4","0.1","red","radius","0.01","exp utility","100","0","25","2","10341.488398377905","5920.343816873402"
"11","0.1","red","radius","0.01","exp utility","100","1","25","1","6818.324797520941","2429.523494010696"
