"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_reciprocity.nlogo"
"experiment"
"10/07/2024 01:18:11:708 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","num-iterations","init-coop-freq","payoff-cost","TFT?","randomization-prob","[step]","coop-freq"
"12","1","1","0.2","0.1","true","0","100","0.8220603537981269"
"3","1","1","0.2","0.1","true","0","100","0.81789802289282"
"13","1","1","0.2","0.1","true","0","100","0.7825182101977107"
"14","1","1","0.2","0.1","true","0","100","0.7845993756503642"
"5","1","1","0.2","0.1","true","0","100","0.8168574401664932"
"15","1","1","0.2","0.1","true","0","100","0.8231009365244537"
"4","1","1","0.2","0.1","true","0","100","0.7991675338189386"
"11","1","1","0.2","0.1","true","0","100","0.8241415192507804"
"2","1","1","0.2","0.1","true","0","100","0.7877211238293444"
"6","1","1","0.2","0.1","true","0","100","0.8085327783558793"
"10","1","1","0.2","0.1","true","0","100","0.7898022892819979"
"7","1","1","0.2","0.1","true","0","100","0.7887617065556711"
"9","1","1","0.2","0.1","true","0","100","0.8106139438085328"
"8","1","1","0.2","0.1","true","0","100","0.8158168574401665"
"1","1","1","0.2","0.1","true","0","100","0.7960457856399584"
"22","1","1","0.2","0.1","true","1","2","0"
"23","1","1","0.2","0.1","true","1","3","0"
"25","1","1","0.2","0.1","true","1","2","0"
"26","1","1","0.2","0.1","true","1","2","0"
"16","1","1","0.2","0.1","true","0","100","0.8189386056191468"
"20","1","1","0.2","0.1","true","0","100","0.8220603537981269"
"17","1","1","0.2","0.1","true","0","100","0.8189386056191468"
"18","1","1","0.2","0.1","true","0","100","0.8116545265348595"
"19","1","1","0.2","0.1","true","0","100","0.7970863683662851"
"32","1","1","0.2","0.1","true","1","2","0"
"31","1","1","0.2","0.1","true","1","3","0"
"29","1","1","0.2","0.1","true","1","2","0"
"27","1","1","0.2","0.1","true","1","3","0"
"30","1","1","0.2","0.1","true","1","2","0"
"21","1","1","0.2","0.1","true","1","3","0"
"28","1","1","0.2","0.1","true","1","3","0"
"33","1","1","0.2","0.1","true","1","2","0"
"24","1","1","0.2","0.1","true","1","3","0"
"35","1","1","0.2","0.1","true","1","2","0"
"37","1","1","0.2","0.1","true","1","2","0"
"40","1","1","0.2","0.1","true","1","2","0"
"34","1","1","0.2","0.1","true","1","3","0"
"36","1","1","0.2","0.1","true","1","3","0"
"38","1","1","0.2","0.1","true","1","3","0"
"39","1","1","0.2","0.1","true","1","3","0"
"41","1","1","0.2","0.2","true","0","100","0.7762747138397502"
"47","1","1","0.2","0.2","true","0","100","0.8033298647242456"
"43","1","1","0.2","0.2","true","0","100","0.7960457856399584"
"46","1","1","0.2","0.2","true","0","100","0.7731529656607701"
"42","1","1","0.2","0.2","true","0","100","0.8314255983350677"
"49","1","1","0.2","0.2","true","0","100","0.8085327783558793"
"45","1","1","0.2","0.2","true","0","100","0.8241415192507804"
"44","1","1","0.2","0.2","true","0","100","0.8147762747138397"
"48","1","1","0.2","0.2","true","0","100","0.8168574401664932"
"51","1","1","0.2","0.2","true","0","100","0.7679500520291364"
"50","1","1","0.2","0.2","true","0","100","0.8033298647242456"
"52","1","1","0.2","0.2","true","0","100","0.7845993756503642"
"53","1","1","0.2","0.2","true","0","100","0.8085327783558793"
"54","1","1","0.2","0.2","true","0","100","0.7970863683662851"
"62","1","1","0.2","0.2","true","1","2","0"
"55","1","1","0.2","0.2","true","0","100","0.813735691987513"
"63","1","1","0.2","0.2","true","1","2","0"
"66","1","1","0.2","0.2","true","1","2","0"
"61","1","1","0.2","0.2","true","1","3","0"
"67","1","1","0.2","0.2","true","1","2","0"
"64","1","1","0.2","0.2","true","1","3","0"
"65","1","1","0.2","0.2","true","1","3","0"
"68","1","1","0.2","0.2","true","1","3","0"
"70","1","1","0.2","0.2","true","1","2","0"
"71","1","1","0.2","0.2","true","1","2","0"
"69","1","1","0.2","0.2","true","1","3","0"
"81","1","1","0.2","0.3","true","0","2","0"
"72","1","1","0.2","0.2","true","1","2","0"
"82","1","1","0.2","0.3","true","0","1","0"
"83","1","1","0.2","0.3","true","0","1","0"
"84","1","1","0.2","0.3","true","0","2","0"
"74","1","1","0.2","0.2","true","1","2","0"
"85","1","1","0.2","0.3","true","0","2","0"
"56","1","1","0.2","0.2","true","0","100","0.8106139438085328"
"86","1","1","0.2","0.3","true","0","2","0"
"88","1","1","0.2","0.3","true","0","2","0"
"87","1","1","0.2","0.3","true","0","2","0"
"75","1","1","0.2","0.2","true","1","2","0"
"89","1","1","0.2","0.3","true","0","2","0"
"90","1","1","0.2","0.3","true","0","2","0"
"73","1","1","0.2","0.2","true","1","3","0"
"92","1","1","0.2","0.3","true","0","2","0"
"77","1","1","0.2","0.2","true","1","2","0"
"78","1","1","0.2","0.2","true","1","2","0"
"95","1","1","0.2","0.3","true","0","2","0"
"94","1","1","0.2","0.3","true","0","2","0"
"96","1","1","0.2","0.3","true","0","1","0"
"93","1","1","0.2","0.3","true","0","2","0"
"76","1","1","0.2","0.2","true","1","2","0"
"98","1","1","0.2","0.3","true","0","2","0"
"80","1","1","0.2","0.2","true","1","2","0"
"99","1","1","0.2","0.3","true","0","2","0"
"100","1","1","0.2","0.3","true","0","2","0"
"57","1","1","0.2","0.2","true","0","100","0.8376690946930281"
"58","1","1","0.2","0.2","true","0","100","0.7835587929240374"
"60","1","1","0.2","0.2","true","0","100","0.8085327783558793"
"59","1","1","0.2","0.2","true","0","100","0.8480749219562955"
"79","1","1","0.2","0.2","true","1","4","0"
"101","1","1","0.2","0.3","true","1","2","0"
"104","1","1","0.2","0.3","true","1","2","0"
"106","1","1","0.2","0.3","true","1","2","0"
"105","1","1","0.2","0.3","true","1","2","0"
"102","1","1","0.2","0.3","true","1","2","0"
"108","1","1","0.2","0.3","true","1","2","0"
"103","1","1","0.2","0.3","true","1","2","0"
"107","1","1","0.2","0.3","true","1","2","0"
"109","1","1","0.2","0.3","true","1","2","0"
"110","1","1","0.2","0.3","true","1","2","0"
"111","1","1","0.2","0.3","true","1","2","0"
"122","1","1","0.2","0.4","true","0","2","0"
"123","1","1","0.2","0.4","true","0","2","0"
"121","1","1","0.2","0.4","true","0","3","0"
"112","1","1","0.2","0.3","true","1","2","0"
"124","1","1","0.2","0.4","true","0","2","0"
"125","1","1","0.2","0.4","true","0","2","0"
"126","1","1","0.2","0.4","true","0","1","0"
"127","1","1","0.2","0.4","true","0","2","0"
"129","1","1","0.2","0.4","true","0","2","0"
"128","1","1","0.2","0.4","true","0","2","0"
"131","1","1","0.2","0.4","true","0","2","0"
"130","1","1","0.2","0.4","true","0","2","0"
"132","1","1","0.2","0.4","true","0","2","0"
"134","1","1","0.2","0.4","true","0","2","0"
"133","1","1","0.2","0.4","true","0","2","0"
"135","1","1","0.2","0.4","true","0","2","0"
"136","1","1","0.2","0.4","true","0","2","0"
"137","1","1","0.2","0.4","true","0","2","0"
"139","1","1","0.2","0.4","true","0","1","0"
"138","1","1","0.2","0.4","true","0","2","0"
"140","1","1","0.2","0.4","true","0","2","0"
"114","1","1","0.2","0.3","true","1","2","0"
"113","1","1","0.2","0.3","true","1","2","0"
"115","1","1","0.2","0.3","true","1","2","0"
"117","1","1","0.2","0.3","true","1","2","0"
"116","1","1","0.2","0.3","true","1","2","0"
"119","1","1","0.2","0.3","true","1","2","0"
"118","1","1","0.2","0.3","true","1","2","0"
"141","1","1","0.2","0.4","true","1","1","0"
"120","1","1","0.2","0.3","true","1","2","0"
"151","1","1","0.2","0.4","true","1","1","0"
"142","1","1","0.2","0.4","true","1","2","0"
"143","1","1","0.2","0.4","true","1","2","0"
"146","1","1","0.2","0.4","true","1","2","0"
"144","1","1","0.2","0.4","true","1","2","0"
"149","1","1","0.2","0.4","true","1","2","0"
"145","1","1","0.2","0.4","true","1","2","0"
"147","1","1","0.2","0.4","true","1","2","0"
"148","1","1","0.2","0.4","true","1","2","0"
"161","1","1","0.2","0.5","true","0","1","0"
"91","1","1","0.2","0.3","true","0","100","0.007284079084287201"
"162","1","1","0.2","0.5","true","0","2","0"
"163","1","1","0.2","0.5","true","0","2","0"
"97","1","1","0.2","0.3","true","0","100","0.005202913631633715"
"164","1","1","0.2","0.5","true","0","2","0"
"165","1","1","0.2","0.5","true","0","2","0"
"167","1","1","0.2","0.5","true","0","2","0"
"150","1","1","0.2","0.4","true","1","2","0"
"166","1","1","0.2","0.5","true","0","2","0"
"152","1","1","0.2","0.4","true","1","2","0"
"168","1","1","0.2","0.5","true","0","2","0"
"153","1","1","0.2","0.4","true","1","2","0"
"155","1","1","0.2","0.4","true","1","1","0"
"170","1","1","0.2","0.5","true","0","2","0"
"169","1","1","0.2","0.5","true","0","2","0"
"174","1","1","0.2","0.5","true","0","1","0"
"173","1","1","0.2","0.5","true","0","2","0"
"171","1","1","0.2","0.5","true","0","2","0"
"175","1","1","0.2","0.5","true","0","2","0"
"172","1","1","0.2","0.5","true","0","2","0"
"176","1","1","0.2","0.5","true","0","2","0"
"178","1","1","0.2","0.5","true","0","2","0"
"154","1","1","0.2","0.4","true","1","2","0"
"179","1","1","0.2","0.5","true","0","2","0"
"177","1","1","0.2","0.5","true","0","2","0"
"180","1","1","0.2","0.5","true","0","2","0"
"157","1","1","0.2","0.4","true","1","2","0"
"156","1","1","0.2","0.4","true","1","2","0"
"159","1","1","0.2","0.4","true","1","2","0"
"160","1","1","0.2","0.4","true","1","2","0"
"158","1","1","0.2","0.4","true","1","2","0"
"181","1","1","0.2","0.5","true","1","2","0"
"184","1","1","0.2","0.5","true","1","2","0"
"182","1","1","0.2","0.5","true","1","2","0"
"183","1","1","0.2","0.5","true","1","2","0"
"185","1","1","0.2","0.5","true","1","2","0"
"186","1","1","0.2","0.5","true","1","2","0"
"188","1","1","0.2","0.5","true","1","2","0"
"187","1","1","0.2","0.5","true","1","2","0"
"189","1","1","0.2","0.5","true","1","2","0"
"201","1","1","0.2","0.6","true","0","1","0"
"190","1","1","0.2","0.5","true","1","2","0"
"202","1","1","0.2","0.6","true","0","1","0"
