"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_reciprocity.nlogo"
"vary-randomization"
"10/05/2025 15:24:59:559 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","num-iterations","init-coop-freq","payoff-cost","TFT?","randomization-prob","[step]","coop-freq"
"15","1","1","0.5","0.2","true","0","200","0.7585848074921956"
"1","1","1","0.5","0.2","true","0","200","0.7211238293444329"
"10","1","1","0.5","0.2","true","0","200","0.736732570239334"
"13","1","1","0.5","0.2","true","0","200","0.704474505723205"
"8","1","1","0.5","0.2","true","0","200","0.7731529656607701"
"11","1","1","0.5","0.2","true","0","200","0.7398543184183143"
"3","1","1","0.5","0.2","true","0","200","0.7606659729448492"
"6","1","1","0.5","0.2","true","0","200","0.7575442247658689"
"2","1","1","0.5","0.2","true","0","200","0.7741935483870968"
"9","1","1","0.5","0.2","true","0","200","0.7845993756503642"
"12","1","1","0.5","0.2","true","0","200","0.777315296566077"
"5","1","1","0.5","0.2","true","0","200","0.7731529656607701"
"4","1","1","0.5","0.2","true","0","200","0.7700312174817898"
"7","1","1","0.5","0.2","true","0","200","0.7533818938605619"
"14","1","1","0.5","0.2","true","0","200","0.7356919875130072"
"17","1","1","0.5","0.2","true","0","200","0.7252861602497399"
"16","1","1","0.5","0.2","true","0","200","0.7710718002081165"
"18","1","1","0.5","0.2","true","0","200","0.7627471383975026"
"19","1","1","0.5","0.2","true","0","200","0.7232049947970863"
"20","1","1","0.5","0.2","true","0","200","0.7304890738813735"
"21","1","1","0.5","0.2","true","0.005","200","0.6784599375650364"
"23","1","1","0.5","0.2","true","0.005","200","0.6264308012486993"
"24","1","1","0.5","0.2","true","0.005","200","0.7075962539021852"
"25","1","1","0.5","0.2","true","0.005","200","0.6805411030176899"
"26","1","1","0.5","0.2","true","0.005","200","0.6711758584807492"
"22","1","1","0.5","0.2","true","0.005","200","0.6742976066597295"
"29","1","1","0.5","0.2","true","0.005","200","0.6628511966701353"
"30","1","1","0.5","0.2","true","0.005","200","0.6784599375650364"
"27","1","1","0.5","0.2","true","0.005","200","0.7138397502601457"
"28","1","1","0.5","0.2","true","0.005","200","0.6243496357960457"
"31","1","1","0.5","0.2","true","0.005","200","0.6930280957336108"
"32","1","1","0.5","0.2","true","0.005","200","0.6514047866805411"
"33","1","1","0.5","0.2","true","0.005","200","0.6555671175858481"
"34","1","1","0.5","0.2","true","0.005","200","0.676378772112383"
"35","1","1","0.5","0.2","true","0.005","200","0.6524453694068678"
"37","1","1","0.5","0.2","true","0.005","200","0.6711758584807492"
"36","1","1","0.5","0.2","true","0.005","200","0.6555671175858481"
"39","1","1","0.5","0.2","true","0.005","200","0.6742976066597295"
"38","1","1","0.5","0.2","true","0.005","200","0.659729448491155"
"40","1","1","0.5","0.2","true","0.005","200","0.6722164412070759"
"41","1","1","0.5","0.2","true","0.01","200","0.6774193548387096"
"42","1","1","0.5","0.2","true","0.01","200","0.5993756503642039"
"45","1","1","0.5","0.2","true","0.01","200","0.6618106139438086"
"43","1","1","0.5","0.2","true","0.01","200","0.5733610822060354"
"44","1","1","0.5","0.2","true","0.01","200","0.6690946930280958"
"46","1","1","0.5","0.2","true","0.01","200","0.6285119667013528"
"47","1","1","0.5","0.2","true","0.01","200","0.6545265348595213"
"48","1","1","0.5","0.2","true","0.01","200","0.6482830385015609"
"50","1","1","0.5","0.2","true","0.01","200","0.6711758584807492"
"49","1","1","0.5","0.2","true","0.01","200","0.676378772112383"
"51","1","1","0.5","0.2","true","0.01","200","0.704474505723205"
"52","1","1","0.5","0.2","true","0.01","200","0.6649323621227887"
"53","1","1","0.5","0.2","true","0.01","200","0.6774193548387096"
"55","1","1","0.5","0.2","true","0.01","200","0.6472424557752341"
"54","1","1","0.5","0.2","true","0.01","200","0.6618106139438086"
"56","1","1","0.5","0.2","true","0.01","200","0.659729448491155"
"57","1","1","0.5","0.2","true","0.01","200","0.6586888657648283"
"60","1","1","0.5","0.2","true","0.01","200","0.6732570239334027"
"58","1","1","0.5","0.2","true","0.01","200","0.6878251821019771"
"59","1","1","0.5","0.2","true","0.01","200","0.6701352757544224"
"63","1","1","0.5","0.2","true","0.015","200","0.5889698231009365"
"61","1","1","0.5","0.2","true","0.015","200","0.6285119667013528"
"62","1","1","0.5","0.2","true","0.015","200","0.6253902185223725"
"65","1","1","0.5","0.2","true","0.015","200","0.6077003121748179"
"64","1","1","0.5","0.2","true","0.015","200","0.631633714880333"
"66","1","1","0.5","0.2","true","0.015","200","0.6888657648283039"
"69","1","1","0.5","0.2","true","0.015","200","0.6753381893860562"
"68","1","1","0.5","0.2","true","0.015","200","0.6378772112382934"
"67","1","1","0.5","0.2","true","0.015","200","0.6181061394380853"
"70","1","1","0.5","0.2","true","0.015","200","0.6836628511966701"
"71","1","1","0.5","0.2","true","0.015","200","0.6129032258064516"
"72","1","1","0.5","0.2","true","0.015","200","0.6305931321540063"
"73","1","1","0.5","0.2","true","0.015","200","0.5816857440166493"
"74","1","1","0.5","0.2","true","0.015","200","0.5900104058272633"
"75","1","1","0.5","0.2","true","0.015","200","0.6077003121748179"
"76","1","1","0.5","0.2","true","0.015","200","0.6222684703433923"
"78","1","1","0.5","0.2","true","0.015","200","0.6305931321540063"
"77","1","1","0.5","0.2","true","0.015","200","0.6160249739854319"
"80","1","1","0.5","0.2","true","0.015","200","0.6004162330905307"
"79","1","1","0.5","0.2","true","0.015","200","0.6628511966701353"
"84","1","1","0.5","0.2","true","0.02","200","0.5671175858480749"
"82","1","1","0.5","0.2","true","0.02","200","0.6368366285119667"
"83","1","1","0.5","0.2","true","0.02","200","0.6285119667013528"
"81","1","1","0.5","0.2","true","0.02","200","0.5848074921956296"
"85","1","1","0.5","0.2","true","0.02","200","0.5691987513007284"
"86","1","1","0.5","0.2","true","0.02","200","0.5837669094693028"
"87","1","1","0.5","0.2","true","0.02","200","0.6295525494276795"
"89","1","1","0.5","0.2","true","0.02","200","0.6118626430801248"
"88","1","1","0.5","0.2","true","0.02","200","0.6066597294484911"
"90","1","1","0.5","0.2","true","0.02","200","0.6524453694068678"
"91","1","1","0.5","0.2","true","0.02","200","0.6201873048907388"
"92","1","1","0.5","0.2","true","0.02","200","0.6305931321540063"
"93","1","1","0.5","0.2","true","0.02","200","0.663891779396462"
"95","1","1","0.5","0.2","true","0.02","200","0.6649323621227887"
"94","1","1","0.5","0.2","true","0.02","200","0.6045785639958376"
"96","1","1","0.5","0.2","true","0.02","200","0.6399583766909469"
"97","1","1","0.5","0.2","true","0.02","200","0.6451612903225806"
"98","1","1","0.5","0.2","true","0.02","200","0.6222684703433923"
"99","1","1","0.5","0.2","true","0.02","200","0.6087408949011447"
"100","1","1","0.5","0.2","true","0.02","200","0.5431841831425598"
"101","1","1","0.5","0.2","true","0.025","200","0.5515088449531738"
"102","1","1","0.5","0.2","true","0.025","200","0.5359001040582726"
"103","1","1","0.5","0.2","true","0.025","200","0.5744016649323621"
"104","1","1","0.5","0.2","true","0.025","200","0.6347554630593132"
"105","1","1","0.5","0.2","true","0.025","200","0.5900104058272633"
"106","1","1","0.5","0.2","true","0.025","200","0.6045785639958376"
"107","1","1","0.5","0.2","true","0.025","200","0.5421436004162331"
"109","1","1","0.5","0.2","true","0.025","200","0.5900104058272633"
"108","1","1","0.5","0.2","true","0.025","200","0.6295525494276795"
"110","1","1","0.5","0.2","true","0.025","200","0.5806451612903226"
"114","1","1","0.5","0.2","true","0.025","200","0.5515088449531738"
"111","1","1","0.5","0.2","true","0.025","200","0.5348595213319459"
"113","1","1","0.5","0.2","true","0.025","200","0.5848074921956296"
"112","1","1","0.5","0.2","true","0.025","200","0.6139438085327783"
"115","1","1","0.5","0.2","true","0.025","200","0.6389177939646202"
"116","1","1","0.5","0.2","true","0.025","200","0.5421436004162331"
"117","1","1","0.5","0.2","true","0.025","200","0.5931321540062435"
"118","1","1","0.5","0.2","true","0.025","200","0.6233090530697191"
"119","1","1","0.5","0.2","true","0.025","200","0.5639958376690947"
"120","1","1","0.5","0.2","true","0.025","200","0.6514047866805411"
"121","1","1","0.5","0.2","true","0.03","200","0.5858480749219563"
"123","1","1","0.5","0.2","true","0.03","200","0.5078043704474505"
"122","1","1","0.5","0.2","true","0.03","200","0.562955254942768"
"125","1","1","0.5","0.2","true","0.03","200","0.5494276795005203"
"124","1","1","0.5","0.2","true","0.03","200","0.558792924037461"
"128","1","1","0.5","0.2","true","0.03","200","0.6201873048907388"
"126","1","1","0.5","0.2","true","0.03","200","0.5931321540062435"
"129","1","1","0.5","0.2","true","0.03","200","0.6170655567117586"
"127","1","1","0.5","0.2","true","0.03","200","0.5993756503642039"
"130","1","1","0.5","0.2","true","0.03","200","0.5681581685744017"
"131","1","1","0.5","0.2","true","0.03","200","0.627471383975026"
"132","1","1","0.5","0.2","true","0.03","200","0.5619146722164412"
"133","1","1","0.5","0.2","true","0.03","200","0.5400624349635796"
"134","1","1","0.5","0.2","true","0.03","200","0.4890738813735692"
"135","1","1","0.5","0.2","true","0.03","200","0.5650364203954215"
"137","1","1","0.5","0.2","true","0.03","200","0.558792924037461"
"136","1","1","0.5","0.2","true","0.03","200","0.5234131113423517"
