"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_simple.nlogo"
"experiment"
"10/07/2024 00:31:12:079 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","init-coop-freq","payoff-cost","[step]","(count turtles with [strategy = 1]) / (count turtles)"
"12","1","0.5","0.01","0","0.4994797086368366"
"5","1","0.5","0.01","0","0.5192507804370448"
"15","1","0.5","0.01","0","0.4921956295525494"
"3","1","0.5","0.01","0","0.4953173777315297"
"2","1","0.5","0.01","0","0.5005202913631633"
"4","1","0.5","0.01","0","0.5171696149843913"
"9","1","0.5","0.01","0","0.5130072840790842"
"10","1","0.5","0.01","0","0.48595213319458896"
"1","1","0.5","0.01","0","0.5046826222684704"
"7","1","0.5","0.01","0","0.4838709677419355"
"13","1","0.5","0.01","0","0.4869927159209157"
"14","1","0.5","0.01","0","0.5535900104058272"
"6","1","0.5","0.01","0","0.5088449531737773"
"8","1","0.5","0.01","0","0.5088449531737773"
"11","1","0.5","0.01","0","0.48074921956295524"
"5","1","0.5","0.01","1","0.24037460978147762"
"15","1","0.5","0.01","1","0.22684703433922998"
"9","1","0.5","0.01","1","0.2154006243496358"
"4","1","0.5","0.01","1","0.2892819979188345"
"10","1","0.5","0.01","1","0.19979188345473464"
"3","1","0.5","0.01","1","0.24765868886576484"
"12","1","0.5","0.01","1","0.24869927159209157"
"2","1","0.5","0.01","1","0.25078043704474506"
"3","1","0.5","0.01","2","0.30385015608740895"
"10","1","0.5","0.01","2","0.25806451612903225"
"1","1","0.5","0.01","1","0.21644120707596254"
"9","1","0.5","0.01","2","0.3142559833506764"
"4","1","0.5","0.01","2","0.3048907388137357"
"13","1","0.5","0.01","1","0.21852237252861603"
"5","1","0.5","0.01","2","0.2570239334027055"
"12","1","0.5","0.01","2","0.2903225806451613"
"2","1","0.5","0.01","2","0.2684703433922997"
"14","1","0.5","0.01","1","0.2559833506763788"
"15","1","0.5","0.01","2","0.28407908428720086"
"6","1","0.5","0.01","1","0.25078043704474506"
"10","1","0.5","0.01","3","0.34963579604578565"
"11","1","0.5","0.01","1","0.2008324661810614"
"9","1","0.5","0.01","3","0.413111342351717"
"3","1","0.5","0.01","3","0.43184183142559834"
