"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/21/2025 22:01:06:012 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6842105263157895","0.6666666666666666","0","0","0.08"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.75","0.6666666666666666","0","0","0.12"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6153846153846154","0.5555555555555556","0.13333333333333333","0","0.2"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.8571428571428571","0.5833333333333334","0.05555555555555555","0","0.2"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6875","0.5882352941176471","0.047619047619047616","0","0.12"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.9333333333333333","0.3333333333333333","0","0","0.28"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.9473684210526315","0.25","0","0","0.08"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7272727272727273","0.625","0","0","0.48"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7777777777777778","0.6666666666666666","0.05405405405405406","0","0.44"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.6875","0.56","0.05714285714285714","0","0.46"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6666666666666666","0.625","0.10526315789473684","0","0.12"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8823529411764706","0.5","0.07317073170731707","0","0.48"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.9285714285714286","0.5","0.15789473684210525","0","0.12"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.625","0.5882352941176471","0","0","0.2"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.9444444444444444","0.35294117647058826","0.030303030303030304","0","0.52"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.8125","0.5","0","0","0.16"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.7647058823529411","0.375","0.125","0","0.16"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.9047619047619048","0.32","0.027777777777777776","0","0.44"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.8571428571428571","0.6875","0","0","0.08"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.8666666666666667","0.42857142857142855","0","0","0.24"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7391304347826086","0.5882352941176471","0.02040816326530612","0","0.6266666666666667"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7142857142857143","0.6818181818181818","0.05","0","0.36"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7368421052631579","0.6","0.025","0","0.46"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8888888888888888","0.42857142857142855","0.06666666666666667","0","0.6133333333333333"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.9375","0.3157894736842105","0.13513513513513514","0","0.48"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6875","0.6875","0","0","0.12"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7058823529411765","0.5172413793103449","0.05172413793103448","0","0.6"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7777777777777778","0.5909090909090909","0.05454545454545454","0","0.6"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.9473684210526315","0.3","0.02","0","0.6666666666666666"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7","0.55","0.029411764705882353","0","0.48"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7894736842105263","0.43478260869565216","0","0","0.5"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7777777777777778","0.36363636363636365","0.125","0","0.48"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.9090909090909091","0.27586206896551724","0.03571428571428571","0","0.6"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8823529411764706","0.5714285714285714","0.05","0","0.42"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8823529411764706","0.5","0","0","0.5"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7391304347826086","0.47619047619047616","0.015151515151515152","0","0.72"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7368421052631579","0.5714285714285714","0.016666666666666666","0","0.64"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7058823529411765","0.45454545454545453","0.0375","0","0.7"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8888888888888888","0.38461538461538464","0.0625","0","0.69"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.9473684210526315","0.2608695652173913","0.014925373134328358","0","0.75"
