"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"vary-probabilities"
"10/21/2025 22:01:21:021 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"11","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","130173.540571156","113930.18215971833"
"5","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","140728.19998086934","78078.75922947611"
"13","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","146007.5954080747","111330.13789161973"
"3","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","160949.41035750494","206717.65439605995"
"2","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","88601.57860701764","69202.35812995413"
"15","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","183668.4921398425","142339.0842624208"
"1","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","113276.89490179358","95679.43892992132"
"12","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","121699.18868531287","113143.60855375142"
"9","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","164620.23530617543","159647.71785646805"
"16","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","123457.43603491389","122442.06204229115"
"17","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","159216.67339101463","156772.2255457944"
"10","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","126586.2425426296","107728.49239786367"
"4","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","142631.4755112458","116044.13931409964"
"18","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","161611.94629768032","134728.35810675184"
"14","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","173750.68310215513","217263.69638551024"
"19","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","194011.35361460186","188549.2327264351"
"21","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","142511.6450749711","107387.9636028582"
"20","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","111245.46824372589","91495.67803030806"
"25","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","154416.85595888828","155297.6175221374"
"23","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","144469.91745399433","120421.65116347313"
"22","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","118939.11746162987","96647.33414326841"
"26","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","128276.24107692797","95672.3169602932"
"27","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","142515.29821101957","99208.84165130091"
"24","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","91331.83870247992","81045.83896169305"
"28","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","178342.56948139414","204955.20032002113"
"34","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","133891.63819249382","131232.9919026833"
"7","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","155321.4873047466","102372.77468084567"
"29","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","174382.31292808132","165108.51964308985"
"31","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","169736.55183310117","183303.2350751356"
"30","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","142065.89180735342","88880.36380465479"
"33","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","132408.8864985895","130769.74221973763"
"32","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","142680.292185847","141687.93050883707"
"37","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","158649.70083823346","130647.7680717657"
"35","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","110490.94338505396","111380.60257004625"
"6","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","161250.15285519706","144274.01616143066"
"8","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","142285.20267352706","152055.20945322397"
"41","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","97415.02488544225","92695.00859107643"
"36","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","145281.3923959777","149677.2974606013"
"42","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","213972.32164191824","130454.60972495536"
"38","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","167899.87614483852","169002.85860625806"
"48","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","157185.55881839234","156969.55480669494"
"46","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","157604.90902840695","122604.37253732827"
"47","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","195086.6434787972","175454.95841544672"
"39","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","203424.44452462043","191882.57548422244"
"44","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","154754.3604963197","129063.88388057133"
"40","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","173490.1797436087","166277.182252534"
