"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"vary-stochasticity"
"10/21/2025 22:00:51:142 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"3","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"10","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"12","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"10","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","11020.335781442616","6117.860331043655"
"12","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","14019.04381942191","7040.093341504189"
"3","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","13546.526382136335","6954.417910639547"
"11","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"10","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","2","22655.43673472707","12257.79634524328"
"2","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"13","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"14","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"4","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"3","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","2","26783.76573829636","15034.69047512336"
"12","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","2","28977.067693361663","12686.383347968273"
"7","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"5","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"9","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"10","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","33412.593402528226","19622.392205192806"
"6","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"1","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"8","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"15","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","0","0","0"
"3","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","37809.48383853244","21887.68617455262"
"12","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","3","40718.87213357683","18981.883524550718"
"10","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","4","42432.12907568912","24856.096576077118"
"14","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","10601.818621963055","6724.994678801249"
"9","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","11473.800558953846","5088.475529315185"
"3","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","4","48979.943746374454","28856.526057430725"
"5","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","13550.722255372008","6419.643222193393"
"13","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","12206.280252128923","7489.780361980596"
"2","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","1","11879.65029427974","5898.262621495174"
"10","false","0.1","3.4","wealth","9.3","0.01","0","25","78","exp utility","25","5","45971.02225261304","30299.622617086243"
