"BehaviorSpace results (NetLogo 6.2.0)"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/27/2021 23:35:30:308 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"16","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"18","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"19","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"17","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"20","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.5","0.7333333333333333","0","0","0.28"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.5625","0.65","0","0","0.56"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.5882352941176471","0.5652173913043478","0","0","0.6933333333333334"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.5882352941176471","0.5185185185185185","0.012658227848101266","0","0.75"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.5882352941176471","0.45161290322580644","0.01","0","0.8"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.5882352941176471","0.4","0.03305785123966942","0","0.8133333333333334"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.5882352941176471","0.3333333333333333","0.02857142857142857","0","0.84"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.5882352941176471","0.2857142857142857","0.025157232704402517","0","0.86"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.5882352941176471","0.25","0.028089887640449437","0","0.8711111111111111"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.8","0.4","0.05263157894736842","0","0.24"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.5882352941176471","0.21875","0.030612244897959183","0","0.88"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7894736842105263","0.4","0.024390243902439025","0","0.52"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.6111111111111112","0.1917808219178082","0.03286384976525822","0","0.8836363636363637"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.9333333333333333","0.38461538461538464","0","0","0.24"
