"BehaviorSpace results (NetLogo 6.1.0)"
"business_investor_class_18.nlogo"
"vary-probabilities"
"10/21/2019 22:58:03:924 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"2","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","106223.44850184004","103835.35860139185"
"5","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","125052.81473629524","116695.90947644925"
"13","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","167150.3677014929","142863.5507347217"
"6","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","160652.87677298253","178846.92001646257"
"15","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","204304.58881975178","175467.1720828438"
"10","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","155226.7271502428","143122.84592893114"
"1","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","138340.83191297707","125848.87715708859"
"20","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","129964.93172502464","149787.65307399817"
"21","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","172427.02029526318","138713.7171495163"
"3","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","151506.07904613376","115564.85908557834"
"12","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","157346.19403587363","130002.34150669734"
"22","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","122362.92656638223","93618.32186265528"
"23","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","128907.6733660283","141399.88902908642"
"14","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","161291.81279004243","194061.59405660327"
"9","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","106995.2222208865","95733.63342701504"
"19","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","135014.11065870308","109767.2906109491"
"11","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","129947.18230947274","121279.10375130943"
"26","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","140229.66403561045","109318.5074807345"
"18","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","174110.93443104922","162220.76526369"
"25","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","129077.78215988654","121651.94280078392"
"24","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","216087.7703294912","150330.41500598684"
"4","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","195018.84682210305","174502.70428690055"
"29","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","123458.76142312582","125350.57271933368"
"7","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","121725.22171098884","137892.7408571872"
"28","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","152006.98135521886","190659.8415222092"
"8","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","161747.92996013566","149222.92748316284"
"16","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","158174.789812761","122302.3615037858"
"17","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","187596.91253790236","191586.87681142648"
"27","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","151640.00586389954","86895.69070140834"
"30","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","182056.57606744335","157235.69583088625"
"31","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","140916.42906294652","109367.38307157865"
"32","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","88050.52397763073","97583.57573549128"
"33","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","138796.80739544833","115689.9024631711"
"36","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","146295.41072318135","157926.99549383408"
"35","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","107489.7824617271","108479.29254053385"
"43","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","199399.05510087247","159088.46283382017"
"38","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","158646.45020607504","129917.89919551669"
"34","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","134866.30450013038","131351.07957666484"
"37","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","115064.83172957839","109501.41003132921"
"45","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","150645.56456606134","141308.28738444648"
"41","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","169841.00703805813","101663.13632112974"
"40","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","140585.12053045857","179889.6870998663"
"51","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","132973.0165625534","103302.78048677243"
"56","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","158063.55633944512","134163.53380730582"
"48","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","123116.33541216374","117307.2407885745"
"52","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","132527.79089867332","139392.75222886016"
"54","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","123199.33864294775","111290.07188279783"
"59","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","209184.92624478412","142514.71946889441"
"50","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","204870.24564054716","200348.2901822429"
"55","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","172902.57337163508","170315.66396762128"
"57","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","182850.48240007256","142872.5439785033"
"53","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","154220.49059722136","130542.2919899476"
"39","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","138812.63687270187","114444.45111975844"
"60","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","137731.69826304613","101326.3049422482"
"64","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","109125.21390045062","82761.70217719328"
"58","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","169188.1466366353","156103.50155717446"
"62","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","176038.71056554452","149009.66965677773"
"68","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","108544.167986931","119367.52572888076"
"61","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","119350.97675519204","133812.73575297682"
"63","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","142065.45418804267","127971.5341881648"
"66","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","126697.64268273927","118490.47232887057"
"44","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","208191.1394704011","170624.0154906373"
"67","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","139255.20208013593","128428.29169051512"
"69","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","138338.92018078308","152707.64614942318"
"71","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","148398.11373504502","112665.73765630402"
"70","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","150244.16221361014","153699.5032361365"
"65","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","134417.00978593336","136659.89764916498"
"46","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","123140.83558742008","129342.03623352057"
"75","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","127871.89850633786","116214.41576170057"
"74","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","202145.46823132655","186335.40028646975"
"72","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","177170.39172996522","178764.75901073433"
"49","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","122652.06008560637","104061.4284169373"
"47","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","132687.97874129654","132899.37027713793"
"78","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","146461.37136258016","86975.42132110811"
"80","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","121440.54461655048","131580.05695677904"
"42","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","102840.92182781693","112219.96582719985"
"76","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","192122.2652990633","181845.50829946334"
"89","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","114943.85915869323","149988.77372760235"
"83","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","140379.49762778752","120928.54755062946"
"79","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","148950.8449571636","111885.55057149996"
"77","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","122681.99783168813","101243.40594249209"
"85","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","171325.19534956734","119853.18560120565"
"86","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","178220.58328405663","148805.1345390001"
"90","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","117262.05420343924","112476.82136867542"
"94","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","118835.13862988107","139668.92240648018"
"84","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","100858.20085265947","92790.86597845049"
"81","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","106481.37961134527","126675.82248525208"
"91","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","149243.7118255812","138405.41342140562"
"98","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","168320.9267296795","143174.0915328364"
"95","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","151367.19483600088","144192.9152401581"
"87","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","177757.27161765055","175321.40810390667"
"73","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","130451.46210672986","91177.78068675107"
"99","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","168998.42768920917","139140.0140740607"
"104","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","156826.33326018485","157826.75891492734"
"102","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","141661.30418822027","161242.00155333863"
"103","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","153891.6880867329","101689.88643658163"
