"BehaviorSpace results (NetLogo 6.0.2)"
"business_investor_class_19.nlogo"
"vary-stochasticity"
"03/20/2018 23:08:27:929 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"19","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"11","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"2","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"8","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"3","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"15","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"18","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"7","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"4","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"10","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"20","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"14","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"5","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"16","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"6","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"13","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"17","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"1","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","0","0","0"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7755.00117889746","2278.4867484426986"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7161.026824900229","2548.896782312798"
"19","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7567.5958728865535","2519.4506718298517"
"11","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7374.398308655638","2461.808942584013"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15129.44499935465","4773.168493835444"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","13795.672343143004","5297.228615203544"
"19","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15345.854979685037","4101.638135588552"
"11","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15148.772130002004","3907.862197646361"
"3","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7622.819556531213","1825.546553944877"
"4","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7528.178730852555","2299.7304689636317"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","21402.227567992242","8382.315283428099"
"7","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7951.304085096937","2021.865414197446"
"2","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7535.88791090686","2501.082735336285"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","20269.688993108342","8016.850765715979"
"10","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7677.545593186709","2211.3259255656358"
"19","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22673.489174256018","6741.383819381125"
"11","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","21865.499881013493","6939.70439746683"
"8","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7791.601499688957","2179.9692649776252"
"14","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7477.112384012322","2358.105392213059"
"3","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15157.830899719547","3650.762111355325"
"20","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7392.041854710278","2166.4463570368753"
"4","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","14918.119352535186","4318.608406851906"
"15","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7751.077914158693","1925.6920898845376"
"5","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7656.260309922797","2104.9684689592586"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","28963.44516601049","9837.25311608029"
"13","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7452.586230200464","2556.3541853953784"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","26679.386377304556","10451.495515572482"
"19","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","26907.966670525995","12377.187228983601"
"10","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15825.85569562462","3137.853773123056"
"7","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15718.143549894015","4110.324510954847"
"2","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15261.211446145719","3984.103263272841"
"6","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7641.965586529492","2273.5835358062996"
"11","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","28867.71816283003","9160.06162909"
"8","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","14621.07814370657","5394.511447237311"
"14","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","14819.072176755806","4431.810118177211"
"20","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","14556.472480715396","4305.553330120328"
"4","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22483.574527585894","5811.844847432605"
"3","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","21943.68019868307","6597.6193150472845"
"16","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7699.20529085921","1913.3059691508686"
"17","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7704.418238632141","2437.6246234874156"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","36200.192165112705","12073.083700565094"
"5","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15282.248710027765","4245.414927053074"
"13","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","14882.48774637453","4777.787134426748"
"15","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15016.82950830614","4462.498959917932"
"2","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22856.334210370747","5843.182577529948"
"10","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22517.6017729117","6874.069046164653"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","32394.40280314716","13855.099690008674"
"6","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15581.296347511008","3959.4980490014223"
"14","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","21779.683885102964","6875.175083408984"
"11","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","35472.20647176408","12119.743343250435"
"8","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22026.868744219875","7374.1201831136505"
"7","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22357.98513979738","7515.075399354821"
"5","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22615.498903128537","6569.210856209344"
"3","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","27557.254369440307","10260.718093151761"
"19","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","33979.14703638053","13903.770645098448"
"17","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15122.427911526936","4939.094320983613"
"20","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","21103.80127096591","7501.8567347384505"
"4","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","29972.427549810345","7086.0598877627435"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","6","42907.330921938315","14706.931253881907"
"18","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7485.4812588763025","2490.242068378366"
"16","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15294.79176331287","3791.373611582546"
"15","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22533.92023103947","6028.18433414973"
"13","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22080.59936768799","7241.670956713214"
"10","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","29707.686019424997","9022.983005465992"
"2","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","30055.597691819952","8552.7389297817"
"1","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","1","7963.080085094564","1390.5378612878192"
"14","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","27568.961844422567","10594.973815402735"
"7","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","29323.64700743872","10055.217678082196"
"8","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","28576.457203292808","10735.051716276448"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","6","38232.916207695336","17099.892220202633"
"6","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22850.380582841717","6748.206135140281"
"3","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","32792.71083685158","13949.227554707173"
"5","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","28587.15389736019","10606.592336221762"
"17","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","22389.155959696593","7265.588686550763"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","7","49228.36725474245","17638.86650458053"
