"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_initialization"
"10/29/2019 00:36:56:900 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","ticks","extinct?"
"14","2","1","0.2","0.44","100","60","2","7","7","true"
"10","2","1","0.2","0.44","100","60","2","4","4","true"
"11","2","1","0.2","0.44","100","60","2","5","5","true"
"9","2","1","0.2","0.44","100","60","2","13","13","true"
"20","2","1","0.2","0.44","100","60","2","8","8","true"
"19","2","1","0.2","0.44","100","60","2","12","12","true"
"22","2","1","0.2","0.44","100","60","2","3","3","true"
"21","2","1","0.2","0.44","100","60","2","9","9","true"
"8","2","1","0.2","0.44","100","60","2","24","24","true"
"27","2","1","0.2","0.44","100","60","2","17","17","true"
"30","2","1","0.2","0.44","100","60","2","9","9","true"
"17","2","1","0.2","0.44","100","60","2","10","10","true"
"32","2","1","0.2","0.44","100","60","2","16","16","true"
"12","2","1","0.2","0.44","100","60","2","13","13","true"
"33","2","1","0.2","0.44","100","60","2","4","4","true"
"34","2","1","0.2","0.44","100","60","2","11","11","true"
"35","2","1","0.2","0.44","100","60","2","3","3","true"
"2","2","1","0.2","0.44","100","60","2","5","5","true"
"36","2","1","0.2","0.44","100","60","2","3","3","true"
"6","2","1","0.2","0.44","100","60","2","8","8","true"
"38","2","1","0.2","0.44","100","60","2","2","2","true"
"4","2","1","0.2","0.44","100","60","2","11","11","true"
"29","2","1","0.2","0.44","100","60","2","4","4","true"
"26","2","1","0.2","0.44","100","60","2","5","5","true"
"7","2","1","0.2","0.44","100","60","2","9","9","true"
"28","2","1","0.2","0.44","100","60","2","5","5","true"
"25","2","1","0.2","0.44","100","60","2","6","6","true"
"41","2","1","0.2","0.44","100","60","2","10","10","true"
"45","2","1","0.2","0.44","100","60","2","2","2","true"
"37","2","1","0.2","0.44","100","60","2","8","8","true"
"44","2","1","0.2","0.44","100","60","2","4","4","true"
"46","2","1","0.2","0.44","100","60","2","4","4","true"
"31","2","1","0.2","0.44","100","60","2","4","4","true"
"39","2","1","0.2","0.44","100","60","2","7","7","true"
"24","2","1","0.2","0.44","100","60","2","7","7","true"
"49","2","1","0.2","0.44","100","60","2","8","8","true"
"52","2","1","0.2","0.44","100","60","2","5","5","true"
"50","2","1","0.2","0.44","100","60","2","13","13","true"
"47","2","1","0.2","0.44","100","60","2","27","27","true"
"16","2","1","0.2","0.44","100","60","2","24","24","true"
"40","2","1","0.2","0.44","100","60","2","12","12","true"
"58","2","1","0.2","0.44","100","60","2","3","3","true"
"60","2","1","0.2","0.44","100","60","2","6","6","true"
"62","2","1","0.2","0.44","100","60","2","17","17","true"
"63","2","1","0.2","0.44","100","60","2","7","7","true"
"51","2","1","0.2","0.44","100","60","2","20","20","true"
"23","2","1","0.2","0.44","100","60","2","37","37","true"
"61","2","1","0.2","0.44","100","60","2","14","14","true"
"66","2","1","0.2","0.44","100","60","2","9","9","true"
"69","2","1","0.2","0.44","100","60","2","3","3","true"
"65","2","1","0.2","0.44","100","60","2","13","13","true"
"55","2","1","0.2","0.44","100","60","2","14","14","true"
"70","2","1","0.2","0.44","100","60","2","9","9","true"
"72","2","1","0.2","0.44","100","60","2","5","5","true"
"71","2","1","0.2","0.44","100","60","2","18","18","true"
"74","2","1","0.2","0.44","100","60","2","12","12","true"
"75","2","1","0.2","0.44","100","60","2","10","10","true"
"76","2","1","0.2","0.44","100","60","2","6","6","true"
"42","2","1","0.2","0.44","100","60","2","49","49","true"
"53","2","1","0.2","0.44","100","60","2","42","42","true"
"43","2","1","0.2","0.44","100","60","2","36","36","true"
"48","2","1","0.2","0.44","100","60","2","27","27","true"
"3","2","1","0.2","0.44","100","60","2","33","33","true"
"82","2","1","0.2","0.44","100","60","2","19","19","true"
"83","2","1","0.2","0.44","100","60","2","4","4","true"
"84","2","1","0.2","0.44","100","60","2","2","2","true"
"59","2","1","0.2","0.44","100","60","2","32","32","true"
"81","2","1","0.2","0.44","100","60","2","16","16","true"
"88","2","1","0.2","0.44","100","60","2","5","5","true"
"89","2","1","0.2","0.44","100","60","2","7","7","true"
"90","2","1","0.2","0.44","100","60","2","8","8","true"
"91","2","1","0.2","0.44","100","60","2","11","11","true"
"18","2","1","0.2","0.44","100","60","2","67","67","true"
"67","2","1","0.2","0.44","100","60","2","45","45","true"
"93","2","1","0.2","0.44","100","60","2","7","7","true"
"92","2","1","0.2","0.44","100","60","2","9","9","true"
"94","2","1","0.2","0.44","100","60","2","4","4","true"
"96","2","1","0.2","0.44","100","60","2","2","2","true"
"98","2","1","0.2","0.44","100","60","2","7","7","true"
"64","2","1","0.2","0.44","100","60","2","50","50","true"
"99","2","1","0.2","0.44","100","60","2","5","5","true"
"97","2","1","0.2","0.44","100","60","2","10","10","true"
"86","2","1","0.2","0.44","100","60","2","19","19","true"
"95","2","1","0.2","0.44","100","60","2","10","10","true"
"102","2","1","0.2","0.44","100","60","4","5","5","true"
"87","2","1","0.2","0.44","100","60","2","34","34","true"
"54","2","1","0.2","0.44","100","60","2","49","49","true"
"80","2","1","0.2","0.44","100","60","2","34","34","true"
"108","2","1","0.2","0.44","100","60","4","7","7","true"
"109","2","1","0.2","0.44","100","60","4","15","15","true"
"105","2","1","0.2","0.44","100","60","4","15","15","true"
"104","2","1","0.2","0.44","100","60","4","26","26","true"
"56","2","1","0.2","0.44","100","60","2","100","100","false"
"5","2","1","0.2","0.44","100","60","2","68","68","true"
"1","2","1","0.2","0.44","100","60","2","100","100","false"
"112","2","1","0.2","0.44","100","60","4","12","12","true"
"85","2","1","0.2","0.44","100","60","2","38","38","true"
"116","2","1","0.2","0.44","100","60","4","15","15","true"
"100","2","1","0.2","0.44","100","60","2","38","38","true"
"78","2","1","0.2","0.44","100","60","2","34","34","true"
"79","2","1","0.2","0.44","100","60","2","77","77","true"
"113","2","1","0.2","0.44","100","60","4","21","21","true"
"68","2","1","0.2","0.44","100","60","2","100","100","false"
"120","2","1","0.2","0.44","100","60","4","21","21","true"
"119","2","1","0.2","0.44","100","60","4","18","18","true"
"123","2","1","0.2","0.44","100","60","4","19","19","true"
"125","2","1","0.2","0.44","100","60","4","7","7","true"
"126","2","1","0.2","0.44","100","60","4","9","9","true"
"128","2","1","0.2","0.44","100","60","4","12","12","true"
"110","2","1","0.2","0.44","100","60","4","36","36","true"
"57","2","1","0.2","0.44","100","60","2","100","100","false"
"73","2","1","0.2","0.44","100","60","2","100","100","false"
"121","2","1","0.2","0.44","100","60","4","40","40","true"
"118","2","1","0.2","0.44","100","60","4","50","50","true"
"129","2","1","0.2","0.44","100","60","4","15","15","true"
"117","2","1","0.2","0.44","100","60","4","45","45","true"
"127","2","1","0.2","0.44","100","60","4","29","29","true"
"13","2","1","0.2","0.44","100","60","2","100","100","false"
"77","2","1","0.2","0.44","100","60","2","100","100","false"
"124","2","1","0.2","0.44","100","60","4","25","25","true"
"139","2","1","0.2","0.44","100","60","4","5","5","true"
"135","2","1","0.2","0.44","100","60","4","21","21","true"
"136","2","1","0.2","0.44","100","60","4","16","16","true"
"115","2","1","0.2","0.44","100","60","4","58","58","true"
"114","2","1","0.2","0.44","100","60","4","48","48","true"
"141","2","1","0.2","0.44","100","60","4","18","18","true"
"15","2","1","0.2","0.44","100","60","2","100","100","false"
"132","2","1","0.2","0.44","100","60","4","42","42","true"
"145","2","1","0.2","0.44","100","60","4","24","24","true"
"143","2","1","0.2","0.44","100","60","4","26","26","true"
"147","2","1","0.2","0.44","100","60","4","3","3","true"
"148","2","1","0.2","0.44","100","60","4","6","6","true"
"134","2","1","0.2","0.44","100","60","4","34","34","true"
"153","2","1","0.2","0.44","100","60","4","14","14","true"
"138","2","1","0.2","0.44","100","60","4","40","40","true"
"149","2","1","0.2","0.44","100","60","4","17","17","true"
"151","2","1","0.2","0.44","100","60","4","13","13","true"
"155","2","1","0.2","0.44","100","60","4","8","8","true"
"140","2","1","0.2","0.44","100","60","4","32","32","true"
"142","2","1","0.2","0.44","100","60","4","22","22","true"
"157","2","1","0.2","0.44","100","60","4","18","18","true"
"146","2","1","0.2","0.44","100","60","4","22","22","true"
"131","2","1","0.2","0.44","100","60","4","74","74","true"
"152","2","1","0.2","0.44","100","60","4","36","36","true"
"130","2","1","0.2","0.44","100","60","4","73","73","true"
"122","2","1","0.2","0.44","100","60","4","100","100","false"
"144","2","1","0.2","0.44","100","60","4","58","58","true"
"111","2","1","0.2","0.44","100","60","4","82","82","true"
"103","2","1","0.2","0.44","100","60","4","88","88","true"
"160","2","1","0.2","0.44","100","60","4","31","31","true"
"165","2","1","0.2","0.44","100","60","4","20","20","true"
"164","2","1","0.2","0.44","100","60","4","27","27","true"
"150","2","1","0.2","0.44","100","60","4","52","52","true"
"106","2","1","0.2","0.44","100","60","4","100","100","false"
"172","2","1","0.2","0.44","100","60","4","2","2","true"
"161","2","1","0.2","0.44","100","60","4","36","36","true"
"175","2","1","0.2","0.44","100","60","4","3","3","true"
"171","2","1","0.2","0.44","100","60","4","18","18","true"
"154","2","1","0.2","0.44","100","60","4","55","55","true"
"167","2","1","0.2","0.44","100","60","4","20","20","true"
"101","2","1","0.2","0.44","100","60","4","100","100","false"
"170","2","1","0.2","0.44","100","60","4","22","22","true"
"163","2","1","0.2","0.44","100","60","4","35","35","true"
"181","2","1","0.2","0.44","100","60","4","16","16","true"
"168","2","1","0.2","0.44","100","60","4","27","27","true"
"184","2","1","0.2","0.44","100","60","4","4","4","true"
"178","2","1","0.2","0.44","100","60","4","13","13","true"
"185","2","1","0.2","0.44","100","60","4","4","4","true"
"176","2","1","0.2","0.44","100","60","4","21","21","true"
"186","2","1","0.2","0.44","100","60","4","15","15","true"
"188","2","1","0.2","0.44","100","60","4","15","15","true"
"183","2","1","0.2","0.44","100","60","4","17","17","true"
"107","2","1","0.2","0.44","100","60","4","100","100","false"
"166","2","1","0.2","0.44","100","60","4","53","53","true"
"133","2","1","0.2","0.44","100","60","4","96","96","true"
"137","2","1","0.2","0.44","100","60","4","100","100","false"
"192","2","1","0.2","0.44","100","60","4","29","29","true"
"197","2","1","0.2","0.44","100","60","4","12","12","true"
"169","2","1","0.2","0.44","100","60","4","60","60","true"
"196","2","1","0.2","0.44","100","60","4","13","13","true"
"189","2","1","0.2","0.44","100","60","4","28","28","true"
"200","2","1","0.2","0.44","100","60","4","16","16","true"
"179","2","1","0.2","0.44","100","60","4","59","59","true"
"203","2","1","0.2","0.44","100","60","6","8","8","true"
"199","2","1","0.2","0.44","100","60","4","10","10","true"
"182","2","1","0.2","0.44","100","60","4","63","63","true"
"173","2","1","0.2","0.44","100","60","4","73","73","true"
"177","2","1","0.2","0.44","100","60","4","77","77","true"
"195","2","1","0.2","0.44","100","60","4","57","57","true"
"180","2","1","0.2","0.44","100","60","4","71","71","true"
"209","2","1","0.2","0.44","100","60","6","11","11","true"
"201","2","1","0.2","0.44","100","60","6","40","40","true"
"212","2","1","0.2","0.44","100","60","6","10","10","true"
"162","2","1","0.2","0.44","100","60","4","100","100","false"
