"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_initialization_pe"
"10/29/2019 00:44:01:307 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"5","2","1","0.2","0.44","100","60","2","1","0.95","22.18"
"13","2","1","0.2","0.44","100","60","2","1","0.96","22.87"
"6","2","1","0.2","0.44","100","60","2","1","0.94","24.49"
"15","2","1","0.2","0.44","100","60","2","1","0.94","24.35"
"12","2","1","0.2","0.44","100","60","2","1","0.96","24.08"
"3","2","1","0.2","0.44","100","60","2","1","0.93","24.58"
"10","2","1","0.2","0.44","100","60","2","1","0.99","26.71"
"17","2","1","0.2","0.44","100","60","2","1","0.93","28.4"
"14","2","1","0.2","0.44","100","60","2","1","0.94","27.9"
"1","2","1","0.2","0.44","100","60","2","1","0.89","27.86"
"20","2","1","0.2","0.44","100","60","2","1","0.95","29.63"
"7","2","1","0.2","0.44","100","60","2","1","0.91","28.67"
"18","2","1","0.2","0.44","100","60","2","1","0.93","29.81"
"8","2","1","0.2","0.44","100","60","2","1","0.89","30.57"
"11","2","1","0.2","0.44","100","60","2","1","0.94","29.73"
"19","2","1","0.2","0.44","100","60","2","1","0.92","30.97"
"16","2","1","0.2","0.44","100","60","2","1","0.91","30.94"
"4","2","1","0.2","0.44","100","60","2","1","0.86","32.92"
"9","2","1","0.2","0.44","100","60","2","1","0.85","34.09"
"2","2","1","0.2","0.44","100","60","2","1","0.91","33.23"
"33","2","1","0.2","0.44","100","60","4","1","0.84","47.26"
"23","2","1","0.2","0.44","100","60","4","1","0.77","49.98"
"26","2","1","0.2","0.44","100","60","4","1","0.85","47.71"
"21","2","1","0.2","0.44","100","60","4","1","0.8","51.48"
"24","2","1","0.2","0.44","100","60","4","1","0.78","50.44"
"31","2","1","0.2","0.44","100","60","4","1","0.78","53.3"
"25","2","1","0.2","0.44","100","60","4","1","0.83","50.45"
"29","2","1","0.2","0.44","100","60","4","1","0.84","49.76"
"40","2","1","0.2","0.44","100","60","4","1","0.79","49.65"
"27","2","1","0.2","0.44","100","60","4","1","0.82","51.58"
"28","2","1","0.2","0.44","100","60","4","1","0.75","53.26"
"22","2","1","0.2","0.44","100","60","4","1","0.76","55.52"
"30","2","1","0.2","0.44","100","60","4","1","0.75","54.4"
"36","2","1","0.2","0.44","100","60","4","1","0.75","50.92"
"34","2","1","0.2","0.44","100","60","4","1","0.77","55.3"
"39","2","1","0.2","0.44","100","60","4","1","0.83","50.82"
"38","2","1","0.2","0.44","100","60","4","1","0.8","50.25"
"35","2","1","0.2","0.44","100","60","4","1","0.8","54.29"
"32","2","1","0.2","0.44","100","60","4","1","0.74","56.43"
"37","2","1","0.2","0.44","100","60","4","1","0.7","57.38"
"43","2","1","0.2","0.44","100","60","6","1","0.75","58.25"
"46","2","1","0.2","0.44","100","60","6","1","0.81","57.9"
"41","2","1","0.2","0.44","100","60","6","1","0.69","63.98"
"45","2","1","0.2","0.44","100","60","6","1","0.78","59.59"
"51","2","1","0.2","0.44","100","60","6","1","0.72","62.5"
"57","2","1","0.2","0.44","100","60","6","1","0.75","60.36"
"42","2","1","0.2","0.44","100","60","6","1","0.65","66.22"
"44","2","1","0.2","0.44","100","60","6","1","0.69","66.09"
"49","2","1","0.2","0.44","100","60","6","1","0.68","64.56"
"47","2","1","0.2","0.44","100","60","6","1","0.75","62.23"
"59","2","1","0.2","0.44","100","60","6","1","0.72","56.86"
"52","2","1","0.2","0.44","100","60","6","1","0.74","62.23"
"56","2","1","0.2","0.44","100","60","6","1","0.71","62.9"
"50","2","1","0.2","0.44","100","60","6","1","0.66","63.57"
"53","2","1","0.2","0.44","100","60","6","1","0.66","64.58"
"54","2","1","0.2","0.44","100","60","6","1","0.75","64.26"
"48","2","1","0.2","0.44","100","60","6","1","0.69","66.03"
"58","2","1","0.2","0.44","100","60","6","1","0.73","62.11"
"55","2","1","0.2","0.44","100","60","6","1","0.7","65.22"
"60","2","1","0.2","0.44","100","60","6","1","0.7","63.72"
"61","2","1","0.2","0.44","100","60","8","1","0.59","72.74"
"68","2","1","0.2","0.44","100","60","8","1","0.66","66.15"
"63","2","1","0.2","0.44","100","60","8","1","0.61","68.44"
"65","2","1","0.2","0.44","100","60","8","1","0.65","68.84"
"66","2","1","0.2","0.44","100","60","8","1","0.65","70.39"
"67","2","1","0.2","0.44","100","60","8","1","0.64","68.64"
