"BehaviorSpace results (NetLogo 6.2.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality"
"11/01/2021 22:21:42:264 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","ticks","extinct?"
"5","10","0","0.2","0.2","100","60","5","24","24","true"
"1","10","0","0.2","0.2","100","60","5","28","28","true"
"15","10","0","0.2","0.2","100","60","5","37","37","true"
"3","10","0","0.2","0.2","100","60","5","23","23","true"
"14","10","0","0.2","0.2","100","60","5","26","26","true"
"7","10","0","0.2","0.2","100","60","5","34","34","true"
"2","10","0","0.2","0.2","100","60","5","30","30","true"
"8","10","0","0.2","0.2","100","60","5","51","51","true"
"6","10","0","0.2","0.2","100","60","5","37","37","true"
"17","10","0","0.2","0.2","100","60","5","32","32","true"
"20","10","0","0.2","0.2","100","60","5","56","56","true"
"16","10","0","0.2","0.2","100","60","5","74","74","true"
"11","10","0","0.2","0.2","100","60","5","47","47","true"
"29","10","0","0.2","0.2","100","60","5","21","21","true"
"19","10","0","0.2","0.2","100","60","5","75","75","true"
"26","10","0","0.2","0.2","100","60","5","54","54","true"
"18","10","0","0.2","0.2","100","60","5","60","60","true"
"13","10","0","0.2","0.2","100","60","5","66","66","true"
"34","10","0","0.2","0.2","100","60","5","15","15","true"
"21","10","0","0.2","0.2","100","60","5","59","59","true"
"28","10","0","0.2","0.2","100","60","5","44","44","true"
"31","10","0","0.2","0.2","100","60","5","23","23","true"
"22","10","0","0.2","0.2","100","60","5","54","54","true"
"30","10","0","0.2","0.2","100","60","5","33","33","true"
"25","10","0","0.2","0.2","100","60","5","47","47","true"
"4","10","0","0.2","0.2","100","60","5","71","71","true"
"38","10","0","0.2","0.2","100","60","5","20","20","true"
"23","10","0","0.2","0.2","100","60","5","72","72","true"
"40","10","0","0.2","0.2","100","60","5","19","19","true"
"39","10","0","0.2","0.2","100","60","5","40","40","true"
"42","10","0","0.2","0.2","100","60","5","43","43","true"
"44","10","0","0.2","0.2","100","60","5","38","38","true"
"37","10","0","0.2","0.2","100","60","5","46","46","true"
"10","10","0","0.2","0.2","100","60","5","100","100","false"
"24","10","0","0.2","0.2","100","60","5","83","83","true"
