"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality_pe"
"10/29/2019 01:00:55:953 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"14","10","0","0.2","0.2","100","60","5","1","0.97","48.33"
"15","10","0","0.2","0.2","100","60","5","1","0.9","49.42"
"16","10","0","0.2","0.2","100","60","5","1","0.93","49.4"
"3","10","0","0.2","0.2","100","60","5","1","0.93","49.05"
"7","10","0","0.2","0.2","100","60","5","1","0.97","49.91"
"12","10","0","0.2","0.2","100","60","5","1","0.91","51.54"
"2","10","0","0.2","0.2","100","60","5","1","0.91","50.29"
"17","10","0","0.2","0.2","100","60","5","1","0.91","48.45"
"11","10","0","0.2","0.2","100","60","5","1","0.93","50.68"
"18","10","0","0.2","0.2","100","60","5","1","0.93","52.19"
"9","10","0","0.2","0.2","100","60","5","1","0.9","49.71"
"8","10","0","0.2","0.2","100","60","5","1","0.97","51.01"
"5","10","0","0.2","0.2","100","60","5","1","0.91","52.1"
"1","10","0","0.2","0.2","100","60","5","1","0.91","54.45"
"19","10","0","0.2","0.2","100","60","5","1","0.9","51.71"
"4","10","0","0.2","0.2","100","60","5","1","0.95","52.6"
"6","10","0","0.2","0.2","100","60","5","1","0.92","51.81"
"20","10","0","0.2","0.2","100","60","5","1","0.92","54.82"
"10","10","0","0.2","0.2","100","60","5","1","0.91","54.26"
"13","10","0","0.2","0.2","100","60","5","1","0.89","54.15"
"28","10","0","0.2","0.25","100","60","5","1","0.96","50.29"
"25","10","0","0.2","0.25","100","60","5","1","0.92","51.36"
"38","10","0","0.2","0.25","100","60","5","1","0.94","46.65"
"21","10","0","0.2","0.25","100","60","5","1","0.9","51.64"
"32","10","0","0.2","0.25","100","60","5","1","0.91","48.92"
"33","10","0","0.2","0.25","100","60","5","1","0.92","49.98"
"26","10","0","0.2","0.25","100","60","5","1","0.86","53.11"
"22","10","0","0.2","0.25","100","60","5","1","0.88","53.88"
"27","10","0","0.2","0.25","100","60","5","1","0.9","53.44"
"37","10","0","0.2","0.25","100","60","5","1","0.9","50.13"
"36","10","0","0.2","0.25","100","60","5","1","0.9","50.45"
"35","10","0","0.2","0.25","100","60","5","1","0.89","53.43"
"30","10","0","0.2","0.25","100","60","5","1","0.87","57.5"
"24","10","0","0.2","0.25","100","60","5","1","0.9","56.99"
"23","10","0","0.2","0.25","100","60","5","1","0.88","57.1"
"29","10","0","0.2","0.25","100","60","5","1","0.9","54.36"
"34","10","0","0.2","0.25","100","60","5","1","0.9","54.6"
