"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"segregation.nlogo"
"big-experiment"
"11/12/2024 22:29:38:099 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-similar"
"4","50","0","0","51.21568627450981"
"6","50","0","0","51.37918352335418"
"7","50","0","0","51.230594471790994"
"2","50","0","0","49.58710184821077"
"3","50","0","0","49.86925663055659"
"11","50","0","0","51.49284253578732"
"9","50","0","0","49.80544747081712"
"15","50","0","0","51.11690245718541"
"5","50","0","0","48.37724322260405"
"8","50","0","0","51.215623754483865"
"14","50","0","0","50.90840272520818"
"12","50","0","0","49.75206611570248"
"13","50","0","0","50.405248938633726"
"10","50","0","0","51.61290322580645"
"16","50","0","0","49.4556765163297"
"17","50","0","0","50.20984357115604"
"1","50","0","0","51.40577507598785"
"18","50","0","0","48.709315375982044"
"20","50","0","0","50.82458770614693"
"19","50","0","0","50.302053966975436"
"21","50","2.5","4","57.40181268882175"
"23","50","2.5","4","55.5394641564084"
"28","50","2.5","4","56.239015817223205"
"30","50","2.5","4","54.392460451026594"
"33","50","2.5","4","57.926371149511645"
"29","50","2.5","4","57.52017608217168"
"31","50","2.5","5","55.49718574108818"
"26","50","2.5","4","55.16506922257721"
"25","50","2.5","4","56.04751619870411"
"24","50","2.5","4","55.46457814168744"
"22","50","2.5","4","57.726269315673285"
"34","50","2.5","4","56.78879310344828"
"35","50","2.5","4","56.65041782729805"
"27","50","2.5","6","56.768402154398565"
"36","50","2.5","3","55.681402995981"
"38","50","2.5","3","55.98000714030703"
"32","50","2.5","8","58.677071720549975"
"44","50","5","3","55.41696364932288"
"39","50","2.5","4","58.03425774877651"
"37","50","2.5","4","57.75517617144933"
"42","50","5","4","55.81964348130024"
"43","50","5","4","53.90243902439025"
"46","50","5","5","56.84662138005005"
"49","50","5","4","57.71109560362875"
"45","50","5","4","56.913535206129154"
"47","50","5","4","58.12720848056537"
"48","50","5","5","57.54954954954955"
"40","50","2.5","8","55.91314462970144"
"50","50","5","4","57.29749906681597"
"41","50","5","6","57.42275810097966"
"54","50","5","3","56.66041275797373"
"52","50","5","5","56.650430872986135"
"53","50","5","4","56.72014260249555"
"56","50","5","4","56.38220277169948"
"57","50","5","4","56.02678571428571"
"51","50","5","4","56.52009097801365"
"55","50","5","5","57.17893217893217"
"61","50","7.5","4","56.43639109097772"
"60","50","5","5","58.4290477954798"
"59","50","5","5","57.127507163323784"
"58","50","5","5","57.977769809967725"
"62","50","7.5","4","54.67574346112505"
"63","50","7.5","4","56.7987567987568"
"65","50","7.5","4","55.28846153846154"
"64","50","7.5","6","56.72032946461999"
"66","50","7.5","4","56.6887879846315"
"68","50","7.5","4","57.609880130766435"
"71","50","7.5","4","56.14098837209303"
"70","50","7.5","4","57.415107415107414"
"69","50","7.5","5","56.25960061443932"
