"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"segregation.nlogo"
"first-experiment"
"11/12/2024 22:20:13:110 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-similar"
"1","50","0","0","49.24242424242424"
"16","50","0","0","50.77487765089723"
"7","50","0","0","51.635953365927044"
"8","50","0","0","49.91830065359477"
"6","50","0","0","49.37419076391886"
"5","50","0","0","50.11467889908256"
"13","50","0","0","48.43811783313562"
"9","50","0","0","49.57983193277311"
"2","50","0","0","48.07692307692308"
"11","50","0","0","50.78014184397163"
"14","50","0","0","49.49961508852964"
"4","50","0","0","48.51782363977486"
"10","50","0","0","49.84399375975039"
"12","50","0","0","50.539707016191215"
"15","50","0","0","50.40470934510669"
"3","50","0","0","51.23113582208102"
"19","50","0","0","49.748354626403405"
"17","50","0","0","50.479846449136275"
"18","50","0","0","50.874524714828894"
"20","50","0","0","50.12862918044837"
"33","50","5","4","57.093292212798765"
"22","50","5","4","56.88073394495413"
"21","50","5","4","56.33567368772986"
"27","50","5","4","55.758045754168286"
"26","50","5","4","55.55555555555556"
"29","50","5","4","58.64443638999638"
"28","50","5","4","61.016306408797874"
"25","50","5","4","55.93518844663614"
"24","50","5","5","58.60134629768138"
"23","50","5","6","56.77902621722847"
"34","50","5","5","58.744557329462985"
"31","50","5","5","56.91878703380969"
"32","50","5","6","57.09949409780776"
"35","50","5","5","57.25689404934688"
"30","50","5","7","57.83582089552238"
"38","50","5","3","56.046591298389856"
"42","50","10","3","56.2035661218425"
"43","50","10","3","55.50690468171101"
"40","50","5","3","56.64718772826881"
"36","50","5","4","58.10502283105022"
"37","50","5","4","55.84691708008505"
"39","50","5","4","57.14776632302405"
"48","50","10","3","56.22574955908289"
"49","50","10","4","55.48577761359439"
"44","50","10","4","57.488099597217136"
"47","50","10","4","58.72324990932173"
"41","50","10","6","55.27620396600567"
"51","50","10","4","56.47803425167536"
"45","50","10","7","55.73893473368342"
"46","50","10","6","55.416068866571024"
"56","50","10","3","55.11060259344012"
"55","50","10","4","56.242884250474376"
"53","50","10","4","57.692307692307686"
"52","50","10","4","57.517547100110825"
"58","50","10","5","59.523809523809526"
"54","50","10","5","56.287425149700596"
"60","50","10","4","56.51537335285505"
"57","50","10","5","54.726194628531566"
"61","50","15","4","56.777777777777786"
"59","50","10","6","57.169050238357165"
"64","50","15","3","56.37124381894256"
"50","50","10","5","53.92927308447937"
"66","50","15","4","58.55145213338114"
"65","50","15","4","58.82133532264081"
"70","50","15","4","56.98515416825276"
"62","50","15","6","57.46572804742497"
"68","50","15","4","57.527847646424725"
"67","50","15","7","56.65824612053411"
"69","50","15","5","57.07167497125335"
"73","50","15","4","59.014557670772675"
"63","50","15","8","56.80430879712747"
"72","50","15","4","56.51267801319902"
"77","50","15","4","56.11721611721612"
"74","50","15","5","58.17732250088308"
"71","50","15","7","55.497925311203325"
"81","50","20","3","60.3397341211226"
"76","50","15","6","58.84393063583815"
"75","50","15","7","55.97320431708225"
"78","50","15","6","58.92295597484277"
"80","50","15","4","58.69328493647913"
"83","50","20","5","61.25095347063311"
"79","50","15","8","58.61820798848507"
"82","50","20","5","59.40628236106317"
"85","50","20","6","60.33346258239628"
"88","50","20","4","59.72972972972973"
"84","50","20","7","61.2353164077302"
"92","50","20","5","58.62338678138443"
"87","50","20","7","59.80427691192462"
"93","50","20","5","59.57120980091884"
"91","50","20","5","61.42056074766356"
"86","50","20","9","58.6171310629515"
"96","50","20","4","60.339506172839506"
"89","50","20","6","62.890625"
